iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
0000-197,   6,   0,   0,   0,   0.828, -19.456,  +0.00215,  -0.06159, 0.01126, 0.02414,-0.18750
0000-199,   5,   0,   0,   0,   0.816, -19.697,  +0.09924,  -0.21559, 0.03774, 0.09868,-0.21996
0001+459,   5,   0,   0,   0,   1.067,  46.255,  -0.00405,  +0.03282, 0.00714, 0.01947, 0.08314
0001-120,   5,   0,   0,   0,   1.020, -11.816,  +0.00003,  -0.02315, 0.00523, 0.01213,-0.13951
0002+051,   7,   1,   0,   1,   1.334,   5.403,  -0.00303,  -0.00545, 0.04844, 0.06240, 0.02990
0002+200,   5,   0,   0,   0,   1.149,  20.328,  -0.01683,  +0.02365, 0.00805, 0.01160, 0.03634
0002+541,   3,   2,   2,   0,   1.268,  54.474,,,,,
0002-170,   5,   0,   0,   0,   1.325, -16.801,  -0.00876,  +0.03182, 0.01256, 0.02997,-0.53198
0002-350,   5,   0,   0,   0,   1.275, -34.764,  -0.01429,  +0.19675, 0.07280, 0.22831, 0.35305
0002-478,  55,  13,  11,   4,   1.149, -47.605,  -0.00061,  +0.00468, 0.00586, 0.01593, 0.21519
0003+123,   4,   1,   1,   0,   1.596,  12.598,,,,,
0003+380,  26,   4,   4,   0,   1.488,  38.338,  -0.00629,  +0.00331, 0.00505, 0.00846,-0.14424
0003-066,1568, 150,  84,  95,   1.558,  -6.393,  +0.00010,  -0.00252, 0.00070, 0.00091,-0.03976
0003-302,   5,   0,   0,   0,   1.505, -29.931,  +0.04034,  -0.10352, 0.06664, 0.17050, 0.63864
0005+114,   5,   0,   0,   0,   2.003,  11.734,  -0.03237,  -0.00531, 0.02324, 0.03468,-0.15528
0005+568,   4,   1,   0,   1,   1.952,  57.103,,,,,
0005+683,   4,   2,   2,   0,   2.139,  68.623,,,,,
0005-239,   6,   2,   1,   1,   2.002, -23.655,  -0.00088,  +0.03603, 0.02083, 0.04167,-0.69769
0005-262,   6,   0,   0,   0,   2.109, -25.987,  -0.00179,  +0.02364, 0.01442, 0.03876, 0.32220
0006+061,   5,   0,   0,   0,   2.266,   6.473,  -0.01235,  +0.04275, 0.01310, 0.02900, 0.08600
0006+397,   4,   1,   1,   0,   2.267,  40.030,,,,,
0006-363,   6,   0,   0,   0,   2.140, -36.024,  -0.24623,  -0.02836, 0.10856, 0.50680, 0.52700
0007+106, 104,   9,   7,   2,   2.629,  10.975,  +0.00478,  +0.00883, 0.00420, 0.00644,-0.16915
0007+171,  20,  10,  10,   0,   2.642,  17.405,  +0.04841,  -0.01571, 0.01490, 0.02551, 0.17408
0007+439,   5,   0,   0,   0,   2.625,  44.212,  +0.01700,  +0.07448, 0.01918, 0.05536, 0.16414
0007-048,   7,   0,   0,   0,   2.502,  -4.563,  -0.05689,  -0.08143, 0.02509, 0.05393,-0.01862
0007-325,   6,   0,   0,   0,   2.398, -32.277,  -0.04550,  +0.05111, 0.02881, 0.06871,-0.72562
0008+006,   5,   0,   0,   0,   2.877,   0.964,  +0.03979,  -0.01474, 0.04654, 0.09121, 0.04826
0008+704,   3,   2,   2,   0,   2.883,  70.759,,,,,
0008-222,   5,   0,   0,   0,   2.724, -21.951,  -0.01048,  +0.00809, 0.01030, 0.02814,-0.20452
0008-264, 336,  16,  10,  10,   2.755, -26.209,  -0.00801,  +0.04896, 0.00587, 0.00810,-0.15071
0008-307,   5,   0,   0,   0,   2.649, -30.463,  -0.01167,  +0.02621, 0.04531, 0.13199, 0.44019
0008-311,   5,   0,   0,   0,   2.645, -30.904,  +0.04854,  -0.04026, 0.03545, 0.10978,-0.12311
0008-421,   4,   7,   6,   4,   2.719, -41.886,,,,,
0009+081,   8,   0,   0,   0,   2.897,   8.399,  -0.01239,  -0.02754, 0.01075, 0.02144,-0.35109
0009+467,   5,   0,   0,   0,   3.122,  47.076,  -0.01017,  -0.04168, 0.02836, 0.06898,-0.23176
0009+655,   2,   3,   3,   1,   3.157,  65.853,,,,,
0009-148,   9,   0,   0,   0,   2.919, -14.568,  -0.01291,  -0.05103, 0.03050, 0.04839, 0.17378
