iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
0000+212,   5,   0,   0,   0,   0.831,  21.496,  -0.01385,  +0.03852, 0.01629, 0.03592,-0.37829
0000-197,   6,   0,   0,   0,   0.828, -19.456,  +0.00093,  -0.07886, 0.01230, 0.02686,-0.13338
0000-199,   5,   0,   0,   0,   0.816, -19.697,  +0.09049,  -0.16586, 0.03328, 0.08716,-0.22233
0001+459,   5,   0,   0,   0,   1.067,  46.255,  -0.00369,  +0.02845, 0.00594, 0.01628, 0.08162
0002+051,   7,   1,   0,   1,   1.334,   5.403,  -0.00479,  +0.01980, 0.04805, 0.06229, 0.02397
0002+200,   5,   0,   0,   0,   1.149,  20.328,  -0.01172,  +0.02436, 0.00906, 0.01307, 0.03911
0002+541,   2,   3,   3,   0,   1.268,  54.474,,,,,
0002-350,   5,   0,   0,   0,   1.275, -34.764,  -0.05692,  +0.20016, 0.07784, 0.24462, 0.36089
0002-478,  58,  10,   9,   1,   1.149, -47.605,  -0.01074,  +0.00551, 0.00643, 0.01566, 0.26602
0003+123,   4,   1,   1,   0,   1.596,  12.598,,,,,
0003+340,   5,   0,   0,   0,   1.531,  34.372,  +0.01360,  +0.01560, 0.01510, 0.03876, 0.00937
0003+380,  26,   4,   4,   0,   1.488,  38.338,  -0.00745,  -0.00308, 0.00498, 0.00822,-0.14473
0003-066,1572, 123,  60,  78,   1.558,  -6.393,  +0.00051,  -0.00325, 0.00070, 0.00091,-0.02469
0003-302,   5,   0,   0,   0,   1.505, -29.931,  +0.04923,  -0.11774, 0.06026, 0.15358, 0.64300
0004+240,   5,   0,   0,   0,   1.703,  24.377,  -0.01737,  -0.00468, 0.02393, 0.04069, 0.11934
0005+114,   5,   0,   0,   0,   2.003,  11.734,  -0.04865,  -0.01293, 0.02511, 0.03750,-0.15265
0005+568,   4,   1,   0,   1,   1.952,  57.103,,,,,
0005+683,   4,   2,   2,   0,   2.139,  68.623,,,,,
0005-239,   8,   0,   0,   0,   2.002, -23.655,  -0.02651,  +0.04712, 0.01266, 0.02943,-0.66787
0005-262,   6,   0,   0,   0,   2.109, -25.987,  -0.00150,  +0.02359, 0.01455, 0.03909, 0.31873
0006+061,   5,   0,   0,   0,   2.266,   6.473,  -0.00934,  +0.03209, 0.01276, 0.02819, 0.07831
0006+397,   4,   1,   1,   0,   2.267,  40.030,,,,,
0006-363,   6,   0,   0,   0,   2.140, -36.024,  -0.23113,  +0.00275, 0.10877, 0.50765, 0.52737
0007+016,   5,   0,   0,   0,   2.494,   1.965,  +0.07565,  +1.49404, 0.73497, 1.20942,-0.17718
0007+171,  18,  11,  11,   0,   2.642,  17.405,  +0.04453,  -0.01789, 0.01443, 0.02576, 0.19526
0007+439,   4,   1,   1,   0,   2.625,  44.212,,,,,
0007-048,   7,   0,   0,   0,   2.502,  -4.563,  -0.06056,  -0.06305, 0.04656, 0.09336,-0.02134
0007-325,   6,   0,   0,   0,   2.398, -32.277,  -0.02657,  +0.02400, 0.03102, 0.07386,-0.72503
0008+006,   5,   1,   0,   1,   2.877,   0.964,  +0.05581,  -0.08933, 0.01976, 0.03877, 0.05032
0008+704,   4,   1,   1,   0,   2.883,  70.759,,,,,
0008-222,   5,   0,   0,   0,   2.724, -21.951,  -0.00587,  +0.00435, 0.00903, 0.02420,-0.25078
0008-264, 332,  19,  11,  11,   2.755, -26.209,  -0.00804,  +0.04327, 0.00548, 0.00744,-0.15863
0008-307,   5,   0,   0,   0,   2.649, -30.463,  -0.04453,  +0.07253, 0.03298, 0.09312, 0.43382
0008-311,   5,   0,   0,   0,   2.645, -30.904,  +0.05987,  -0.02413, 0.04013, 0.12397,-0.12219
0008-421,   4,   7,   6,   4,   2.719, -41.886,,,,,
0009+081,   7,   0,   0,   0,   2.897,   8.399,  +0.02957,  -0.07445, 0.02867, 0.03675,-0.06891
0009+467,   5,   0,   0,   0,   3.122,  47.076,  +0.01089,  -0.04531, 0.02547, 0.05993,-0.21498
0009+655,   2,   3,   3,   1,   3.157,  65.853,,,,,
0009-148,   7,   0,   0,   0,   2.919, -14.568,  -0.01082,  -0.05567, 0.03762, 0.06412, 0.27476
0010+336,   5,   0,   0,   0,   3.197,  33.894,  -0.04791,  +0.04928, 0.01785, 0.03581,-0.50439
0010+405,  89,   5,   5,   0,   3.380,  40.860,  +0.00092,  +0.00067, 0.00167, 0.00318,-0.18425
0010+463,   5,   0,   0,   0,   3.319,  46.602,  -0.03744,  +0.04304, 0.02963, 0.04586,-0.43444
0010-401,  16,   3,   1,   2,   3.250, -39.907,  -0.00287,  +0.06937, 0.01533, 0.05007, 0.19718
0011+189,   5,   0,   0,   0,   3.485,  19.178,  +0.00297,  +0.01876, 0.01110, 0.02620, 0.05259
0011-046,   6,   0,   0,   0,   3.476,  -4.398,  +0.03768,  -0.02448, 0.02207, 0.03840,-0.31426
0012+319,   5,   0,   0,   0,   3.776,  32.270,  +0.01026,  -0.01561, 0.00979, 0.02187,-0.22440
0012+610,   3,   2,   2,   0,   3.703,  61.295,,,,,
0012-184,   5,   0,   0,   0,   3.760, -18.214,  -0.00703,  +0.02222, 0.00936, 0.02389, 0.11757
0013-005,  91,   2,   1,   2,   4.046,  -0.253,  -0.00270,  -0.00711, 0.00235, 0.00280,-0.75146
0013-184,   5,   0,   0,   0,   3.893, -18.124,  -0.00389,  +0.03857, 0.04546, 0.10835,-0.30421
0014+813, 416, 918, 903,  91,   4.285,  81.586,  -0.00038,  +0.00318, 0.00064, 0.00486,-0.03317
0015+529,   3,   2,   2,   0,   4.466,  53.205,,,,,
0015-054,   6,   0,   0,   0,   4.399,  -5.212,  -0.00061,  -0.00906, 0.03272, 0.07084,-0.27686
0015-280,   5,   0,   0,   0,   4.496, -27.806,  -0.10841,  +0.18101, 0.04656, 0.13440, 0.27125
0016+731, 287, 808, 794,  90,   4.941,  73.458,  -0.00124,  +0.00256, 0.00030, 0.00102,-0.05229
0016-223,   6,   0,   0,   0,   4.845, -22.091,  +0.15567,  -0.08812, 0.09547, 0.26533,-0.53039
0017+200, 381,  52,  33,  25,   4.908,  20.363,  -0.00839,  +0.00236, 0.00216, 0.00228,-0.00996
0017+257,   5,   0,   0,   0,   4.916,  26.048,  +0.00759,  -0.05368, 0.00642, 0.01586,-0.27040
0017-307,   5,   0,   0,   0,   4.928, -30.522,  -0.03180,  -0.02308, 0.01782, 0.05229, 0.03632
0018+715,   5,   0,   0,   0,   5.262,  71.839,  +0.01494,  -0.00524, 0.01139, 0.04649,-0.26504
0018+729,   3,   2,   2,   0,   5.364,  73.212,,,,,
0019+058, 393,  20,  13,  11,   5.635,   6.135,  -0.00122,  -0.00134, 0.00196, 0.00256,-0.04238
0020+015,   5,   0,   0,   0,   5.659,   1.784,  +0.50562,  +0.11736, 0.14121, 0.22698, 0.17202
0020+446,   5,   0,   0,   0,   5.898,  44.943,  -0.00934,  +0.00808, 0.01160, 0.03345, 0.27845
0021+243,   6,   1,   0,   1,   6.114,  24.657,  -0.00833,  -0.00049, 0.01045, 0.01722,-0.07926
0021+464,   5,   0,   0,   0,   6.090,  46.735,  +0.01250,  +0.01334, 0.01302, 0.04408, 0.06748
0021-084,   7,   0,   0,   0,   6.003,  -8.186,  +0.00905,  +0.05281, 0.02297, 0.05307, 0.01352
0022+390,   4,   1,   1,   0,   6.359,  39.327,,,,,
0022-044,   7,   0,   0,   0,   6.192,  -4.200,  +0.04490,  +0.05016, 0.02924, 0.06081,-0.18944
0022-227,   5,   0,   0,   0,   6.351, -22.463,  -0.02812,  -0.04433, 0.02804, 0.07580,-0.14003
0022-423,   6,   6,   5,   4,   6.179, -42.034,  +0.20352,  -0.06700, 0.05986, 0.06084,-0.48622
0023-263,   5,   0,   0,   0,   6.455, -26.037,  +0.04207,  +0.02650, 0.05537, 0.13110, 0.36999
0023-354,   6,   2,   2,   0,   6.568, -35.214,  +0.22774,  -0.19652, 0.13465, 0.27182, 0.10399
0024+092,   5,   0,   0,   0,   6.774,   9.499,  +0.06690,  +0.07961, 0.02943, 0.04010, 0.14871
0024+224,   7,   0,   0,   0,   6.814,  22.699,  -0.00614,  -0.02568, 0.01595, 0.02086,-0.03401
0024-114,   4,   1,   1,   0,   6.714, -11.215,,,,,
0025+197, 127,   5,   3,   2,   7.124,  20.007,  -0.00598,  +0.00055, 0.00375, 0.00534,-0.04132
0025+449,   5,   0,   0,   0,   6.926,  45.249,  +0.24680,  -0.17979, 0.15245, 0.30266,-0.44058
0026+048,   4,   2,   2,   0,   7.265,   5.160,,,,,
0026+346,  10,   8,   7,   4,   7.309,  34.942,  -0.12834,  -0.04974, 0.05103, 0.04214, 0.26917
