iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
0001-120,   4,   1,   0,   1,   1.020, -11.816,,,,,
0002+051,   5,   0,   0,   0,   1.334,   5.403,  +0.01410,  -0.04180, 0.08816, 0.10555, 0.06298
0002+541,   5,   0,   0,   0,   1.268,  54.474,  -0.18667,  -0.13258, 0.07985, 0.08868, 0.31807
0002-478,  53,   6,   2,   5,   1.149, -47.605,  -0.03339,  -0.09616, 0.02144, 0.04702, 0.14546
0003+380,  28,   2,   0,   2,   1.488,  38.338,  +0.01052,  -0.06022, 0.02467, 0.02822,-0.07890
0003-066,1507, 129,  77,  82,   1.558,  -6.393,  +0.00674,  -0.00855, 0.00156, 0.00269,-0.03347
0005+683,   5,   0,   0,   0,   2.139,  68.623,  -0.53424,  +0.03835, 0.20310, 0.16196,-0.15835
0005-239,   5,   1,   1,   0,   2.002, -23.655,  -0.03708,  +0.21655, 0.06448, 0.11837,-0.31588
0006+061,   5,   0,   0,   0,   2.266,   6.473,  -0.03870,  +0.01375, 0.02780, 0.07069, 0.01926
0006-363,   4,   1,   0,   1,   2.140, -36.024,,,,,
0007+106,  91,   5,   2,   4,   2.629,  10.975,  -0.00555,  +0.05914, 0.01290, 0.02119,-0.14234
0007+171,  27,   2,   2,   1,   2.642,  17.405,  +0.06468,  -0.02646, 0.01580, 0.02508,-0.13399
0007-048,   5,   1,   0,   1,   2.502,  -4.563,  +0.50135,  -0.38785, 0.19604, 0.63641, 0.00936
0008-264, 276,  55,  31,  35,   2.755, -26.209,  +0.00596,  -0.01771, 0.01283, 0.01854,-0.15694
0008-421,   2,   7,   3,   6,   2.719, -41.886,,,,,
0009+081,   7,   0,   0,   0,   2.897,   8.399,  +0.01216,  +0.00023, 0.05088, 0.08924,-0.17633
0009-148,   8,   0,   0,   0,   2.919, -14.568,  -0.04405,  +0.00443, 0.09679, 0.10350, 0.18034
0010+405,  85,   5,   4,   3,   3.380,  40.860,  +0.00969,  +0.00274, 0.00861, 0.01189, 0.01987
0010-401,  12,   2,   2,   1,   3.250, -39.907,  +0.06880,  -0.04557, 0.09309, 0.17431, 0.09402
0011+189,   5,   0,   0,   0,   3.485,  19.178,  +0.05390,  +0.11899, 0.06867, 0.13783,-0.04329
0011-046,   5,   0,   0,   0,   3.476,  -4.398,  -0.02204,  +0.06598, 0.04046, 0.08936,-0.13754
0013-005,  69,   7,   5,   4,   4.046,  -0.253,  -0.00185,  +0.02216, 0.00701, 0.01031,-0.20890
0014+813,1247,  38,  22,  24,   4.285,  81.586,  +0.00031,  -0.02042, 0.00158, 0.00178, 0.07754
0015-054,   3,   4,   3,   3,   4.399,  -5.212,,,,,
0016+731, 985,  78,  43,  50,   4.941,  73.458,  -0.00906,  +0.00205, 0.00161, 0.00161,-0.03336
0017+200, 331,  82,  61,  47,   4.908,  20.363,  -0.00702,  -0.00593, 0.00984, 0.01231,-0.03495
0017+257,   5,   0,   0,   0,   4.916,  26.048,  +0.00004,  +0.05223, 0.05649, 0.11643,-0.21512
0019+058, 362,  53,  39,  30,   5.635,   6.135,  +0.00079,  -0.01940, 0.00619, 0.00996, 0.01725
0019+451,   5,   0,   0,   0,   5.528,  45.426,  -0.01785,  -0.05538, 0.05409, 0.08872,-0.06281
0021+243,   6,   0,   0,   0,   6.114,  24.657,  -0.01214,  +0.12247, 0.03572, 0.05255,-0.05562
0022-423,   6,   5,   2,   4,   6.179, -42.034,  +0.01734,  +0.08146, 0.13657, 0.11007,-0.47355
0023-354,   6,   1,   1,   0,   6.568, -35.214,  -0.85854,  -0.37203, 0.45593, 0.82607, 0.54448
0024+224,   6,   0,   0,   0,   6.814,  22.699,  +0.00202,  +0.07206, 0.07616, 0.10361,-0.22351
0024+597,   5,   0,   0,   0,   6.764,  59.981,  -0.04073,  -0.02835, 0.02693, 0.03021, 0.10924
0025+197, 121,  10,   6,   6,   7.124,  20.007,  +0.00116,  -0.01471, 0.01309, 0.01912,-0.06626
0026+346,  10,   7,   4,   4,   7.309,  34.942,  -0.00024,  -0.01329, 0.04495, 0.04948, 0.32200
0027+056,   6,   0,   0,   0,   7.441,   5.911,  -0.02532,  -0.02477, 0.03264, 0.04126, 0.32837
0028-396,   3,   2,   2,   1,   7.851, -39.380,,,,,
0034+108,   5,   0,   0,   0,   9.359,  11.164,  +0.00891,  +0.09194, 0.05869, 0.09419, 0.07021
0035+413,  53,   1,   0,   1,   9.604,  41.618,  -0.02096,  -0.01235, 0.01817, 0.01767, 0.01692
0035-037,   3,   2,   0,   2,   9.587,  -3.500,,,,,
0035-252, 106,   6,   4,   3,   9.561, -24.984,  +0.00618,  -0.00925, 0.01029, 0.01940,-0.07480
0037+139,   8,   0,   0,   0,   9.915,  14.199,  +0.07058,  +0.13613, 0.02087, 0.03541,-0.29228
0037-329,   5,   0,   0,   0,  10.073, -32.724,  -0.06939,  +0.25035, 0.18597, 0.35836,-0.17943
0037-593,   7,   3,   0,   3,  10.033, -59.065,  +0.69486,  -0.35104, 0.43570, 0.98892,-0.06380
0038-020,   5,   1,   0,   1,  10.240,  -1.776,  -0.03535,  +0.04738, 0.03664, 0.07742,-0.15628
0038-326,   6,   0,   0,   0,  10.128, -32.422,  +0.00927,  +0.00744, 0.11088, 0.27744,-0.49115
0039+230,  24,   0,   0,   0,  10.519,  23.334,  -0.03277,  +0.02561, 0.01767, 0.02972,-0.02447
0039+568,   4,   2,   2,   0,  10.581,  57.143,,,,,
0044+566,   4,   1,   1,   0,  11.752,  56.962,,,,,
0044-846,   4,   2,   1,   1,  11.111, -84.378,,,,,
0046+316,  26,   0,   0,   0,  12.196,  31.957,  +0.02559,  +0.01882, 0.00899, 0.01263, 0.15048
0046+511,   7,   1,   1,   0,  12.408,  51.470,  +0.00726,  -0.02403, 0.03700, 0.05525,-0.22782
0047+023,  28,   5,   3,   4,  12.430,   2.618,  +0.00816,  -0.00025, 0.01994, 0.03794, 0.07439
0047-579,  35,   3,   1,   2,  12.498, -57.641,  -0.01465,  -0.00760, 0.01567, 0.02722, 0.26615
0048-097,1753, 129,  74,  92,  12.672,  -9.485,  +0.00173,  -0.00241, 0.00140, 0.00226,-0.07720
0048-427, 162,  20,  11,  18,  12.790, -42.443,  +0.02129,  -0.03455, 0.01522, 0.02383, 0.02541
0049+437,   5,   0,   0,   0,  13.116,  44.048,  -0.01333,  -0.01594, 0.03102, 0.04360,-0.16779
0051+679,   5,   0,   0,   0,  13.573,  68.186,  -0.00025,  +0.00548, 0.11467, 0.11091,-0.32755
0054+161, 153,  10,   4,   7,  14.230,  16.420,  +0.07173,  +0.04867, 0.01506, 0.02196, 0.02883
0054-006,   5,   1,   0,   1,  14.321,  -0.409,  +0.09071,  +0.02344, 0.04721, 0.07165, 0.27330
0055+060,   5,   0,   0,   0,  14.641,   6.335,  +0.08970,  +0.08914, 0.10643, 0.22268,-0.24417
0055+300,  22,   2,   2,   0,  14.454,  30.352,  -0.04105,  -0.03760, 0.01183, 0.01139, 0.19231
0055-059, 119,  11,   7,   7,  14.521,  -5.665,  -0.02494,  +0.00300, 0.00957, 0.01710,-0.09080
0056-001,  19,   1,   0,   1,  14.773,   0.114,  +0.01696,  -0.01218, 0.01302, 0.02442,-0.33924
0056-572,  12,   4,   4,   1,  14.694, -56.987,  +0.11580,  -0.04740, 0.09826, 0.15569, 0.16227
0059+163,   5,   0,   0,   0,  15.490,  16.661,  -0.00819,  -0.04428, 0.03636, 0.13774,-0.34030
0059+581,2637, 189, 129, 131,  15.691,  58.403,  -0.00221,  -0.00345, 0.00080, 0.00091, 0.01346
0103+057,   1,   4,   3,   3,  16.497,   6.016,,,,,
0103+127,   5,   0,   0,   0,  16.639,  13.001,  +0.00022,  +0.03429, 0.11697, 0.25622,-0.37707
0104-275,  10,   1,   1,   1,  16.609, -27.303,  -0.00326,  +0.03164, 0.03703, 0.07550,-0.08376
0104-408,1501, 146,  95,  90,  16.688, -40.572,  +0.00174,  -0.00396, 0.00215, 0.00354, 0.05650
0106+013,1490, 404, 137, 357,  17.162,   1.583,  +0.01699,  -0.00441, 0.00175, 0.00399,-0.04906
0107-610,  49,   2,   1,   1,  17.314, -60.830,  +0.02115,  -0.00162, 0.02436, 0.04504, 0.08978
0108+388,  11,   2,   2,   2,  17.905,  39.108,  -0.05469,  +0.01137, 0.03123, 0.03244, 0.08828
0109+224, 158,   9,   5,   6,  18.024,  22.744,  -0.00388,  -0.00251, 0.00558, 0.00801, 0.06605
0110+495,  62,   5,   3,   2,  18.363,  49.807,  +0.00575,  +0.01114, 0.01048, 0.01310,-0.11855
0110-668,  12,   1,   0,   1,  18.079, -66.579,  +0.11268,  +0.00565, 0.06156, 0.09114, 0.31571
0111+021, 278,  14,   8,  12,  18.430,   2.371,  +0.01898,  +0.01196, 0.00223, 0.00275,-0.34744
0112-017,  30,   7,   1,   7,  18.821,  -1.451,  -0.00723,  -0.01220, 0.01253, 0.01356,-0.35337
0113-118,  29,   4,   4,   1,  19.052, -11.604,  -0.01332,  -0.04759, 0.01204, 0.01810,-0.34788
0113-283,   7,   0,   0,   0,  18.850, -28.082,  -0.03042,  +0.11837, 0.04232, 0.08608,-0.15793
0114+140,   7,   0,   0,   0,  19.355,  14.303,  +0.01425,  -0.04982, 0.05777, 0.06527,-0.12096
0115-214, 259,  55,  34,  41,  19.453, -21.185,  -0.01228,  -0.03010, 0.01384, 0.01774,-0.01353
0116+319,   1,   4,   4,   1,  19.896,  32.181,,,,,
0116-219,  73,  19,   7,  16,  19.739, -21.692,  +0.01607,  -0.01984, 0.02023, 0.02849, 0.07059
0118-272,  24,   1,   0,   1,  20.132, -27.024,  +0.09226,  +0.06801, 0.02981, 0.06214,-0.33650
0119+041,1698, 138,  76, 107,  20.487,   4.374,  -0.00452,  +0.00540, 0.00155, 0.00322,-0.05572
0119+115,1541, 102,  64,  65,  20.423,  11.831,  +0.01082,  +0.03870, 0.00150, 0.00313, 0.04985
0119+247,   6,   0,   0,   0,  20.662,  25.042,  +0.00825,  -0.00131, 0.01510, 0.03264,-0.11693
0122-003,  11,   0,   0,   0,  21.370,  -0.099,  +0.03758,  -0.00119, 0.01789, 0.03647,-0.13169
0122-514,  10,   0,   0,   0,  21.239, -51.221,  +0.01842,  -0.29095, 0.25296, 0.59010, 0.30386
0123+257,  34,   2,   0,   2,  21.678,  25.984,  -0.02521,  -0.01287, 0.01465, 0.02260,-0.03633
0127+084,   6,   0,   0,   0,  22.615,   8.713,  -0.02153,  -0.03356, 0.01481, 0.02753,-0.03333
0127+145,   6,   1,   0,   1,  22.481,  14.780,  +0.01064,  +0.03465, 0.04443, 0.07914,-0.35192
0130-171,  39,   2,   1,   2,  23.181, -16.913,  -0.03893,  +0.03340, 0.01536, 0.03287, 0.17705
0130-447,   0,   5,   4,   5,  23.254, -44.512,,,,,
0131-522, 417,  59,  35,  37,  23.274, -52.001,  -0.02665,  +0.02429, 0.01346, 0.02175, 0.23333
0132-389,   4,   1,   0,   1,  23.633, -38.726,,,,,
0133+476,1938, 166, 109, 100,  24.244,  47.858,  +0.00760,  +0.00180, 0.00101, 0.00124,-0.01084
0134+311, 360,  19,  11,  14,  24.286,  31.377,  -0.00026,  +0.01097, 0.00923, 0.01268, 0.09730
0134+329,  20,  16,   1,  16,  24.422,  33.160,  +0.26311,  +0.91778, 0.50973, 0.45313, 0.06587
0135-247,  38,   2,   2,   1,  24.410, -24.515,  +0.03772,  +0.05191, 0.02331, 0.02896, 0.03882
0136+176,   5,   0,   0,   0,  24.925,  17.885,  -0.03045,  +0.03447, 0.05537, 0.08755,-0.26963
0136-059,   7,   0,   0,   0,  24.716,  -5.669,  +0.02841,  -0.02827, 0.02469, 0.04981, 0.07184
0137+012,  31,   2,   1,   2,  24.989,   1.529,  -0.06013,  +0.13450, 0.07952, 0.10477,-0.09997
0138-097,  71,  15,  11,  11,  25.358,  -9.479,  +0.01205,  +0.00198, 0.01208, 0.01824,-0.02197
0142-278,  12,   1,   0,   1,  26.264, -27.560,  +0.01978,  +0.00572, 0.04198, 0.08576,-0.04923
0144+209,   3,   2,   1,   2,  26.745,  21.173,,,,,
0144+584,   8,   0,   0,   0,  26.944,  58.679,  -0.02995,  -0.03185, 0.10577, 0.12573, 0.04737
0146+056,  52,   2,   2,   1,  27.343,   5.932,  +0.00411,  +0.03886, 0.01277, 0.02811,-0.00698
0148+274,  24,   0,   0,   0,  27.863,  27.745,  +0.01993,  +0.04565, 0.01427, 0.02625,-0.24512
0149+218,  82,  12,  10,   5,  28.075,  22.119,  +0.01249,  -0.01415, 0.00745, 0.00895,-0.19668
0150-144,   6,   4,   2,   2,  28.133, -14.211,  -0.02570,  -0.02402, 0.07769, 0.11742, 0.03240
0150-334,  25,   1,   1,   0,  28.292, -33.174,  -0.00671,  +0.14335, 0.02471, 0.05040, 0.04455
0151+474, 173,  25,  16,  13,  28.735,  47.724,  -0.01074,  +0.00042, 0.00926, 0.01152, 0.00248
0152+043,   5,   0,   0,   0,  28.766,   4.642,  -0.16646,  +0.20971, 0.08731, 0.13411,-0.05792
0153+744,  24,   2,   1,   2,  29.396,  74.712,  +0.02493,  -0.05915, 0.03153, 0.02977, 0.06757
0153-410,   9,   1,   0,   1,  28.904, -40.812,  -0.29380,  +0.03435, 0.31115, 0.23720,-0.24809
0156+128,   6,   0,   0,   0,  29.734,  13.117,  +0.00258,  -0.05856, 0.02442, 0.05138,-0.29385
0159+723,  72,   5,   2,   3,  30.889,  72.548,  -0.01077,  +0.00150, 0.00833, 0.00757, 0.02628
0159-668,   5,   1,   1,   0,  30.282, -66.637,  +0.06346,  +0.11155, 0.33968, 0.65528,-0.03402
0201+088,   5,   0,   0,   0,  31.145,   9.064,  +0.01309,  +0.13183, 0.03669, 0.04974,-0.17313
0201+113, 778,  32,  21,  24,  30.944,  11.579,  +0.00861,  +0.00318, 0.00212, 0.00261,-0.61143
0202+145,   4,   1,   0,   1,  31.305,  14.742,,,,,
0202+149, 954,  42,  23,  28,  31.210,  15.236,  -0.00630,  +0.01608, 0.00257, 0.00383,-0.08299
0202+319, 601, 119,  86,  67,  31.271,  32.208,  +0.01421,  -0.00298, 0.00492, 0.00649,-0.07774
0202-172,  99,  25,  20,  15,  31.240, -17.022,  -0.00372,  -0.04216, 0.01002, 0.01888,-0.00685
0203+625,   7,   0,   0,   0,  31.763,  62.770,  +0.22616,  +0.08805, 0.08929, 0.08248,-0.01180
0206+136,  68,   7,   4,   5,  32.400,  13.867,  +0.01423,  -0.01417, 0.01535, 0.02610,-0.07297
0206-689,   4,   1,   1,   1,  31.962, -68.632,,,,,
0208+106,   5,   0,   0,   0,  32.805,  10.860,  +0.04739,  -0.00024, 0.09043, 0.11690,-0.01346
0208-512, 597,  35,  19,  26,  32.693, -51.017,  +0.00286,  -0.00377, 0.00433, 0.00510,-0.01444
0211+171,  22,   2,   0,   2,  33.687,  17.380,  +0.02108,  +0.04943, 0.11072, 0.15562,-0.27397
0212+735,1242, 102,  69,  58,  34.378,  73.826,  +0.00721,  -0.00359, 0.00173, 0.00169, 0.11179
0212-620,  13,   1,   1,   0,  33.568, -61.826,  -0.40311,  -0.12185, 0.20409, 0.19256,-0.00183
0213-026,   5,   0,   0,   0,  33.925,  -2.382,  +0.01525,  -0.08273, 0.04535, 0.09199,-0.01950
0214-522,   3,   4,   3,   2,  34.013, -52.003,,,,,
0215+015, 300,  24,  13,  19,  34.454,   1.747,  +0.00170,  -0.00681, 0.00421, 0.00736, 0.02809
0216+011,  18,   0,   0,   0,  34.779,   1.350,  -0.02095,  -0.01219, 0.03072, 0.04454, 0.01096
0219+428,  20,   1,   1,   0,  35.665,  43.035,  -0.01568,  -0.00059, 0.01572, 0.01949,-0.02253
0220+427,   6,   0,   0,   0,  35.798,  42.992,  +0.13102,  +0.06253, 0.03538, 0.04009, 0.12958
0220-349,  58,   2,   1,   2,  35.735, -34.691,  -0.01255,  +0.01759, 0.01420, 0.02156,-0.01309
0221+067, 106,  28,  17,  19,  36.118,   6.990,  -0.01130,  -0.01527, 0.00661, 0.00938,-0.27860
0222+185,   5,   0,   0,   0,  36.269,  18.780,  -0.03341,  +0.03648, 0.01848, 0.03728,-0.40229
0223+113,   3,   2,   0,   2,  36.425,  11.574,,,,,
0224+671,  58,   5,   3,   5,  37.209,  67.351,  -0.00895,  -0.01520, 0.01054, 0.01068, 0.08023
0226-559,   7,   1,   1,   0,  37.090, -55.768,  +0.01445,  -1.08682, 0.24844, 0.97502,-0.11460
0227+403,  11,   0,   0,   0,  37.690,  40.548,  -0.04757,  -0.00284, 0.03732, 0.06458,-0.21151
0227-369,  72,  15,  10,  12,  37.369, -36.732,  +0.01434,  -0.06434, 0.02308, 0.03584,-0.05737
0229+131,2764, 177,  98, 121,  37.941,  13.382,  +0.00856,  +0.00265, 0.00105, 0.00172,-0.02779
0229+230,   6,   1,   0,   1,  38.086,  23.299,  -0.01789,  -0.03531, 0.01739, 0.03331,-0.33400
0229-479,   5,   2,   2,   1,  37.799, -47.770,  -1.86586,  -3.34660, 1.42695, 2.98072, 0.05476
