iers_name, year, num_ses, ra, ra_err, dec, dec_err, ra_dec_corr
0000+212, 1996,   2,    0.8306250407,  0.489,  +21.4956966311,  0.931, -0.483
0000+212, 2018,   1,    0.8306250078,  0.109,  +21.4956966845,  0.197, -0.028
0000-160, 2015,   1,    0.8636007259,  0.197,  -15.7848490054,  0.454, -0.154
0000-160, 2017,   1,    0.8636005870,  0.165,  -15.7848485499,  0.409, -0.217
0000-160, 2018,   1,    0.8636007047,  0.320,  -15.7848486639,  0.717, -0.775
0000-197, 1997,   2,    0.8278125698,  0.406,  -19.4562095502,  0.776,  0.269
0000-197, 2014,   1,    0.8278126649,  0.335,  -19.4562097249,  0.646,  0.483
0000-197, 2017,   1,    0.8278126816,  0.252,  -19.4562099888,  0.532,  0.081
0000-197, 2018,   1,    0.8278125829,  0.385,  -19.4562099466,  0.777, -0.652
0000-199, 2006,   1,    0.8164559692,  1.721,  -19.6973341604,  4.572, -0.815
0000-199, 2014,   1,    0.8164557931,  0.190,  -19.6973338433,  0.419,  0.323
0000-199, 2017,   1,    0.8164559247,  0.145,  -19.6973338074,  0.333, -0.157
0000-199, 2018,   1,    0.8164559477,  0.252,  -19.6973339874,  0.484, -0.741
0001+459, 1996,   1,    1.0671985737,  0.296,  +46.2549917149,  0.418,  0.103
0001+459, 2014,   1,    1.0671984827,  0.201,  +46.2549919066,  0.129,  0.210
0001+459, 2017,   1,    1.0671985073,  0.156,  +46.2549918978,  0.163, -0.158
0001+459, 2018,   1,    1.0671985539,  0.100,  +46.2549919387,  0.108,  0.011
0001+478, 2014,   1,    0.9418399137,  0.659,  +48.1178154867,  0.443, -0.050
0001+478, 2017,   1,    0.9418399754,  0.537,  +48.1178152547,  0.518, -0.186
0001+478, 2018,   1,    0.9418395486,  0.413,  +48.1178154010,  0.426,  0.041
0001-120, 1997,   1,    1.0204791425,  0.099,  -11.8162181929,  0.221, -0.196
0001-120, 2004,   2,    1.0204792055,  0.841,  -11.8162181418,  1.257,  0.515
0001-120, 2017,   1,    1.0204791881,  0.059,  -11.8162183702,  0.124, -0.030
0001-120, 2018,   1,    1.0204791577,  0.168,  -11.8162182171,  0.365, -0.397
0002+051, 1995,   1,    1.3342312670,  1.390,   +5.4030002947,  1.478, -0.106
0002+051, 2014,   1,    1.3342311811,  0.222,   +5.4030009583,  0.350,  0.245
0002+051, 2018,   2,    1.3342312421,  0.139,   +5.4030007582,  0.313, -0.006
0002+051, 2019,   1,    1.3342312847,  0.410,   +5.4030009146,  0.180,  0.494
0002+200, 2002,   1,    1.1489929108,  0.172,  +20.3284214641,  0.287,  0.067
0002+200, 2003,   2,    1.1489928162,  0.361,  +20.3284215793,  0.279,  0.084
0002+200, 2018,   1,    1.1489928399,  0.087,  +20.3284216021,  0.152, -0.087
0002+541, 1994,   1,    1.2681810159,  0.858,  +54.4735905549,  0.749,  0.454
0002+541, 2013,   1,    1.2681808024,  0.372,  +54.4735901687,  0.186,  0.198
0002+541, 2014,   1,    1.2681806848,  0.394,  +54.4735901629,  0.190, -0.140
0002+541, 2017,   1,    1.2681805368,  0.117,  +54.4735901328,  0.084, -0.125
0002+541, 2018,   1,    1.2681806186,  0.137,  +54.4735900904,  0.103, -0.017
0002-170, 1997,   1,    1.3247241913,  0.273,  -16.8012996495,  0.581, -0.554
0002-170, 2014,   1,    1.3247241269,  0.187,  -16.8012995442,  0.423,  0.152
0002-170, 2017,   1,    1.3247241820,  0.118,  -16.8012995556,  0.283, -0.216
0002-170, 2018,   1,    1.3247240795,  0.386,  -16.8012996771,  0.913, -0.590
0002-350, 2014,   1,    1.2746878740,  0.482,  -34.7637934437,  1.012,  0.728
0002-350, 2017,   2,    1.2746879134,  0.247,  -34.7637932169,  0.553, -0.037
0002-350, 2018,   1,    1.2746879745,  0.313,  -34.7637926756,  0.642,  0.589
0003+123, 2007,   1,    1.5960671269,  0.590,  +12.5980826892,  0.730,  0.275
0003+123, 2014,   1,    1.5960671763,  0.115,  +12.5980829201,  0.204, -0.126
0003+123, 2017,   1,    1.5960669611,  0.094,  +12.5980828206,  0.175, -0.040
0003+123, 2018,   1,    1.5960669830,  0.083,  +12.5980828490,  0.154, -0.276
0003+158, 2016,   1,    1.4968240938,  0.161,  +16.1636171193,  0.239, -0.173
0003+158, 2017,   1,    1.4968240575,  0.096,  +16.1636171688,  0.169, -0.160
0003+158, 2018,   1,    1.4968240613,  0.113,  +16.1636172596,  0.214, -0.385
0003+340, 2011,   1,    1.5307606406,  0.144,  +34.3723349776,  0.302,  0.218
0003+340, 2017,   1,    1.5307607019,  0.153,  +34.3723349890,  0.274, -0.079
0003+340, 2018,   1,    1.5307606970,  0.254,  +34.3723349344,  0.394, -0.129
0003+380, 1992,   1,    1.4882312574,  0.850,  +38.3375412893,  0.446,  0.057
0003+380, 1994,   1,    1.4882307477,  0.363,  +38.3375412183,  0.354, -0.069
0003+380, 1996,   2,    1.4882308464,  0.156,  +38.3375414044,  0.135, -0.335
0003+380, 1997,   1,    1.4882307738,  0.171,  +38.3375413882,  0.160, -0.086
0003+380, 1998,   2,    1.4882308033,  0.092,  +38.3375413966,  0.075, -0.233
0003+380, 1999,   2,    1.4882309172,  0.519,  +38.3375414074,  0.498, -0.302
0003+380, 2000,   1,    1.4882306886,  0.412,  +38.3375415566,  0.428, -0.097
0003+380, 2001,   3,    1.4882307844,  0.934,  +38.3375413449,  0.891,  0.339
0003+380, 2004,   2,    1.4882308768,  0.169,  +38.3375413566,  0.155, -0.177
0003+380, 2005,   4,    1.4882307756,  0.129,  +38.3375413839,  0.138, -0.035
0003+380, 2006,   1,    1.4882308551,  0.242,  +38.3375414444,  0.157,  0.052
0003+380, 2007,   2,    1.4882308584,  0.125,  +38.3375413063,  0.122,  0.054
0003+380, 2008,   4,    1.4882307167,  0.139,  +38.3375413799,  0.170,  0.150
0003+380, 2009,   2,    1.4882307163,  0.082,  +38.3375414293,  0.087, -0.146
0003+380, 2015,   1,    1.4882304180,  2.776,  +38.3375431579, 19.073, -0.944
0003+380, 2018,   1,    1.4882307556,  0.101,  +38.3375413972,  0.135, -0.195
0003-066, 1988,   1,    1.5578871348,  0.483,   -6.3931489518,  0.429,  0.385
