iers_name, year, num_ses, ra, ra_err, dec, dec_err, ra_dec_corr
0002-478, 1993,   1,    1.1485649600,  0.607,  -47.6054449102,  1.496,  0.706
0002-478, 1994,   1,    1.1485647955,  0.605,  -47.6054452969,  0.866,  0.179
0002-478, 1995,   1,    1.1485642651,  0.702,  -47.6054459341,  1.110,  0.619
0002-478, 1996,   1,    1.1485640761,  0.572,  -47.6054444986,  1.148, -0.440
0002-478, 1998,   2,    1.1485636148,  2.143,  -47.6054455426,  1.547,  0.001
0002-478, 2002,   2,    1.1485649157,  0.747,  -47.6054455388,  0.521, -0.704
0002-478, 2003,   3,    1.1485646345,  1.238,  -47.6054453619,  0.841, -0.732
0002-478, 2004,   3,    1.1485644231,  0.348,  -47.6054454788,  0.646,  0.631
0002-478, 2005,   3,    1.1485645736,  0.228,  -47.6054455500,  0.504,  0.724
0002-478, 2006,   2,    1.1485644861,  0.284,  -47.6054457092,  0.459,  0.669
0002-478, 2007,   3,    1.1485643667,  0.229,  -47.6054457500,  0.456,  0.712
0002-478, 2008,   2,    1.1485645307,  0.168,  -47.6054455812,  0.384,  0.522
0002-478, 2010,   1,    1.1485645165,  0.151,  -47.6054454886,  0.249,  0.092
0002-478, 2011,   3,    1.1485647361,  0.514,  -47.6054455001,  1.433, -0.730
0002-478, 2012,   3,    1.1485644921,  0.460,  -47.6054454391,  0.613,  0.407
0002-478, 2013,   3,    1.1485643955,  0.273,  -47.6054456133,  0.408,  0.319
0002-478, 2014,   5,    1.1485645921,  0.238,  -47.6054455617,  0.431,  0.036
0002-478, 2015,   4,    1.1485645180,  0.236,  -47.6054454322,  0.408,  0.286
0002-478, 2016,   4,    1.1485644231,  0.231,  -47.6054456991,  0.363, -0.002
0002-478, 2017,   6,    1.1485646192,  0.239,  -47.6054455669,  0.483, -0.314
0002-478, 2018,   5,    1.1485643802,  0.486,  -47.6054455373,  0.758,  0.021
0002-478, 2019,  10,    1.1485644086,  0.238,  -47.6054455076,  0.428,  0.183
