iers_name, year, num_ses, ra, ra_err, dec, dec_err, ra_dec_corr
0002+051, 2019,   3,    1.3342312271,  0.172,   +5.4030009037,  0.233, -0.100
0002-478, 2003,   3,    1.1485646441,  1.238,  -47.6054453627,  0.841, -0.732
0002-478, 2004,   3,    1.1485644285,  0.348,  -47.6054454795,  0.646,  0.631
0002-478, 2005,   3,    1.1485645841,  0.228,  -47.6054455529,  0.504,  0.723
0002-478, 2007,   3,    1.1485643750,  0.228,  -47.6054457432,  0.455,  0.716
0002-478, 2011,   3,    1.1485647523,  0.513,  -47.6054454860,  1.431, -0.730
0002-478, 2012,   3,    1.1485645090,  0.460,  -47.6054454420,  0.609,  0.412
0002-478, 2013,   3,    1.1485644059,  0.273,  -47.6054456142,  0.408,  0.320
0002-478, 2014,   5,    1.1485646046,  0.238,  -47.6054455639,  0.431,  0.036
0002-478, 2015,   4,    1.1485645286,  0.236,  -47.6054454337,  0.408,  0.286
0002-478, 2016,   4,    1.1485644343,  0.231,  -47.6054457002,  0.363, -0.002
0002-478, 2017,   6,    1.1485646313,  0.239,  -47.6054455682,  0.483, -0.314
0002-478, 2018,   5,    1.1485643869,  0.486,  -47.6054455372,  0.758,  0.018
0002-478, 2019,  10,    1.1485644185,  0.238,  -47.6054455104,  0.428,  0.185
0003+380, 2001,   3,    1.4882307964,  0.728,  +38.3375414067,  0.880,  0.349
0003+380, 2005,   4,    1.4882307735,  0.091,  +38.3375413742,  0.134, -0.037
0003+380, 2008,   4,    1.4882307161,  0.109,  +38.3375413917,  0.168,  0.148
0003-066, 1992,   8,    1.5578870623,  0.639,   -6.3931487127,  2.757, -0.972
0003-066, 1993,   3,    1.5578871561,  0.342,   -6.3931486543,  0.837, -0.940
0003-066, 1996,  56,    1.5578870144,  0.118,   -6.3931487708,  0.234, -0.225
0003-066, 1997,  75,    1.5578870055,  0.100,   -6.3931487436,  0.242, -0.084
0003-066, 1998,  89,    1.5578870497,  0.129,   -6.3931486559,  0.265,  0.164
0003-066, 1999,  88,    1.5578870369,  0.111,   -6.3931486536,  0.223,  0.097
0003-066, 2000,  73,    1.5578870204,  0.101,   -6.3931486782,  0.195, -0.061
0003-066, 2001, 107,    1.5578870211,  0.129,   -6.3931487199,  0.240, -0.141
0003-066, 2002,  92,    1.5578869952,  0.122,   -6.3931487000,  0.169, -0.069
0003-066, 2003,  90,    1.5578870266,  0.103,   -6.3931486994,  0.201, -0.127
0003-066, 2004,  80,    1.5578870283,  0.117,   -6.3931486946,  0.206,  0.035
0003-066, 2005, 118,    1.5578870377,  0.145,   -6.3931486637,  0.200, -0.129
0003-066, 2006,  81,    1.5578869982,  0.171,   -6.3931486528,  0.247, -0.143
0003-066, 2007,  70,    1.5578870141,  0.169,   -6.3931486906,  0.302, -0.285
0003-066, 2008,  87,    1.5578870234,  0.158,   -6.3931487614,  0.255,  0.174
