iers_name, year, num_ses, ra, ra_err, dec, dec_err, ra_dec_corr
0002+051, 2019,   3,    1.3342312319,  0.175,   +5.4030009513,  0.245, -0.088
0002-478, 2003,   3,    1.1485646391,  1.515,  -47.6054454177,  0.897, -0.750
0002-478, 2004,   3,    1.1485644893,  0.406,  -47.6054454804,  0.690,  0.623
0002-478, 2005,   3,    1.1485646948,  0.336,  -47.6054455495,  0.587,  0.636
0002-478, 2007,   3,    1.1485643403,  0.280,  -47.6054457984,  0.494,  0.586
0002-478, 2011,   3,    1.1485647804,  0.516,  -47.6054454789,  1.439, -0.724
0002-478, 2012,   3,    1.1485645641,  0.463,  -47.6054454206,  0.615,  0.411
0002-478, 2013,   3,    1.1485644546,  0.281,  -47.6054456341,  0.414,  0.322
0002-478, 2014,   5,    1.1485646362,  0.240,  -47.6054455672,  0.439,  0.027
0002-478, 2015,   4,    1.1485645565,  0.238,  -47.6054454414,  0.412,  0.284
0002-478, 2016,   4,    1.1485644450,  0.236,  -47.6054457020,  0.368,  0.002
0002-478, 2017,   6,    1.1485646493,  0.240,  -47.6054455748,  0.484, -0.311
0002-478, 2018,   5,    1.1485644479,  0.491,  -47.6054455668,  0.760,  0.021
0002-478, 2019,  10,    1.1485644584,  0.244,  -47.6054454961,  0.436,  0.188
0003+380, 2001,   3,    1.4882308256,  0.762,  +38.3375414260,  0.944,  0.312
0003+380, 2005,   4,    1.4882307724,  0.092,  +38.3375413790,  0.134, -0.054
0003+380, 2008,   4,    1.4882307136,  0.109,  +38.3375413901,  0.169,  0.147
0003-066, 1992,   8,    1.5578870457,  0.644,   -6.3931486826,  2.762, -0.972
0003-066, 1993,   3,    1.5578871614,  0.349,   -6.3931486201,  0.849, -0.940
0003-066, 1996,  56,    1.5578870332,  0.123,   -6.3931487858,  0.239, -0.225
0003-066, 1997,  75,    1.5578870115,  0.102,   -6.3931487537,  0.244, -0.082
0003-066, 1998,  89,    1.5578870507,  0.132,   -6.3931486614,  0.267,  0.166
0003-066, 1999,  88,    1.5578870192,  0.114,   -6.3931486535,  0.226,  0.101
0003-066, 2000,  73,    1.5578870125,  0.103,   -6.3931486828,  0.199, -0.061
0003-066, 2001, 107,    1.5578870142,  0.132,   -6.3931487260,  0.244, -0.124
0003-066, 2002,  92,    1.5578869756,  0.125,   -6.3931487013,  0.171, -0.065
0003-066, 2003,  90,    1.5578870147,  0.104,   -6.3931486993,  0.203, -0.136
0003-066, 2004,  80,    1.5578870184,  0.120,   -6.3931486922,  0.209,  0.039
0003-066, 2005, 118,    1.5578870344,  0.147,   -6.3931486585,  0.202, -0.128
0003-066, 2006,  81,    1.5578869923,  0.174,   -6.3931486497,  0.248, -0.145
0003-066, 2007,  70,    1.5578870065,  0.171,   -6.3931486883,  0.303, -0.282
0003-066, 2008,  87,    1.5578870200,  0.160,   -6.3931487607,  0.258,  0.175
0003-066, 2009,  70,    1.5578869896,  0.234,   -6.3931487477,  0.470,  0.048
0003-066, 2010,  40,    1.5578869983,  0.184,   -6.3931487549,  0.680,  0.033
0003-066, 2011,  29,    1.5578870505,  0.143,   -6.3931486599,  0.226,  0.218
0003-066, 2012,  26,    1.5578870533,  0.134,   -6.3931486149,  0.281,  0.060
0003-066, 2013,  42,    1.5578870832,  0.175,   -6.3931485514,  0.299,  0.215
0003-066, 2014,  76,    1.5578870718,  0.175,   -6.3931486073,  0.264,  0.324
