iers_name, year, num_ses, ra, ra_err, dec, dec_err, ra_dec_corr
0001+459, 1996,   1,    1.0671985612,  0.290,  +46.2549916707,  0.409,  0.109
0001+459, 2014,   1,    1.0671984868,  0.206,  +46.2549918785,  0.134,  0.207
0001+478, 2014,   1,    0.9418398040,  0.692,  +48.1178152255,  0.470, -0.027
0001+478, 2017,   1,    0.9418400867,  0.608,  +48.1178152642,  0.539, -0.103
0001+478, 2018,   1,    0.9418397181,  0.519,  +48.1178160637,  0.470, -0.041
0001-120, 1997,   1,    1.0204793454,  0.208,  -11.8162181996,  0.471, -0.090
0001-120, 2004,   2,    1.0204786862,  0.788,  -11.8162154373,  1.140,  0.447
0001-120, 2017,   1,    1.0204791823,  0.109,  -11.8162185363,  0.206, -0.015
0001-120, 2018,   1,    1.0204790398,  0.168,  -11.8162188286,  0.347, -0.325
0002+051, 1995,   1,    1.3342315598,  1.447,   +5.4030003605,  1.534, -0.038
0002+051, 2014,   1,    1.3342311682,  0.243,   +5.4030009420,  0.384,  0.228
0002+051, 2018,   2,    1.3342311793,  0.178,   +5.4030007623,  0.407,  0.062
0002+051, 2019,   1,    1.3342313849,  0.431,   +5.4030006363,  0.263,  0.284
0002+200, 2002,   1,    1.1489930291,  0.349,  +20.3284216461,  0.823,  0.013
0002+200, 2003,   2,    1.1489928891,  0.353,  +20.3284215862,  0.327,  0.028
0002+200, 2018,   1,    1.1489926677,  0.139,  +20.3284215250,  0.183, -0.059
0002+541, 1994,   1,    1.2681813290,  1.215,  +54.4735906871,  0.811,  0.396
0002+541, 2013,   1,    1.2681809872,  0.451,  +54.4735900982,  0.262,  0.153
0002+541, 2014,   1,    1.2681810482,  0.631,  +54.4735902597,  0.285, -0.160
0002+541, 2017,   1,    1.2681799280,  0.312,  +54.4735899234,  0.158,  0.283
0002+541, 2018,   1,    1.2681800769,  0.286,  +54.4735900713,  0.195,  0.106
0002-170, 1997,   1,    1.3247240967,  0.650,  -16.8013000112,  0.788, -0.185
0002-170, 2014,   1,    1.3247241366,  0.247,  -16.8012995308,  0.524,  0.130
0002-170, 2017,   1,    1.3247241493,  0.156,  -16.8012997058,  0.335, -0.122
0002-170, 2018,   1,    1.3247240383,  0.381,  -16.8013007653,  0.896, -0.554
0002-350, 2014,   1,    1.2746880718,  0.604,  -34.7637936258,  1.228,  0.675
0002-350, 2017,   2,    1.2746879362,  0.324,  -34.7637932173,  0.716, -0.084
0002-350, 2018,   1,    1.2746880351,  0.351,  -34.7637928214,  0.698,  0.504
0002-478, 1993,   1,    1.1485648186,  1.149,  -47.6054453509,  1.962,  0.658
0002-478, 1994,   1,    1.1485648933,  0.920,  -47.6054452954,  0.923,  0.229
0002-478, 1995,   1,    1.1485637646,  1.395,  -47.6054456000,  1.541,  0.351
0002-478, 1996,   1,    1.1485648273,  1.617,  -47.6054447297,  1.634, -0.208
0002-478, 1998,   2,    1.1485644719,  3.744,  -47.6054452702,  1.985, -0.027
0002-478, 2002,   2,    1.1485651227,  1.110,  -47.6054456461,  1.167, -0.527
0002-478, 2003,   3,    1.1485648393,  2.056,  -47.6054453921,  1.303, -0.577
0002-478, 2004,   3,    1.1485646950,  0.668,  -47.6054456041,  0.950,  0.160
0002-478, 2005,   3,    1.1485645801,  0.577,  -47.6054453561,  0.802,  0.314
0002-478, 2006,   2,    1.1485643708,  0.659,  -47.6054457863,  0.896,  0.327
0002-478, 2007,   3,    1.1485646532,  0.704,  -47.6054456375,  1.210, -0.294
0002-478, 2008,   2,    1.1485646184,  0.703,  -47.6054456713,  0.919,  0.456
0002-478, 2010,   1,    1.1485644729,  0.358,  -47.6054453691,  0.330,  0.055
0002-478, 2011,   3,    1.1485644152,  0.786,  -47.6054456322,  1.528, -0.379
0002-478, 2012,   3,    1.1485643935,  1.392,  -47.6054459857,  2.098,  0.660
0002-478, 2013,   3,    1.1485646693,  0.666,  -47.6054447761,  4.100,  0.334
0002-478, 2014,   5,    1.1485653006,  0.445,  -47.6054451837,  0.509,  0.320
0002-478, 2015,   2,    1.1485645302,  0.498,  -47.6054456788,  1.981,  0.040
0002-478, 2016,   4,    1.1485642325,  0.368,  -47.6054455448,  1.314,  0.375
0002-478, 2017,   4,    1.1485643137,  0.516,  -47.6054468222,  0.860,  0.457
0002-478, 2018,   5,    1.1485633765,  0.980,  -47.6054467354,  1.103,  0.077
0002-478, 2019,   5,    1.1485648060,  0.476,  -47.6054457636,  0.985,  0.180
0003+123, 2007,   1,    1.5960671363,  0.647,  +12.5980825230,  0.838,  0.211
0003+123, 2014,   1,    1.5960670778,  0.159,  +12.5980828630,  0.264, -0.043
0003+123, 2017,   1,    1.5960669844,  0.132,  +12.5980828452,  0.221, -0.088
0003+123, 2018,   1,    1.5960666661,  0.119,  +12.5980834302,  0.190, -0.182
0003+158, 2016,   1,    1.4968238268,  0.230,  +16.1636169956,  0.271,  0.147
0003+158, 2017,   1,    1.4968238740,  0.166,  +16.1636170203,  0.225,  0.133
0003+158, 2018,   1,    1.4968236691,  0.144,  +16.1636178071,  0.239, -0.279
0003+340, 2011,   1,    1.5307604408,  0.456,  +34.3723348824,  0.324,  0.324
0003+340, 2017,   1,    1.5307606642,  0.206,  +34.3723351459,  0.307, -0.072
0003+340, 2018,   1,    1.5307606861,  0.303,  +34.3723357312,  0.426, -0.144
0003+380, 1992,   1,    1.4882312089,  0.843,  +38.3375412680,  0.672, -0.059
0003+380, 1994,   1,    1.4882309990,  0.983,  +38.3375408344,  0.950, -0.084
0003+380, 1996,   2,    1.4882307733,  0.290,  +38.3375414854,  0.275, -0.234
0003+380, 1997,   1,    1.4882308145,  0.202,  +38.3375413429,  0.182, -0.114
0003+380, 1998,   2,    1.4882305879,  0.311,  +38.3375419177,  0.240,  0.069
0003+380, 1999,   2,    1.4882311147,  0.696,  +38.3375412950,  0.615, -0.374
0003+380, 2000,   1,    1.4882306210,  0.753,  +38.3375415180,  0.627, -0.356
0003+380, 2001,   3,    1.4882307526,  1.299,  +38.3375410716,  1.316,  0.001
0003+380, 2004,   2,    1.4882309068,  0.262,  +38.3375413775,  0.267,  0.145
0003+380, 2005,   4,    1.4882307221,  0.206,  +38.3375414784,  0.226,  0.021
0003+380, 2006,   1,    1.4882310192,  0.314,  +38.3375414716,  0.289,  0.231
0003+380, 2007,   2,    1.4882309148,  0.162,  +38.3375413562,  0.194,  0.108
0003+380, 2008,   4,    1.4882307466,  0.171,  +38.3375413732,  0.214,  0.102
0003+380, 2009,   2,    1.4882301387,  0.439,  +38.3375416349,  0.271, -0.365
0003+380, 2015,   1,    1.4882332295,  1.439,  +38.3375294896,  7.324, -0.726
0003+380, 2018,   1,    1.4882307723,  0.202,  +38.3375422020,  0.209, -0.193
0003-066, 1988,   1,    1.5578874717,  1.145,   -6.3931512521, 11.064, -0.710
0003-066, 1990,   1,    1.5578869946,  3.330,   -6.3931483558,  3.192, -0.996
0003-066, 1991,   1,    1.5578879499,  2.646,   -6.3931492328,  2.601, -0.993
0003-066, 1992,   9,    1.5578869887,  0.787,   -6.3931489136,  2.870, -0.988
0003-066, 1993,   3,    1.5578872191,  0.746,   -6.3931472634,  3.228, -0.941
0003-066, 1994,   1,    1.5578869063,  0.528,   -6.3931478601,  1.153, -0.318
0003-066, 1995,   2,    1.5578871235,  0.215,   -6.3931489871,  0.557, -0.124
0003-066, 1996,  57,    1.5578870543,  0.149,   -6.3931487212,  0.372, -0.129
0003-066, 1997,  76,    1.5578870644,  0.140,   -6.3931486399,  0.375, -0.059
0003-066, 1998,  87,    1.5578871430,  0.158,   -6.3931486554,  0.396,  0.046
0003-066, 1999,  91,    1.5578870020,  0.149,   -6.3931486520,  0.422,  0.044
0003-066, 2000,  74,    1.5578869564,  0.174,   -6.3931487655,  0.413, -0.013
0003-066, 2001, 106,    1.5578870629,  0.179,   -6.3931487609,  0.401, -0.063
0003-066, 2002,  89,    1.5578869267,  0.165,   -6.3931486576,  0.361, -0.137
0003-066, 2003,  83,    1.5578870693,  0.131,   -6.3931487163,  0.296, -0.069
0003-066, 2004,  73,    1.5578870337,  0.161,   -6.3931486745,  0.352,  0.013
0003-066, 2005, 112,    1.5578870678,  0.206,   -6.3931486576,  0.364, -0.065
0003-066, 2006,  81,    1.5578870138,  0.236,   -6.3931487074,  0.404, -0.085
0003-066, 2007,  68,    1.5578870230,  0.233,   -6.3931486937,  0.482, -0.263
0003-066, 2008,  87,    1.5578870692,  0.220,   -6.3931487602,  0.500,  0.135
0003-066, 2009,  62,    1.5578870238,  0.312,   -6.3931487629,  0.668,  0.079
0003-066, 2010,  39,    1.5578870249,  0.259,   -6.3931487005,  0.808,  0.037
0003-066, 2011,  27,    1.5578870612,  0.188,   -6.3931486372,  0.323,  0.123
0003-066, 2012,  25,    1.5578870820,  0.252,   -6.3931485773,  0.483,  0.046
0003-066, 2013,  41,    1.5578871083,  0.235,   -6.3931485476,  0.486,  0.107
0003-066, 2014,  73,    1.5578871105,  0.233,   -6.3931486394,  0.354,  0.252
0003-066, 2015,  71,    1.5578871528,  0.165,   -6.3931487263,  0.199,  0.007
0003-066, 2016,  41,    1.5578870735,  0.163,   -6.3931488563,  0.187, -0.068
0003-066, 2017,  33,    1.5578870916,  0.132,   -6.3931489728,  0.169,  0.085
0003-066, 2018,  49,    1.5578869743,  0.173,   -6.3931486826,  0.210, -0.025
0003-066, 2019,  22,    1.5578870827,  0.133,   -6.3931487376,  0.177, -0.025
0003-066, 2020,  44,    1.5578871186,  0.167,   -6.3931488922,  0.248,  0.174
0003-302, 2002,   1,    1.5046804300,  2.092,  -29.9305816535,  3.856,  0.798
0003-302, 2014,   1,    1.5046805632,  0.500,  -29.9305825943,  0.958,  0.661
0003-302, 2018,   1,    1.5046815904,  0.356,  -29.9305812127,  0.527,  0.204
0004+240, 1996,   2,    1.7032891222,  1.172,  +24.3767759648,  1.401,  0.083
0004+240, 2018,   1,    1.7032889819,  0.152,  +24.3767754714,  0.191, -0.057
0005+114, 2002,   1,    2.0034931571,  0.677,  +11.7335486589,  1.093, -0.087
0005+114, 2014,   1,    2.0034926596,  0.179,  +11.7335486600,  0.284, -0.067
0005+114, 2017,   1,    2.0034927406,  0.219,  +11.7335485463,  0.345, -0.209
0005+114, 2018,   1,    2.0034923812,  0.163,  +11.7335492085,  0.268, -0.232
0005+568, 1994,   1,    1.9519527188,  3.319,  +57.1028996139,  2.281,  0.449
0005+568, 2014,   1,    1.9519528770,  0.662,  +57.1028997538,  0.270, -0.199
0005+568, 2017,   1,    1.9519519146,  0.340,  +57.1028995739,  0.159,  0.267
0005+568, 2018,   1,    1.9519520588,  0.306,  +57.1028997768,  0.193,  0.090
0005+683, 1995,   1,    2.1394682919, 30.347,  +68.6227912042,  6.551,  0.596
0005+683, 2007,   1,    2.1394708432,  3.784,  +68.6227910694,  0.951, -0.232
0005+683, 2014,   1,    2.1394706909,  1.163,  +68.6227912350,  0.413, -0.037
