iers_name,year,num_ses,ra,ra_err,dec,dec_err,ra_dec_corr
0003+158,2016,1,1.4968240938,0.161,16.1636171193,0.239,-0.173
0003-066,2016,42,1.5578870313,0.135,-6.3931487319,0.097,-0.082
0006+061,2016,1,2.2663827536,0.151,6.4725667877,0.284,-0.096
0008-264,2016,39,2.755194762,0.363,-26.2092714192,0.222,-0.124
0009+081,2016,1,2.8969566645,0.111,8.3987740489,0.202,-0.145
0010+405,2016,9,3.3797091499,0.099,40.8603178432,0.098,-0.153
0010-401,2016,1,3.2496246072,0.501,-39.9072370143,1.055,0.806
0013-005,2016,2,4.0462021522,0.396,-0.2534568628,0.404,0.132
0014+813,2016,2,4.2853127903,0.704,81.5855932567,0.117,0.125
0015+145,2016,1,4.4037659057,0.293,14.8505221246,0.431,0.266
0015-054,2016,3,4.3992383445,0.363,-5.2116022567,0.212,0.611
0016+731,2016,51,4.9407766851,0.177,73.4583382365,0.053,-0.057
0017+200,2016,65,4.907727061,0.085,20.36267909,0.067,0.053
0017+257,2016,1,4.9157524588,0.092,26.0478547982,0.116,-0.137
0019+058,2016,35,5.6351717228,0.25,6.1345191798,0.225,0.136
0021+243,2016,1,6.1138772303,0.201,24.6572859655,0.347,0.194
0025+197,2016,2,7.1242437173,0.277,20.00742868,0.767,-0.485
0026+346,2016,2,7.309343723,0.375,34.9422909458,0.27,0.144
0035+413,2016,4,9.6035148136,0.286,41.618333445,0.316,0.348
0035-252,2016,2,9.5613979259,0.099,-24.9839542877,0.171,-0.173
0038-020,2016,1,10.2400482492,0.165,-1.77556279,0.317,0.39
0044+030,2016,1,11.7746613817,0.136,3.3318847766,0.296,0.034
0047+023,2016,4,12.4301497411,0.1,2.6177162971,0.18,-0.006
0048-097,2016,26,12.6721557828,0.294,-9.4847806524,0.194,-0.039
0048-427,2016,11,12.7895909559,0.241,-42.4425814519,0.38,-0.109
0054+161,2016,13,14.2303930457,0.17,16.420372543,0.194,0.011
0055+300,2016,1,14.4536804124,0.333,30.3524479099,0.3,-0.169
0055-059,2016,20,14.5211096482,0.195,-5.6645215687,0.272,-0.125
0059+581,2016,80,15.6906765251,0.091,58.4030935201,0.05,-0.071
0100-760,2016,2,15.5777519158,2.044,-75.7810361045,0.391,0.531
0103+057,2016,1,16.4965417902,0.187,6.0164766798,0.301,0.191
0104-408,2016,89,16.6879498534,0.229,-40.5722111945,0.195,0.028
0106+013,2016,8,17.1615463666,0.174,1.5834215426,0.162,0.355
0107-610,2016,3,17.3144800564,0.452,-60.8301278409,0.406,-0.186
0108+388,2016,1,17.9054865954,0.195,39.1078068064,0.18,0.244
0109+200,2016,1,18.0424616637,0.105,20.3393787693,0.183,0.02
0109+224,2016,5,18.0242696557,0.429,22.7441072681,0.519,0.361
0110+495,2016,6,18.3625283851,0.193,49.8066787664,0.189,-0.33
0111+021,2016,9,18.4297706448,0.423,2.3714767811,0.482,0.179
0112-017,2016,3,18.8212495759,0.587,-1.4512713857,0.639,0.031
0113-118,2016,3,19.0521751109,0.348,-11.604287459,0.482,0.008
0115-214,2016,41,19.4532505815,0.219,-21.1851758853,0.271,0.007
0116-219,2016,6,19.7385924031,0.103,-21.6917056313,0.127,0.254
0119+041,2016,40,20.4869236426,0.259,4.3735373659,0.472,-0.003
0119+115,2016,53,20.4233127445,0.141,11.8306704715,0.291,0.223
0119+247,2016,1,20.6617332507,0.096,25.0421646897,0.155,-0.066
0127+084,2016,1,22.6151434633,0.133,8.7128254594,0.256,-0.17
0130-083,2016,1,23.171358541,0.232,-8.0680101238,0.42,-0.247
0131-522,2016,56,23.2740104841,0.387,-52.001095909,0.249,0.036
0133+476,2016,49,24.2441450238,0.11,47.8580833912,0.093,-0.184
0134+311,2016,38,24.2863901462,0.149,31.3766265285,0.167,0.306
0134+329,2016,1,24.4220817779,2.261,33.1597566641,8.83,-0.399
0137+012,2016,2,24.9887740216,0.528,1.5294829957,0.419,-0.454
0138-097,2016,7,25.3576339397,0.179,-9.4787983575,0.089,0.143
0145+210,2016,1,26.974261996,0.285,21.2610351296,0.467,0.402
0149+218,2016,7,28.0752460079,0.134,22.1188055296,0.116,-0.034
0151+474,2016,24,28.7345411723,0.272,47.7240387566,0.22,0.105
0155-549,2016,1,29.207134058,1.81,-54.6634720604,1.125,0.69
0159+723,2016,4,30.8891038819,0.498,72.5482409374,0.135,0.136
0201+113,2016,22,30.9444044478,0.315,11.5792804385,0.37,-0.144
0202+149,2016,4,31.2100579255,0.172,15.2364009922,0.086,0.05
0202+319,2016,95,31.2705223424,0.076,32.2083598859,0.058,0.02
0202-172,2016,2,31.2403097437,0.237,-17.0221776855,0.265,-0.35
0203-120,2016,1,31.608686391,0.101,-11.8443678548,0.225,-0.166
0206+136,2016,7,32.3999930388,0.076,13.8668755146,0.088,0.057
0208-512,2016,6,32.6925016884,0.364,-51.0171921764,0.173,-0.036
0211+171,2016,2,33.6871368264,0.268,17.3804200234,0.399,0.101
0212+735,2016,7,34.378388941,0.221,73.8257282528,0.061,0.025
0212-620,2016,1,33.5675178614,0.838,-61.8260166097,0.331,0.204
0213-026,2016,1,33.9250720165,0.07,-2.3824312612,0.143,-0.09
0215+015,2016,16,34.4539780605,0.198,1.7471386327,0.183,0.007
0221+067,2016,9,36.1184507496,0.09,6.9898171095,0.106,-0.134
0224+671,2016,1,37.2085476894,1.331,67.3508416164,0.414,0.119
0226-559,2016,4,37.0899932357,0.668,-55.7675778189,0.383,0.064
0227-369,2016,7,37.3685377417,0.17,-36.7324506662,0.392,0.073
0229+131,2016,72,37.9412252675,0.122,13.3818656689,0.084,0.131
0229+200,2016,1,38.2025615496,5.485,20.288192551,10.52,-0.706
0230-790,2016,4,37.3956109011,0.767,-78.7960003228,0.179,-0.046
0232-042,2016,1,38.7805906781,0.163,-4.0348103302,0.343,0.006
0234+285,2016,11,39.4683570183,0.209,28.8024972286,0.165,0.007
0234-301,2016,3,39.1298726151,0.35,-29.8987612627,0.18,-0.529
0235+164,2016,9,39.6622088027,0.091,16.6164652081,0.09,0.339
0235+205,2016,1,39.4609537814,0.41,20.7717928991,0.89,0.656
0235-618,2016,2,39.2218573164,1.009,-61.6042176563,0.421,0.315
0237+040,2016,4,39.9635959845,0.137,4.2726143885,0.135,-0.126
0237-027,2016,61,39.9394678184,0.11,-2.5780318221,0.119,-0.013
0238-084,2016,5,40.2699937004,0.297,-8.2557645186,0.241,0.191
0239+175,2016,3,40.6011177583,0.106,17.7163470482,0.158,0.146
0241+622,2016,7,41.2404031015,0.785,62.4684766486,0.245,0.026
0241-564,2016,1,40.8605375992,0.972,-56.211789029,0.637,-0.011
0244-452,2016,1,41.4754616549,0.707,-44.9943383589,0.404,0.23
0244-470,2016,1,41.5004913982,0.435,-46.85478694,0.299,0.303
0245-167,2016,1,42.0322175843,0.128,-16.5295517683,0.301,-0.108
0250+320,2016,1,43.390208873,0.195,32.2891366181,0.215,0.262
0250-122,2016,1,43.3486846685,0.311,-12.007778364,0.669,-0.532
