iers_name,year,num_ses,ra,ra_err,dec,dec_err,ra_dec_corr
0013-005,1990,3,4.0462036293,5.521,-0.2534583534,5.398,-0.999
0016+731,1990,44,4.9407766108,0.213,73.4583382084,0.203,0.019
0048-097,1990,18,12.672155745,0.409,-9.4847806177,0.271,-0.22
0104-408,1990,4,16.6879496761,1.36,-40.5722112508,0.861,-0.869
0133+476,1990,33,24.2441450624,0.454,47.8580833108,0.426,0.609
0149+218,1990,2,28.0752458121,0.629,22.1188054922,0.77,-0.204
0202+319,1990,3,31.2705223421,0.225,32.2083599482,0.641,0.26
0208-512,1990,17,32.6925017946,0.426,-51.0171921468,0.524,0.355
0221+067,1990,1,36.118452115,2.936,6.9898157726,2.797,-0.996
0230-790,1990,2,37.3956154532,3.883,-78.7960002966,6.474,-0.551
0235+164,1990,28,39.6622087573,0.282,16.6164652643,0.435,0.419
0300+470,1990,223,45.8968426319,0.151,47.2711876017,0.2,-0.117
0308-611,1990,10,47.4837471115,1.453,-60.977515261,0.973,0.762
0332-403,1990,1,53.5568938165,1.999,-40.1403880079,1.188,-0.331
0402-362,1990,14,60.973957658,0.864,-36.0838639123,2.4,-0.669
0454+844,1990,8,77.1765145689,0.388,84.5345955952,0.406,0.113
0454-234,1990,191,74.2632467433,0.403,-23.4144501032,0.43,-0.233
0454-810,1990,3,72.5226632918,2.304,-81.0172866565,2.135,-0.298
0458-020,1990,4,75.3033745519,0.271,-1.9872932657,0.491,0.282
0506-612,1990,2,76.6832837425,4.569,-61.161385545,6.651,-0.808
0507+179,1990,2,77.5098712329,0.67,18.0115498062,1.017,0.434
0530-727,1990,7,82.3751759849,0.947,-72.7579188712,0.979,-0.4
0552+398,1990,243,88.8783567668,0.112,39.8136569731,0.152,-0.058
0556+238,1990,3,89.8834714502,0.286,23.8983131965,1.463,-0.293
0607-157,1990,1,92.4206228109,3.708,-15.7112971981,1.749,-0.18
0615+820,1990,5,96.5125256429,0.803,82.0404354253,0.874,0.371
0657+172,1990,23,105.0063564654,0.339,17.1560281598,0.503,0.448
0700-465,1990,1,105.3939458613,3.165,-46.5768396171,2.574,-0.351
0716+714,1990,17,110.4727019214,0.656,71.3434342648,1.056,0.63
0727-115,1990,216,112.5796352952,0.243,-11.6868335288,0.285,-0.302
0736+017,1990,3,114.8251411601,1.79,1.617949358,11.5,-0.994
0738-674,1990,1,114.7353990899,3.591,-67.5974506804,4.15,-0.358
0743-006,1990,2,116.4753430184,0.668,-0.7382052356,1.194,0.546
0749+540,1990,1,118.255769108,0.344,53.8832324627,0.33,0.335
0804+499,1990,1,122.1652762618,0.35,49.8434808284,0.273,0.085
0808+019,1990,1,122.8612806209,0.982,1.7811721422,1.964,0.788
0809-493,1990,1,122.7866751486,4.452,-49.4954168823,3.454,-0.143
0826-373,1990,1,127.0199147043,2.347,-37.5184091337,1.52,-0.353
0912+297,1990,2,138.9683399784,1.237,29.5566785768,2.037,0.601
0954+658,1990,54,149.6968547794,0.256,65.5652272867,0.29,-0.082
1012+232,1990,2,153.6961059844,0.685,23.0212697544,0.797,0.452
1101-536,1990,1,165.9675895118,1.921,-53.9501934809,1.196,-0.196
1111+149,1990,1,168.4945629623,0.484,14.7074868001,0.77,0.34
1116-462,1990,1,169.6123227324,1.872,-46.5708340557,1.058,-0.171
1124-186,1990,14,171.7683020052,0.672,-18.9548453754,2.407,-0.673
1130+009,1990,2,173.3335657042,0.856,0.6813436704,1.644,0.684
1144+402,1990,3,176.7429078933,1.03,39.9761956575,0.772,0.548
1144-379,1990,2,176.7557111036,1.844,-38.2030614019,5.884,-0.678
1150+497,1990,2,178.3519444935,0.489,49.5191193721,0.535,0.382
1221+809,1990,2,185.9187247622,0.381,80.6678722933,0.425,-0.32
1243-072,1990,2,191.5176336663,2.641,-7.5129373033,2.572,-0.994
1244-255,1990,7,191.6950086182,0.606,-25.7970247139,2.348,-0.708
1251-713,1990,2,193.7496726392,2.341,-71.6384547513,1.711,-0.246
1313-333,1990,6,199.0332742173,1.597,-33.6497698972,1.316,-0.35
1334-127,1990,173,204.4157615935,0.334,-12.9568592088,0.589,-0.309
1406-076,1990,1,212.2353383032,2.658,-7.8740739928,2.391,-0.994
1418+546,1990,35,214.944155833,0.389,54.3874408334,0.354,0.139
1424-418,1990,15,216.984573084,0.689,-42.1053992964,0.836,0.503
1443-162,1990,1,221.4724016657,1.797,-16.4837834141,1.587,-0.982
1502+106,1990,192,226.1040824259,0.368,10.494221801,0.497,-0.404
1510-089,1990,35,228.2105538661,0.292,-9.0999526393,0.767,-0.256
1519-273,1990,6,230.6569834105,1.382,-27.5029963081,1.453,-0.65
1538+149,1990,1,235.2062145042,0.744,14.796078882,1.729,0.376
1555+001,1990,3,239.4643083396,0.678,-0.030670163,1.438,0.444
1606+106,1990,1,242.1925132416,0.381,10.4854931741,0.695,0.581
1619-680,1990,1,246.0768182879,2.373,-68.1534737254,3.729,0.551
1642+690,1990,25,250.5327020457,0.596,68.9443767063,0.581,0.646
1657-261,1990,1,255.22147466,2.027,-26.1810346178,1.506,-0.178
1706-174,1990,1,257.3931063982,1.875,-17.4814907548,1.763,-0.989
1717+178,1990,1,259.804368626,0.339,17.7517881405,0.487,0.518
1725+044,1990,2,262.1039693842,0.884,4.4513649074,1.472,0.549
1741-038,1990,220,265.9952339092,0.251,-3.8346158224,0.403,-0.094
1749+096,1990,44,267.886744072,0.341,9.650202355,0.42,0.289
1815-553,1990,15,274.9391647494,0.583,-55.355762658,0.549,0.373
1831-711,1990,3,279.3696458743,1.979,-71.1454318586,2.007,0.265
1908-201,1990,1,287.7902200701,1.342,-20.1153078112,1.209,-0.982
1921-293,1990,182,291.2127331496,0.426,-29.2417002782,0.387,-0.046
1925-610,1990,1,292.5256661013,2.1,-60.9358848392,1.867,0.237
1935-692,1990,1,295.1063665287,1.937,-69.1324929774,2.35,-0.085
1937-101,1990,1,294.98856743,5.809,-10.0448664226,2.204,-0.494
2008-159,1990,2,302.8154623518,1.217,-15.7778489166,2.894,-0.963
2052-474,1990,1,314.0681658338,1.918,-47.2465631466,1.555,-0.338
2109-811,1990,1,319.1285281194,2.885,-80.8986729453,3.97,0.235
2113+293,1990,3,318.8725559711,0.586,29.5606573151,0.654,0.397
2142-758,1990,1,326.803036579,3.265,-75.603674536,2.675,0.194
2143-156,1990,1,326.5957463852,1.69,-15.428856398,1.58,-0.98
2149+056,1990,2,327.9078150115,1.217,5.8702657069,1.468,-0.188
2209+236,1990,2,333.0248598043,0.69,23.9279270479,0.851,0.519
2216-038,1990,71,334.7168238151,0.309,-3.5935776698,0.625,0.479
2229+695,1990,3,337.6519576453,0.698,69.7744658146,0.525,0.344
2232-488,1990,1,338.805151816,2.328,-48.5996649041,1.843,-0.184
2245-328,1990,1,342.1611913003,2.531,-32.5978302571,1.54,-0.078
2254+074,1990,3,344.3220966709,0.877,7.7200850509,2.624,-0.821
2318+049,1990,1,350.1869030745,0.874,5.2305421989,0.7,0.167
2335-027,1990,1,354.4889133278,4.422,-2.5160087288,4.25,-0.998
2353-686,1990,1,359.0028406446,2.798,-68.3342981235,2.422,-0.461
2355-106,1990,17,359.5453432636,0.575,-10.3357254306,1.796,-0.207
2355-534,1990,5,359.4719419687,0.527,-53.1871359141,0.949,-0.148
