iers_name,year,num_ses,ra,ra_err,dec,dec_err,ra_dec_corr
0106+013,1984,100,17.1615460323,0.372,1.5834214846,0.564,-0.398
0212+735,1984,79,34.3783883238,0.384,73.8257282168,0.363,0.023
0229+131,1984,60,37.9412252578,0.267,13.3818655646,0.332,-0.426
0234+285,1984,35,39.4683571262,0.203,28.8024972916,0.242,-0.396
0300+470,1984,4,45.8968429382,0.267,47.2711874393,0.26,-0.244
0420-014,1984,3,65.8158363082,0.183,-1.3425181254,0.531,0.096
0528+134,1984,87,82.7350698011,0.418,13.531986037,0.899,-0.41
0552+398,1984,107,88.8783566973,0.257,39.8136569761,0.286,-0.234
0727-115,1984,6,112.5796494503,3.272,-11.6868091096,5.854,0.893
1144+402,1984,4,176.7429079726,0.144,39.9761955451,0.215,0.248
1354+195,1984,4,209.2684862999,0.335,19.3187144225,0.239,0.077
1418+546,1984,4,214.9441559537,0.263,54.3874408876,0.257,0.036
1502+106,1984,5,226.1040824618,0.177,10.4942217193,0.368,-0.828
1548+056,1984,9,237.6469552906,0.198,5.4529022418,0.266,0.062
1637+574,1984,11,249.5560682194,0.637,57.3399941464,0.935,-0.011
1741-038,1984,4,265.9952338045,0.725,-3.8346154571,0.975,-0.129
1749+096,1984,3,267.8867441077,0.158,9.6502020719,0.314,0.081
1803+784,1984,75,270.1903493405,0.247,78.4677828683,0.249,-0.1
1921-293,1984,7,291.2127209398,3.287,-29.241660432,12.927,0.468
2145+067,1984,13,327.0227444577,0.137,6.9607233864,0.152,-0.067
2216-038,1984,16,334.7168238998,1.017,-3.5935778658,2.327,-0.847
2234+282,1984,4,339.0936286876,0.21,28.4826147604,0.227,-0.064
