iers_name,year,num_ses,ra,ra_err,dec,dec_err,ra_dec_corr
0106+013,1985,122,17.1615460725,0.293,1.5834216,0.532,-0.435
0212+735,1985,87,34.3783888295,0.239,73.8257282413,0.223,-0.098
0229+131,1985,79,37.9412253499,0.213,13.3818656171,0.332,-0.466
0234+285,1985,15,39.4683570392,0.114,28.8024971952,0.157,-0.185
0300+470,1985,9,45.8968427283,0.293,47.2711877308,0.277,-0.185
0420-014,1985,4,65.8158363664,0.163,-1.3425179028,0.578,0.48
0528+134,1985,115,82.7350698614,0.307,13.5319860192,0.54,-0.428
0552+398,1985,125,88.8783568049,0.19,39.8136570777,0.232,-0.316
1144+402,1985,3,176.7429080093,0.122,39.9761957042,0.15,0.166
1502+106,1985,9,226.1040825267,0.157,10.4942218233,0.356,-0.83
1548+056,1985,7,237.6469550891,0.152,5.4529023283,0.265,0.141
1741-038,1985,8,265.99523377,0.372,-3.8346155933,0.485,-0.982
1803+784,1985,90,270.1903497185,0.186,78.4677828378,0.19,-0.004
1921-293,1985,21,291.2127384264,2.255,-29.2416366086,8.464,0.616
2145+067,1985,9,327.0227443382,0.1,6.9607233622,0.145,0.157
2216-038,1985,19,334.7168235674,0.245,-3.5935772045,0.663,-0.709
