num_sou, rx_mean, ry_mean, rz_mean, r_mean, gx_mean, gy_mean, gz_mean, g_mean, rx_std, ry_std, rz_std, r_std, gx_std, gy_std, gz_std, g_std, rx_q1, ry_q1, rz_q1, r_q1, gx_q1, gy_q1, gz_q1, g_q1, rx_q2, ry_q2, rz_q2, r_q2, gx_q2, gy_q2, gz_q2, g_q2, rx_q3, ry_q3, rz_q3, r_q3, gx_q3, gy_q3, gz_q3, g_q3
100,  -0.419,  -0.008,   0.711,   3.319,   0.099,  -0.492,  -1.740,   3.864,   2.459,   2.287,   1.678,   1.939,   1.786,   2.190,   2.846,   2.107,  -1.705,  -1.254,  -0.403,   1.896,  -0.997,  -1.779,  -3.456,   2.387,  -0.296,   0.085,   0.680,   2.957,   0.269,  -0.445,  -1.797,   3.498,   0.934,   1.398,   1.782,   4.256,   1.221,   0.743,  -0.243,   4.838
150,  -0.615,   0.036,   0.674,   2.748,   0.082,  -0.573,  -1.907,   3.291,   1.898,   1.790,   1.325,   1.358,   1.274,   1.763,   2.209,   1.659,  -1.886,  -1.116,  -0.206,   1.723,  -0.730,  -1.721,  -3.357,   2.096,  -0.436,   0.118,   0.576,   2.557,   0.202,  -0.541,  -1.933,   2.909,   0.659,   1.237,   1.490,   3.513,   0.924,   0.593,  -0.504,   4.229
200,  -0.591,   0.007,   0.626,   2.384,   0.207,  -0.559,  -1.854,   2.990,   1.720,   1.429,   1.168,   1.192,   1.102,   1.574,   1.903,   1.472,  -1.664,  -0.910,  -0.149,   1.473,  -0.468,  -1.590,  -3.064,   1.892,  -0.487,   0.055,   0.574,   2.215,   0.233,  -0.536,  -1.880,   2.703,   0.503,   0.902,   1.315,   3.128,   0.940,   0.377,  -0.667,   3.864
250,  -0.570,  -0.090,   0.643,   2.081,   0.249,  -0.491,  -1.853,   2.708,   1.438,   1.252,   0.950,   0.978,   0.872,   1.372,   1.645,   1.325,  -1.484,  -0.895,  -0.002,   1.359,  -0.277,  -1.379,  -2.950,   1.721,  -0.459,  -0.047,   0.651,   1.949,   0.277,  -0.451,  -1.859,   2.490,   0.419,   0.715,   1.244,   2.654,   0.828,   0.451,  -0.816,   3.442
300,  -0.673,  -0.117,   0.604,   1.860,   0.270,  -0.535,  -1.912,   2.556,   1.236,   1.022,   0.855,   0.823,   0.756,   1.176,   1.422,   1.208,  -1.521,  -0.819,   0.005,   1.238,  -0.256,  -1.346,  -2.832,   1.666,  -0.587,  -0.095,   0.602,   1.761,   0.325,  -0.515,  -1.928,   2.356,   0.192,   0.581,   1.158,   2.406,   0.768,   0.266,  -1.037,   3.290
350,  -0.684,  -0.157,   0.560,   1.731,   0.302,  -0.553,  -1.919,   2.434,   1.168,   0.930,   0.706,   0.733,   0.662,   1.043,   1.254,   1.118,  -1.554,  -0.791,   0.089,   1.183,  -0.137,  -1.251,  -2.790,   1.565,  -0.678,  -0.158,   0.532,   1.648,   0.351,  -0.535,  -1.878,   2.254,   0.155,   0.443,   1.033,   2.188,   0.749,   0.173,  -1.084,   3.205
400,  -0.641,  -0.122,   0.594,   1.596,   0.256,  -0.529,  -1.923,   2.360,   1.040,   0.809,   0.671,   0.646,   0.624,   0.977,   1.140,   1.056,  -1.408,  -0.691,   0.151,   1.108,  -0.124,  -1.123,  -2.684,   1.540,  -0.618,  -0.133,   0.586,   1.560,   0.299,  -0.517,  -1.929,   2.220,   0.123,   0.424,   1.057,   2.029,   0.679,   0.103,  -1.135,   3.070
450,  -0.651,  -0.152,   0.561,   1.498,   0.295,  -0.540,  -1.974,   2.315,   0.955,   0.748,   0.597,   0.587,   0.534,   0.897,   1.010,   1.013,  -1.397,  -0.685,   0.185,   1.055,  -0.039,  -1.151,  -2.679,   1.551,  -0.627,  -0.161,   0.552,   1.472,   0.301,  -0.516,  -1.967,   2.194,   0.034,   0.368,   0.969,   1.929,   0.678,   0.116,  -1.256,   2.991
500,  -0.683,  -0.164,   0.566,   1.413,   0.277,  -0.548,  -1.951,   2.251,   0.854,   0.657,   0.535,   0.515,   0.470,   0.812,   0.961,   0.959,  -1.373,  -0.655,   0.206,   1.054,  -0.026,  -1.127,  -2.623,   1.496,  -0.696,  -0.168,   0.537,   1.400,   0.282,  -0.542,  -1.962,   2.182,  -0.058,   0.284,   0.942,   1.773,   0.588,   0.035,  -1.284,   2.931
550,  -0.701,  -0.171,   0.515,   1.324,   0.341,  -0.537,  -1.978,   2.236,   0.767,   0.616,   0.480,   0.481,   0.441,   0.711,   0.829,   0.841,  -1.251,  -0.600,   0.182,   0.972,   0.053,  -1.038,  -2.550,   1.640,  -0.785,  -0.176,   0.507,   1.323,   0.354,  -0.545,  -2.035,   2.229,  -0.116,   0.223,   0.826,   1.633,   0.632,  -0.033,  -1.409,   2.830
