num_sou, rx_mean, ry_mean, rz_mean, r_mean, gx_mean, gy_mean, gz_mean, g_mean, rx_std, ry_std, rz_std, r_std, gx_std, gy_std, gz_std, g_std, rx_q1, ry_q1, rz_q1, r_q1, gx_q1, gy_q1, gz_q1, g_q1, rx_q2, ry_q2, rz_q2, r_q2, gx_q2, gy_q2, gz_q2, g_q2, rx_q3, ry_q3, rz_q3, r_q3, gx_q3, gy_q3, gz_q3, g_q3
10,   0.431,   0.576,  -0.527,   5.933,   0.122,   0.072,  -1.415,   5.905,   4.659,   5.026,   3.909,   5.277,   4.226,   4.484,   4.144,   4.722,  -2.893,  -3.287,  -3.287,   2.585,  -3.024,  -2.953,  -5.040,   2.464,   0.126,   0.237,  -0.020,   4.925,   0.094,  -0.239,  -0.878,   5.092,   3.561,   4.548,   2.486,   8.574,   3.448,   2.083,   2.228,   8.302
20,   0.202,  -0.128,  -0.542,   3.522,   0.593,  -0.646,  -0.543,   3.950,   2.370,   2.655,   1.617,   1.797,   1.880,   1.895,   3.567,   2.305,  -1.637,  -2.914,  -1.881,   1.773,  -1.031,  -2.230,  -3.650,   2.008,   0.002,   0.120,  -0.444,   3.272,   0.406,  -0.643,  -0.866,   3.577,   2.531,   2.390,   0.930,   5.369,   2.684,   1.053,   2.515,   5.540
30,  -0.199,   0.389,  -0.363,   2.643,   0.223,  -0.781,  -0.796,   2.700,   1.764,   1.941,   1.101,   1.195,   1.476,   1.268,   1.841,   1.087,  -2.076,  -1.360,  -1.482,   1.605,  -1.152,  -2.160,  -2.816,   1.604,  -0.127,   0.317,  -0.340,   2.427,   0.201,  -0.776,  -0.597,   2.649,   1.580,   2.253,   0.764,   3.759,   1.700,   0.532,   1.021,   3.933
40,  -0.319,   0.214,  -0.296,   2.105,   0.546,  -0.699,  -0.474,   2.399,   1.365,   1.562,   0.912,   0.969,   1.150,   1.204,   1.716,   0.987,  -1.510,  -1.406,  -1.104,   1.200,  -0.752,  -1.940,  -2.085,   1.432,  -0.335,   0.396,  -0.362,   1.925,   0.556,  -0.746,  -0.544,   2.217,   0.843,   1.791,   0.649,   3.298,   1.695,   0.517,   1.288,   3.230
50,  -0.358,   0.344,  -0.236,   2.186,   0.348,  -0.908,  -0.690,   2.506,   1.352,   1.502,   1.042,   0.831,   1.160,   1.098,   1.867,   1.087,  -1.597,  -1.195,  -1.423,   1.420,  -0.839,  -1.844,  -2.396,   1.455,  -0.453,   0.319,  -0.060,   2.075,   0.465,  -0.725,  -0.803,   2.408,   0.953,   1.822,   0.647,   3.004,   1.349,   0.111,   1.435,   3.584
60,  -0.541,   0.395,  -0.312,   1.931,   0.273,  -0.812,  -0.751,   1.973,   1.109,   1.384,   0.847,   0.823,   0.955,   0.866,   1.298,   0.866,  -1.648,  -0.980,  -1.149,   1.198,  -0.655,  -1.721,  -1.957,   1.087,  -0.637,   0.469,  -0.298,   1.828,   0.289,  -0.817,  -0.874,   1.961,   0.339,   1.655,   0.468,   2.709,   1.229,  -0.029,   0.553,   2.753
70,  -0.699,   0.193,  -0.324,   1.795,   0.407,  -0.955,  -0.645,   2.004,   1.115,   1.187,   0.794,   0.831,   0.858,   0.927,   1.266,   0.824,  -1.659,  -0.915,  -0.993,   1.035,  -0.475,  -1.804,  -1.980,   1.160,  -0.689,   0.141,  -0.264,   1.656,   0.434,  -1.014,  -0.639,   1.924,   0.372,   1.410,   0.320,   2.698,   1.204,  -0.042,   0.627,   2.876
80,  -0.590,   0.306,  -0.382,   1.579,   0.577,  -0.891,  -0.835,   1.962,   0.987,   0.972,   0.668,   0.679,   0.854,   0.900,   0.973,   0.680,  -1.511,  -0.650,  -1.039,   0.895,  -0.263,  -1.814,  -1.787,   1.218,  -0.555,   0.194,  -0.477,   1.481,   0.564,  -1.019,  -0.860,   2.053,   0.306,   1.311,   0.320,   2.364,   1.426,   0.060,   0.095,   2.553
90,  -0.753,   0.138,  -0.347,   1.495,   0.570,  -0.941,  -0.868,   1.839,   0.730,   0.932,   0.656,   0.551,   0.695,   0.655,   0.927,   0.593,  -1.437,  -0.763,  -1.032,   0.968,  -0.038,  -1.583,  -1.708,   1.254,  -0.872,   0.081,  -0.354,   1.496,   0.630,  -0.921,  -0.858,   1.822,  -0.176,   1.164,   0.281,   1.985,   1.236,  -0.295,   0.043,   2.311
100,  -0.538,   0.181,  -0.148,   1.267,   0.581,  -0.828,  -0.781,   1.733,   0.774,   0.852,   0.507,   0.566,   0.679,   0.696,   0.842,   0.536,  -1.278,  -0.645,  -0.612,   0.746,  -0.045,  -1.504,  -1.652,   1.190,  -0.584,   0.138,  -0.156,   1.239,   0.636,  -0.857,  -0.757,   1.734,   0.097,   1.070,   0.342,   1.865,   1.223,  -0.149,   0.112,   2.310
110,  -0.708,   0.176,  -0.304,   1.325,   0.523,  -0.950,  -0.908,   1.744,   0.681,   0.810,   0.509,   0.498,   0.642,   0.623,   0.788,   0.618,  -1.302,  -0.669,  -0.787,   0.802,  -0.107,  -1.584,  -1.728,   1.136,  -0.695,   0.241,  -0.269,   1.295,   0.560,  -0.948,  -0.916,   1.860,  -0.129,   0.947,   0.167,   1.827,   1.174,  -0.325,  -0.175,   2.346
120,  -0.537,   0.053,  -0.332,   1.159,   0.661,  -0.889,  -0.842,   1.694,   0.625,   0.709,   0.519,   0.469,   0.594,   0.550,   0.740,   0.519,  -1.149,  -0.618,  -0.901,   0.652,   0.029,  -1.396,  -1.584,   1.164,  -0.519,   0.044,  -0.322,   1.162,   0.685,  -0.928,  -0.929,   1.728,   0.146,   0.729,   0.172,   1.631,   1.299,  -0.348,  -0.086,   2.186
130,  -0.615,   0.024,  -0.346,   1.160,   0.718,  -1.010,  -0.718,   1.698,   0.529,   0.738,   0.450,   0.423,   0.630,   0.571,   0.640,   0.547,  -1.104,  -0.631,  -0.801,   0.774,   0.182,  -1.588,  -1.318,   1.182,  -0.666,  -0.012,  -0.380,   1.113,   0.724,  -1.005,  -0.771,   1.754,  -0.059,   0.647,   0.133,   1.503,   1.348,  -0.411,  -0.134,   2.122
140,  -0.646,   0.066,  -0.275,   1.100,   0.628,  -0.876,  -0.883,   1.666,   0.580,   0.591,   0.470,   0.440,   0.560,   0.523,   0.680,   0.463,  -1.202,  -0.539,  -0.756,   0.648,   0.037,  -1.382,  -1.441,   1.210,  -0.729,   0.007,  -0.196,   1.078,   0.691,  -0.897,  -0.880,   1.672,  -0.107,   0.679,   0.140,   1.471,   1.230,  -0.321,  -0.277,   2.088
150,  -0.640,   0.073,  -0.240,   1.041,   0.642,  -0.978,  -0.879,   1.623,   0.449,   0.611,   0.425,   0.381,   0.452,   0.461,   0.537,   0.459,  -1.094,  -0.475,  -0.588,   0.622,   0.136,  -1.379,  -1.329,   1.152,  -0.683,  -0.031,  -0.223,   1.030,   0.766,  -1.043,  -0.855,   1.650,  -0.206,   0.738,   0.152,   1.424,   1.024,  -0.534,  -0.471,   2.052
160,  -0.690,   0.119,  -0.246,   1.074,   0.646,  -0.975,  -0.837,   1.600,   0.455,   0.605,   0.368,   0.328,   0.453,   0.437,   0.536,   0.439,  -1.124,  -0.448,  -0.596,   0.752,   0.226,  -1.387,  -1.385,   1.171,  -0.738,   0.059,  -0.263,   1.092,   0.694,  -0.983,  -0.833,   1.629,  -0.207,   0.761,   0.117,   1.393,   1.037,  -0.503,  -0.253,   2.015
