num_sou, rx_mean, ry_mean, rz_mean, r_mean, gx_mean, gy_mean, gz_mean, g_mean, rx_std, ry_std, rz_std, r_std, gx_std, gy_std, gz_std, g_std, rx_q1, ry_q1, rz_q1, r_q1, gx_q1, gy_q1, gz_q1, g_q1, rx_q2, ry_q2, rz_q2, r_q2, gx_q2, gy_q2, gz_q2, g_q2, rx_q3, ry_q3, rz_q3, r_q3, gx_q3, gy_q3, gz_q3, g_q3
100,   0.544,   0.287,  -0.680,   4.414,   0.613,   0.133,   0.810,   4.463,   3.228,   3.134,   2.138,   2.483,   2.476,   2.554,   3.490,   2.443,  -1.584,  -1.643,  -2.068,   2.697,  -0.867,  -1.458,  -1.462,   2.682,   0.285,   0.160,  -0.626,   3.952,   0.793,   0.015,   0.596,   4.003,   2.479,   2.070,   0.546,   5.550,   2.139,   1.577,   2.923,   5.743
150,   0.390,   0.210,  -0.626,   3.555,   0.606,   0.130,   0.833,   3.696,   2.467,   2.506,   1.812,   1.898,   2.068,   2.149,   2.762,   1.985,  -1.226,  -1.237,  -1.824,   2.229,  -0.678,  -1.222,  -1.025,   2.268,   0.254,   0.171,  -0.539,   3.178,   0.654,  -0.005,   0.642,   3.300,   1.791,   1.720,   0.473,   4.498,   1.908,   1.351,   2.545,   4.736
200,   0.308,   0.093,  -0.681,   3.069,   0.593,   0.096,   0.823,   3.205,   2.120,   2.084,   1.515,   1.508,   1.715,   1.883,   2.349,   1.663,  -1.091,  -1.280,  -1.670,   1.978,  -0.467,  -1.117,  -0.670,   2.012,   0.210,   0.108,  -0.699,   2.868,   0.701,   0.022,   0.714,   2.865,   1.488,   1.498,   0.329,   3.905,   1.709,   1.144,   2.206,   4.090
250,   0.227,  -0.066,  -0.668,   2.735,   0.787,   0.231,   0.750,   2.870,   1.839,   1.848,   1.391,   1.324,   1.475,   1.693,   1.975,   1.393,  -1.058,  -1.372,  -1.498,   1.737,  -0.204,  -0.879,  -0.635,   1.916,   0.115,  -0.124,  -0.702,   2.526,   0.840,   0.118,   0.684,   2.610,   1.311,   1.127,   0.224,   3.544,   1.781,   1.184,   1.981,   3.560
300,   0.112,  -0.097,  -0.752,   2.435,   0.720,   0.153,   0.706,   2.571,   1.608,   1.553,   1.252,   1.106,   1.291,   1.507,   1.776,   1.236,  -0.942,  -1.103,  -1.604,   1.636,  -0.127,  -0.838,  -0.423,   1.685,   0.050,  -0.103,  -0.735,   2.297,   0.819,   0.097,   0.575,   2.390,   1.053,   0.845,   0.095,   3.104,   1.616,   0.980,   1.876,   3.269
350,   0.147,  -0.115,  -0.803,   2.293,   0.841,   0.209,   0.674,   2.477,   1.473,   1.440,   1.145,   0.987,   1.226,   1.416,   1.676,   1.178,  -0.801,  -1.107,  -1.537,   1.598,   0.060,  -0.746,  -0.417,   1.628,   0.040,  -0.191,  -0.833,   2.163,   0.899,   0.134,   0.592,   2.304,   1.034,   0.833,  -0.062,   2.902,   1.630,   1.086,   1.713,   3.082
400,   0.124,  -0.205,  -0.829,   2.121,   0.852,   0.202,   0.635,   2.257,   1.349,   1.310,   1.062,   0.953,   1.100,   1.270,   1.490,   1.058,  -0.738,  -1.047,  -1.551,   1.461,   0.177,  -0.619,  -0.358,   1.502,   0.048,  -0.259,  -0.807,   2.016,   0.862,   0.088,   0.536,   2.118,   0.945,   0.584,  -0.126,   2.693,   1.654,   0.956,   1.615,   2.849
450,   0.059,  -0.125,  -0.839,   2.034,   0.771,   0.151,   0.585,   2.113,   1.276,   1.268,   0.990,   0.897,   1.047,   1.218,   1.371,   0.977,  -0.741,  -0.936,  -1.487,   1.370,   0.046,  -0.693,  -0.346,   1.406,  -0.008,  -0.175,  -0.846,   1.913,   0.820,   0.047,   0.518,   1.989,   0.795,   0.679,  -0.195,   2.610,   1.499,   0.878,   1.441,   2.677
500,   0.035,  -0.179,  -0.834,   1.923,   0.818,   0.184,   0.576,   2.022,   1.215,   1.159,   0.925,   0.839,   0.996,   1.154,   1.262,   0.928,  -0.750,  -0.975,  -1.421,   1.318,   0.200,  -0.559,  -0.270,   1.382,  -0.041,  -0.184,  -0.794,   1.822,   0.908,   0.128,   0.500,   1.883,   0.749,   0.557,  -0.228,   2.444,   1.496,   0.885,   1.418,   2.499
550,   0.012,  -0.168,  -0.858,   1.802,   0.842,   0.125,   0.503,   1.937,   1.076,   1.053,   0.889,   0.759,   0.931,   1.071,   1.240,   0.882,  -0.718,  -0.847,  -1.461,   1.247,   0.264,  -0.592,  -0.332,   1.304,  -0.055,  -0.218,  -0.810,   1.734,   0.892,   0.007,   0.448,   1.840,   0.660,   0.523,  -0.238,   2.280,   1.500,   0.787,   1.243,   2.394
600,  -0.020,  -0.177,  -0.848,   1.718,   0.825,   0.114,   0.603,   1.836,   1.032,   0.969,   0.833,   0.705,   0.869,   1.004,   1.115,   0.832,  -0.704,  -0.822,  -1.379,   1.223,   0.267,  -0.576,  -0.124,   1.259,  -0.078,  -0.180,  -0.843,   1.638,   0.841,   0.044,   0.552,   1.746,   0.618,   0.471,  -0.328,   2.169,   1.458,   0.771,   1.287,   2.252
650,   0.054,  -0.135,  -0.880,   1.667,   0.848,   0.167,   0.573,   1.779,   0.958,   0.930,   0.825,   0.694,   0.845,   0.936,   1.052,   0.780,  -0.541,  -0.771,  -1.429,   1.162,   0.349,  -0.468,  -0.127,   1.200,  -0.032,  -0.178,  -0.852,   1.620,   0.900,   0.109,   0.513,   1.699,   0.613,   0.479,  -0.306,   2.129,   1.429,   0.754,   1.256,   2.221
700,  -0.015,  -0.229,  -0.894,   1.630,   0.868,   0.131,   0.532,   1.708,   0.896,   0.901,   0.787,   0.655,   0.768,   0.920,   1.003,   0.762,  -0.578,  -0.797,  -1.470,   1.167,   0.369,  -0.516,  -0.132,   1.188,  -0.123,  -0.235,  -0.882,   1.565,   0.865,   0.057,   0.508,   1.607,   0.558,   0.297,  -0.361,   2.039,   1.393,   0.704,   1.122,   2.077
750,  -0.043,  -0.199,  -0.917,   1.573,   0.884,   0.107,   0.480,   1.632,   0.854,   0.821,   0.752,   0.614,   0.734,   0.850,   0.936,   0.705,  -0.566,  -0.742,  -1.447,   1.119,   0.436,  -0.470,  -0.131,   1.145,  -0.097,  -0.234,  -0.924,   1.545,   0.898,   0.090,   0.447,   1.578,   0.450,   0.315,  -0.385,   1.945,   1.394,   0.588,   1.034,   2.043
800,   0.041,  -0.226,  -0.895,   1.526,   0.928,   0.164,   0.467,   1.614,   0.814,   0.806,   0.715,   0.591,   0.706,   0.835,   0.872,   0.675,  -0.479,  -0.779,  -1.357,   1.111,   0.498,  -0.422,  -0.083,   1.140,  -0.039,  -0.262,  -0.881,   1.488,   0.966,   0.133,   0.407,   1.565,   0.500,   0.265,  -0.431,   1.881,   1.426,   0.711,   0.990,   1.981
850,  -0.076,  -0.220,  -0.898,   1.465,   0.869,   0.115,   0.493,   1.523,   0.758,   0.744,   0.700,   0.578,   0.647,   0.761,   0.849,   0.639,  -0.586,  -0.717,  -1.382,   1.049,   0.457,  -0.411,  -0.068,   1.063,  -0.098,  -0.233,  -0.851,   1.419,   0.868,   0.128,   0.439,   1.457,   0.387,   0.292,  -0.452,   1.829,   1.297,   0.625,   1.040,   1.880
900,  -0.004,  -0.213,  -0.895,   1.431,   0.920,   0.140,   0.474,   1.518,   0.747,   0.712,   0.652,   0.538,   0.663,   0.743,   0.790,   0.634,  -0.474,  -0.683,  -1.356,   1.033,   0.484,  -0.370,  -0.091,   1.038,  -0.059,  -0.262,  -0.898,   1.403,   0.932,   0.095,   0.404,   1.454,   0.409,   0.250,  -0.454,   1.775,   1.343,   0.626,   1.003,   1.889
950,  -0.003,  -0.193,  -0.881,   1.401,   0.880,   0.139,   0.457,   1.494,   0.725,   0.718,   0.613,   0.517,   0.629,   0.743,   0.822,   0.628,  -0.468,  -0.686,  -1.277,   1.030,   0.472,  -0.381,  -0.109,   1.050,  -0.039,  -0.217,  -0.877,   1.366,   0.892,   0.104,   0.419,   1.435,   0.441,   0.261,  -0.462,   1.727,   1.319,   0.625,   0.991,   1.870
1000,  -0.031,  -0.205,  -0.925,   1.374,   0.912,   0.114,   0.464,   1.469,   0.689,   0.656,   0.598,   0.523,   0.592,   0.709,   0.773,   0.595,  -0.472,  -0.651,  -1.326,   0.995,   0.523,  -0.370,  -0.082,   1.040,  -0.048,  -0.213,  -0.916,   1.350,   0.921,   0.075,   0.431,   1.405,   0.350,   0.219,  -0.521,   1.693,   1.326,   0.578,   0.959,   1.840
