num_sou, rx_mean, ry_mean, rz_mean, r_mean, gx_mean, gy_mean, gz_mean, g_mean, rx_std, ry_std, rz_std, r_std, gx_std, gy_std, gz_std, g_std, rx_q1, ry_q1, rz_q1, r_q1, gx_q1, gy_q1, gz_q1, g_q1, rx_q2, ry_q2, rz_q2, r_q2, gx_q2, gy_q2, gz_q2, g_q2, rx_q3, ry_q3, rz_q3, r_q3, gx_q3, gy_q3, gz_q3, g_q3
100,   0.676,   0.157,  -0.100,   4.498,   0.747,   0.387,   0.693,   4.669,   3.369,   3.268,   2.130,   2.613,   2.536,   2.758,   3.682,   2.642,  -1.467,  -1.766,  -1.340,   2.551,  -0.805,  -1.520,  -1.721,   2.663,   0.396,   0.137,  -0.071,   4.014,   0.798,   0.201,   0.378,   4.159,   2.630,   1.881,   1.124,   5.905,   2.205,   1.898,   2.939,   6.057
150,   0.440,   0.079,  -0.134,   3.579,   0.764,   0.324,   0.607,   3.794,   2.594,   2.535,   1.793,   1.944,   2.004,   2.197,   2.982,   2.097,  -1.234,  -1.458,  -1.311,   2.166,  -0.453,  -1.007,  -1.414,   2.313,   0.247,   0.081,  -0.152,   3.239,   0.819,   0.074,   0.517,   3.424,   2.015,   1.566,   0.931,   4.661,   2.058,   1.492,   2.512,   4.780
200,   0.233,   0.044,  -0.153,   3.058,   0.692,   0.237,   0.636,   3.289,   2.168,   2.189,   1.501,   1.573,   1.706,   1.874,   2.594,   1.809,  -1.146,  -1.345,  -1.091,   1.914,  -0.390,  -0.960,  -1.146,   1.999,   0.124,   0.051,  -0.215,   2.766,   0.701,   0.044,   0.393,   2.922,   1.517,   1.414,   0.774,   3.871,   1.713,   1.253,   2.186,   4.130
250,   0.108,   0.036,  -0.191,   2.737,   0.621,   0.205,   0.616,   2.861,   2.005,   1.901,   1.329,   1.399,   1.456,   1.699,   2.169,   1.528,  -1.206,  -1.155,  -1.000,   1.716,  -0.307,  -0.918,  -0.883,   1.769,  -0.056,   0.015,  -0.288,   2.545,   0.625,   0.071,   0.502,   2.636,   1.277,   1.331,   0.613,   3.473,   1.492,   1.085,   2.009,   3.588
300,   0.111,  -0.016,  -0.279,   2.470,   0.625,   0.136,   0.414,   2.570,   1.811,   1.671,   1.258,   1.284,   1.301,   1.563,   1.926,   1.350,  -1.011,  -1.101,  -1.080,   1.557,  -0.219,  -0.892,  -0.847,   1.561,   0.062,  -0.050,  -0.306,   2.232,   0.660,  -0.045,   0.262,   2.340,   1.109,   0.993,   0.513,   3.176,   1.427,   0.890,   1.626,   3.295
350,   0.003,   0.011,  -0.182,   2.223,   0.662,   0.090,   0.408,   2.355,   1.616,   1.489,   1.090,   1.052,   1.193,   1.413,   1.716,   1.197,  -1.040,  -1.003,  -0.919,   1.458,  -0.119,  -0.849,  -0.779,   1.516,  -0.145,  -0.055,  -0.205,   2.097,   0.735,  -0.048,   0.334,   2.128,   0.956,   0.949,   0.554,   2.789,   1.432,   0.898,   1.405,   2.918
400,   0.037,  -0.031,  -0.276,   2.038,   0.596,   0.110,   0.283,   2.237,   1.505,   1.363,   0.997,   1.022,   1.120,   1.326,   1.647,   1.081,  -0.946,  -0.889,  -0.894,   1.307,  -0.063,  -0.783,  -0.847,   1.478,  -0.022,  -0.032,  -0.266,   1.889,   0.673,  -0.021,   0.179,   2.059,   0.871,   0.839,   0.385,   2.557,   1.311,   0.904,   1.355,   2.820
450,   0.098,  -0.112,  -0.261,   1.832,   0.659,   0.116,   0.378,   2.033,   1.315,   1.232,   0.894,   0.884,   0.986,   1.159,   1.451,   0.937,  -0.726,  -0.882,  -0.846,   1.199,   0.042,  -0.693,  -0.615,   1.355,  -0.035,  -0.129,  -0.251,   1.715,   0.735,   0.034,   0.299,   1.923,   0.951,   0.654,   0.332,   2.331,   1.316,   0.865,   1.349,   2.547
500,  -0.006,  -0.107,  -0.259,   1.751,   0.595,   0.114,   0.365,   1.971,   1.240,   1.142,   0.885,   0.801,   0.972,   1.171,   1.392,   0.932,  -0.816,  -0.876,  -0.841,   1.161,  -0.009,  -0.683,  -0.558,   1.309,  -0.105,  -0.106,  -0.282,   1.658,   0.666,   0.039,   0.263,   1.835,   0.753,   0.658,   0.314,   2.226,   1.302,   0.807,   1.311,   2.470
550,  -0.068,  -0.190,  -0.259,   1.608,   0.623,   0.083,   0.300,   1.773,   1.145,   1.034,   0.783,   0.718,   0.856,   0.997,   1.267,   0.821,  -0.834,  -0.903,  -0.770,   1.101,   0.073,  -0.605,  -0.586,   1.214,  -0.105,  -0.224,  -0.297,   1.506,   0.662,   0.058,   0.208,   1.635,   0.671,   0.488,   0.251,   2.020,   1.221,   0.671,   1.080,   2.206
