num_sou, rx_mean, ry_mean, rz_mean, r_mean, gx_mean, gy_mean, gz_mean, g_mean, rx_std, ry_std, rz_std, r_std, gx_std, gy_std, gz_std, g_std, rx_q1, ry_q1, rz_q1, r_q1, gx_q1, gy_q1, gz_q1, g_q1, rx_q2, ry_q2, rz_q2, r_q2, gx_q2, gy_q2, gz_q2, g_q2, rx_q3, ry_q3, rz_q3, r_q3, gx_q3, gy_q3, gz_q3, g_q3
10,   0.139,   0.627,   0.120,   6.021,  -0.007,  -0.338,  -1.435,   5.973,   4.509,   4.301,   3.104,   3.555,   3.245,   3.494,   4.730,   3.406,  -3.333,  -2.951,  -2.631,   2.852,  -3.048,  -3.907,  -5.793,   2.728,   0.203,   0.183,   0.316,   5.248,   0.097,  -0.254,  -1.546,   5.443,   3.255,   5.514,   3.215,   8.998,   2.659,   2.646,   3.040,   8.646
15,   0.301,   0.267,  -0.129,   4.017,   0.235,  -0.365,  -0.659,   4.553,   2.666,   2.919,   2.007,   1.923,   2.304,   2.585,   4.116,   2.970,  -1.880,  -2.641,  -1.753,   2.157,  -1.595,  -2.433,  -3.327,   2.204,  -0.116,   0.328,  -0.221,   3.633,  -0.134,  -0.351,  -0.758,   3.942,   2.407,   2.556,   1.443,   6.144,   2.394,   1.965,   3.008,   7.050
20,  -0.560,   0.994,   0.109,   3.769,  -0.376,  -0.479,  -0.696,   3.525,   2.443,   2.741,   1.702,   1.867,   2.121,   1.728,   2.571,   1.590,  -3.016,  -1.560,  -1.820,   2.108,  -2.106,  -2.165,  -3.285,   2.040,  -0.453,   0.942,   0.176,   3.523,  -0.364,  -0.446,  -0.507,   3.289,   1.499,   3.653,   1.838,   5.379,   1.767,   1.089,   1.780,   5.056
25,  -0.129,   1.080,   0.176,   3.147,   0.039,  -0.322,  -0.763,   3.236,   2.296,   1.987,   1.271,   1.467,   1.614,   1.800,   2.421,   1.386,  -2.216,  -1.186,  -1.070,   1.768,  -1.434,  -1.959,  -3.108,   1.835,  -0.019,   0.976,   0.026,   2.906,   0.087,  -0.386,  -0.762,   3.203,   2.043,   3.474,   1.708,   4.630,   1.732,   1.520,   1.543,   4.804
30,  -0.291,   0.891,   0.124,   2.931,  -0.225,  -0.711,  -0.250,   3.104,   1.992,   1.926,   1.299,   1.292,   1.581,   1.621,   2.465,   1.479,  -2.134,  -0.923,  -1.188,   1.758,  -1.729,  -2.059,  -2.696,   1.752,  -0.309,   0.978,   0.249,   2.668,  -0.039,  -0.819,  -0.534,   2.799,   1.573,   2.731,   1.482,   4.212,   1.278,   0.928,   2.281,   4.586
35,  -0.403,   0.925,   0.095,   2.926,  -0.486,  -0.604,  -0.799,   2.728,   1.977,   2.032,   1.256,   1.442,   1.353,   1.537,   1.930,   1.308,  -2.256,  -1.109,  -1.239,   1.476,  -1.973,  -2.036,  -2.839,   1.354,  -0.321,   0.931,   0.294,   2.787,  -0.509,  -0.665,  -0.730,   2.586,   1.187,   3.001,   1.395,   4.263,   0.733,   0.984,   1.222,   3.963
40,  -0.841,   0.897,  -0.110,   2.726,  -0.367,  -0.672,  -0.434,   2.507,   1.818,   1.801,   1.069,   1.337,   1.351,   1.338,   1.856,   1.244,  -2.570,  -0.986,  -1.190,   1.416,  -1.606,  -1.800,  -1.916,   1.327,  -0.787,   0.768,  -0.172,   2.624,  -0.252,  -0.749,  -0.489,   2.103,   1.030,   2.714,   0.882,   4.276,   0.979,   0.653,   1.272,   3.797
45,  -0.700,   1.261,  -0.183,   2.320,  -0.237,  -0.668,  -0.806,   2.295,   1.339,   1.533,   0.903,   1.299,   1.311,   1.225,   1.499,   1.162,  -1.916,  -0.168,  -0.986,   1.035,  -1.671,  -1.920,  -2.237,   1.101,  -0.596,   1.144,  -0.201,   2.079,  -0.001,  -0.569,  -0.834,   2.131,   0.502,   2.549,   0.720,   3.926,   0.896,   0.423,   0.461,   3.480
50,  -0.692,   0.855,  -0.145,   2.175,  -0.136,  -0.705,  -0.766,   2.037,   1.313,   1.413,   0.953,   1.062,   0.926,   1.009,   1.448,   0.962,  -2.046,  -0.508,  -1.068,   1.295,  -1.148,  -1.745,  -1.864,   1.287,  -0.733,   0.911,  -0.152,   2.000,  -0.053,  -0.703,  -0.799,   1.838,   0.613,   1.808,   0.731,   3.028,   0.816,   0.306,   0.638,   2.786
55,  -0.533,   0.798,   0.050,   2.072,  -0.084,  -0.499,  -0.697,   2.182,   1.376,   1.322,   0.827,   0.978,   1.073,   1.109,   1.564,   0.898,  -2.010,  -0.563,  -0.799,   1.023,  -1.196,  -1.542,  -2.320,   1.245,  -0.285,   0.766,   0.097,   1.962,  -0.048,  -0.577,  -0.800,   2.094,   0.847,   2.108,   0.822,   2.888,   1.066,   0.525,   1.003,   3.177
60,  -0.621,   1.056,  -0.061,   2.130,  -0.388,  -0.676,  -0.956,   2.119,   1.288,   1.366,   0.825,   1.084,   0.964,   0.995,   1.483,   1.073,  -1.877,  -0.024,  -0.799,   1.115,  -1.433,  -1.513,  -2.515,   1.065,  -0.534,   1.017,  -0.043,   2.010,  -0.341,  -0.646,  -0.877,   1.870,   0.645,   2.211,   0.719,   3.042,   0.487,   0.324,   0.505,   3.219
65,  -0.501,   0.927,  -0.125,   1.812,  -0.175,  -0.583,  -0.798,   1.741,   1.050,   1.269,   0.772,   1.073,   0.890,   0.885,   1.093,   0.863,  -1.469,  -0.246,  -0.680,   0.849,  -1.013,  -1.456,  -1.859,   0.906,  -0.492,   0.805,  -0.153,   1.658,  -0.121,  -0.420,  -0.724,   1.687,   0.596,   2.169,   0.665,   2.809,   0.640,   0.259,   0.017,   2.492
70,  -0.540,   0.989,  -0.078,   1.826,  -0.078,  -0.773,  -0.686,   1.822,   0.984,   1.106,   0.839,   0.916,   0.857,   0.936,   1.120,   0.787,  -1.385,  -0.026,  -0.945,   0.990,  -0.933,  -1.648,  -1.878,   1.017,  -0.529,   0.946,  -0.038,   1.632,   0.019,  -0.745,  -0.610,   1.712,   0.488,   1.923,   0.656,   2.688,   0.767,   0.085,   0.216,   2.593
75,  -0.768,   1.083,  -0.140,   1.971,  -0.189,  -0.721,  -0.579,   1.906,   1.060,   1.150,   0.720,   0.929,   0.987,   0.939,   1.320,   0.926,  -1.819,  -0.095,  -0.917,   1.035,  -0.997,  -1.818,  -1.916,   1.130,  -0.806,   0.971,  -0.154,   1.775,  -0.101,  -0.591,  -0.511,   1.767,   0.355,   2.316,   0.502,   2.966,   0.731,   0.239,   0.697,   2.640
