iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
0001-120,   5,   0,   0,   0,   1.020, -11.816,  -0.01173,  -0.21431, 0.07670, 0.16840,-0.05987
0002+051,   5,   0,   0,   0,   1.334,   5.403,  +0.01410,  -0.04180, 0.08816, 0.10555, 0.06298
0002+541,   5,   0,   0,   0,   1.268,  54.474,  -0.18667,  -0.13258, 0.07985, 0.08868, 0.31807
0002-478,  59,   0,   0,   0,   1.149, -47.605,  -0.01577,  -0.13999, 0.03677, 0.07837, 0.14769
0003+380,  30,   0,   0,   0,   1.488,  38.338,  +0.01548,  +0.02670, 0.02376, 0.02846,-0.11698
0003-066,1636,   0,   0,   0,   1.558,  -6.393,  +0.00796,  -0.02372, 0.00476, 0.00834,-0.03061
0005+683,   5,   0,   0,   0,   2.139,  68.623,  -0.53424,  +0.03835, 0.20310, 0.16196,-0.15835
0005-239,   6,   0,   0,   0,   2.002, -23.655,  +0.02902,  +0.25964, 0.16155, 0.29715,-0.32232
0006+061,   5,   0,   0,   0,   2.266,   6.473,  -0.03870,  +0.01375, 0.02780, 0.07069, 0.01926
0006-363,   5,   0,   0,   0,   2.140, -36.024,  +0.00592,  +2.30801, 0.54738, 1.99693, 0.52755
0007+106,  96,   0,   0,   0,   2.629,  10.975,  -0.00722,  +0.14205, 0.02745, 0.04512,-0.14340
0007+171,  29,   0,   0,   0,   2.642,  17.405,  +0.08133,  +0.07016, 0.01630, 0.02454,-0.06886
0007-048,   6,   0,   0,   0,   2.502,  -4.563,  +0.51352,  -0.13373, 0.25919, 0.83689, 0.00455
0008-264, 331,   0,   0,   0,   2.755, -26.209,  +0.01903,  +0.01703, 0.03041, 0.04378,-0.15241
0008-421,   9,   0,   0,   0,   2.719, -41.886,  +0.12041,  -0.45291, 0.66180, 1.05093,-0.20319
0009+081,   7,   0,   0,   0,   2.897,   8.399,  +0.01216,  +0.00023, 0.05088, 0.08924,-0.17633
0009-148,   8,   0,   0,   0,   2.919, -14.568,  -0.04405,  +0.00443, 0.09679, 0.10350, 0.18034
