iers_name, num_cln, num_outl, outl_ra, outl_dec, ra, dec, pmra, pmdec, pmra_err, pmdec_err, pmra_pmdec_cor
0001-120,   0,   5,   3,   5,   1.020, -11.816,,,,,
0002+051,   0,   5,   3,   5,   1.334,   5.403,,,,,
0002+541,   0,   5,   5,   3,   1.268,  54.474,,,,,
0002-478,  11,  48,  36,  40,   1.149, -47.605,  -0.00031,  +0.03342, 0.01471, 0.04026, 0.27646
0003+380,   4,  26,  18,  23,   1.488,  38.338,,,,,
0003-066, 371,1265, 878, 969,   1.558,  -6.393,  +0.00077,  -0.00156, 0.00125, 0.00223, 0.01804
0005+683,   1,   4,   4,   0,   2.139,  68.623,,,,,
0005-239,   0,   6,   6,   6,   2.002, -23.655,,,,,
0006+061,   1,   4,   3,   2,   2.266,   6.473,,,,,
0006-363,   1,   4,   1,   4,   2.140, -36.024,,,,,
0007+106,  18,  78,  59,  54,   2.629,  10.975,  +0.00372,  +0.00334, 0.00630, 0.01027, 0.07402
0007+171,   2,  27,  19,  24,   2.642,  17.405,,,,,
0007-048,   0,   6,   4,   5,   2.502,  -4.563,,,,,
0008-264,  48, 283, 241, 221,   2.755, -26.209,  +0.01959,  -0.00527, 0.00650, 0.00612,-0.33529
0008-421,   0,   9,   8,   9,   2.719, -41.886,,,,,
0009+081,   1,   6,   5,   4,   2.897,   8.399,,,,,
0009-148,   4,   4,   3,   3,   2.919, -14.568,,,,,
0010+405,  24,  66,  46,  54,   3.380,  40.860,  -0.00274,  -0.00058, 0.00337, 0.00471, 0.05354
0010-401,   0,  14,  11,  12,   3.250, -39.907,,,,,
0011+189,   0,   5,   4,   4,   3.485,  19.178,,,,,
0011-046,   0,   5,   4,   3,   3.476,  -4.398,,,,,
0013-005,  18,  58,  37,  50,   4.046,  -0.253,  -0.00346,  +0.00146, 0.00549, 0.00824,-0.04239
0014+813, 434, 851, 525, 632,   4.285,  81.586,  -0.00145,  +0.00022, 0.00127, 0.00153, 0.05465
0015-054,   0,   7,   6,   6,   4.399,  -5.212,,,,,
0016+731, 234, 829, 617, 614,   4.941,  73.458,  -0.00344,  +0.00041, 0.00090, 0.00092,-0.06023
0017+200,  41, 372, 296, 310,   4.908,  20.363,  -0.00464,  +0.01672, 0.00419, 0.00623,-0.00162
0017+257,   0,   5,   2,   5,   4.916,  26.048,,,,,
0019+058,  83, 332, 267, 251,   5.635,   6.135,  +0.00173,  -0.00237, 0.00283, 0.00419, 0.02276
0019+451,   1,   4,   3,   4,   5.528,  45.426,,,,,
0021+243,   0,   6,   2,   5,   6.114,  24.657,,,,,
0022-423,   0,  11,  10,  10,   6.179, -42.034,,,,,
0023-354,   0,   7,   6,   7,   6.568, -35.214,,,,,
0024+224,   1,   5,   3,   3,   6.814,  22.699,,,,,
0024+597,   0,   5,   4,   2,   6.764,  59.981,,,,,
0025+197,  18, 113,  77,  88,   7.124,  20.007,  -0.01983,  -0.00477, 0.00537, 0.00696, 0.05288
0026+346,   2,  15,  14,  14,   7.309,  34.942,,,,,
0027+056,   0,   6,   5,   3,   7.441,   5.911,,,,,
0028-396,   0,   5,   4,   4,   7.851, -39.380,,,,,
0034+108,   0,   5,   4,   5,   9.359,  11.164,,,,,
0035+413,   8,  46,  38,  28,   9.604,  41.618,  -0.02423,  -0.00025, 0.01505, 0.02226,-0.18430
0035-037,   0,   5,   5,   4,   9.587,  -3.500,,,,,
0035-252,  31,  81,  60,  62,   9.561, -24.984,  -0.00554,  -0.00663, 0.00721, 0.01313,-0.07465
0037+139,   1,   7,   7,   7,   9.915,  14.199,,,,,
0037-329,   1,   4,   3,   3,  10.073, -32.724,,,,,
0037-593,   2,   8,   7,   8,  10.033, -59.065,,,,,
0038-020,   0,   6,   6,   6,  10.240,  -1.776,,,,,
0038-326,   1,   5,   3,   5,  10.128, -32.422,,,,,
0039+230,   7,  17,  12,  13,  10.519,  23.334,  -0.00909,  +0.00331, 0.01220, 0.02076, 0.32837
0039+568,   0,   6,   6,   3,  10.581,  57.143,,,,,
0044+566,   0,   5,   5,   3,  11.752,  56.962,,,,,
0044-846,   0,   6,   5,   6,  11.111, -84.378,,,,,
0046+316,   7,  19,  13,  12,  12.196,  31.957,  +0.00458,  -0.01014, 0.02109, 0.03100,-0.09411
0046+511,   0,   8,   8,   6,  12.408,  51.470,,,,,
0047+023,   9,  24,  19,  20,  12.430,   2.618,  -0.00967,  -0.00935, 0.00487, 0.00835, 0.18299
0047-579,  11,  27,  20,  22,  12.498, -57.641,  -0.01132,  -0.00843, 0.00743, 0.01407, 0.42551
0048-097, 508,1374, 953,1000,  12.672,  -9.485,  +0.00200,  -0.00521, 0.00100, 0.00151,-0.06394
0048-427,  32, 150, 112, 115,  12.790, -42.443,  -0.00387,  +0.01648, 0.00987, 0.01428,-0.02257
0049+437,   0,   5,   3,   5,  13.116,  44.048,,,,,
0051+679,   2,   3,   3,   3,  13.573,  68.186,,,,,
0054+161,  34, 129, 104,  88,  14.230,  16.420,  +0.00011,  -0.02000, 0.00932, 0.01224, 0.07739
0054-006,   0,   6,   3,   6,  14.321,  -0.409,,,,,
0055+060,   0,   5,   4,   4,  14.641,   6.335,,,,,
0055+300,   9,  15,  13,  11,  14.454,  30.352,  +0.01459,  +0.13817, 0.06057, 0.08426,-0.32396
0055-059,  20, 110,  84,  89,  14.521,  -5.665,  -0.00694,  +0.01255, 0.00914, 0.01463, 0.04054
0056-001,   3,  17,  13,  13,  14.773,   0.114,,,,,
0056-572,   0,  16,  16,  14,  14.694, -56.987,,,,,
0059+163,   2,   3,   3,   2,  15.490,  16.661,,,,,
0059+581, 752,2074,1508,1502,  15.691,  58.403,  -0.00116,  -0.00021, 0.00051, 0.00059, 0.00971
0103+057,   0,   5,   5,   5,  16.497,   6.016,,,,,
0103+127,   1,   4,   3,   3,  16.639,  13.001,,,,,
0104-275,   0,  11,   9,   7,  16.609, -27.303,,,,,
0104-408, 409,1238, 924, 961,  16.688, -40.572,  +0.00028,  -0.00446, 0.00116, 0.00177, 0.00032
0106+013, 242,1652,1259,1410,  17.162,   1.583,  +0.00054,  -0.00317, 0.00134, 0.00244,-0.06537
0107-610,  12,  39,  26,  30,  17.314, -60.830,  +0.00072,  +0.04948, 0.01177, 0.03766, 0.15046
0108+388,   1,  12,  11,   9,  17.905,  39.108,,,,,
0109+224,  48, 119,  92,  81,  18.024,  22.744,  +0.00159,  +0.00307, 0.00225, 0.00312, 0.03359
0110+495,   9,  58,  41,  45,  18.363,  49.807,  +0.00439,  +0.00243, 0.00616, 0.00887,-0.19885
0110-668,   2,  11,   4,  10,  18.079, -66.579,,,,,
0111+021,  82, 210, 132, 156,  18.430,   2.371,  -0.00171,  +0.00292, 0.00320, 0.00399,-0.16701
0112-017,   8,  29,  21,  23,  18.821,  -1.451,  +0.00060,  +0.01933, 0.01073, 0.01262,-0.26217
0113-118,   0,  33,  24,  29,  19.052, -11.604,,,,,
0113-283,   0,   7,   6,   7,  18.850, -28.082,,,,,
0114+140,   0,   7,   6,   4,  19.355,  14.303,,,,,
0115-214,  56, 258, 191, 212,  19.453, -21.185,  +0.00136,  +0.01480, 0.00666, 0.00893, 0.04948
0116+319,   0,   5,   5,   4,  19.896,  32.181,,,,,
0116-219,  11,  81,  66,  67,  19.739, -21.692,  +0.02776,  +0.01139, 0.01353, 0.01314, 0.35987
0118-272,   6,  19,  12,  13,  20.132, -27.024,  -0.05505,  +0.06205, 0.02642, 0.04103,-0.16100
0119+041, 392,1444,1028,1107,  20.487,   4.374,  -0.00105,  +0.00103, 0.00114, 0.00212,-0.03947
0119+115, 417,1226, 888, 912,  20.423,  11.831,  +0.00272,  +0.00784, 0.00117, 0.00246, 0.04900
0119+247,   2,   4,   4,   3,  20.662,  25.042,,,,,
0122-003,   1,  10,   6,   8,  21.370,  -0.099,,,,,
0122-514,   5,   5,   2,   5,  21.239, -51.221,  -0.06377,  -0.02954, 0.13504, 0.26180, 0.36659
0123+257,   7,  29,  19,  28,  21.678,  25.984,  -0.00348,  -0.05084, 0.02398, 0.05307, 0.04079
0127+084,   2,   4,   1,   4,  22.615,   8.713,,,,,
0127+145,   1,   6,   4,   6,  22.481,  14.780,,,,,
0130-171,   4,  37,  25,  30,  23.181, -16.913,,,,,
0130-447,   0,   5,   5,   5,  23.254, -44.512,,,,,
0131-522,  54, 422, 340, 330,  23.274, -52.001,  -0.02625,  -0.00081, 0.00660, 0.00939, 0.23825
0132-389,   1,   4,   4,   4,  23.633, -38.726,,,,,
0133+476, 562,1542,1113,1125,  24.244,  47.858,  +0.00138,  -0.00171, 0.00068, 0.00089,-0.02303
0134+311, 111, 268, 192, 191,  24.286,  31.377,  +0.00887,  +0.01138, 0.00535, 0.00771,-0.02835
0134+329,   2,  34,  25,  31,  24.422,  33.160,,,,,
0135-247,   6,  34,  22,  29,  24.410, -24.515,  +0.02412,  -0.02517, 0.01540, 0.02519, 0.01774
0136+176,   2,   3,   2,   2,  24.925,  17.885,,,,,
0136-059,   2,   5,   5,   3,  24.716,  -5.669,,,,,
0137+012,   5,  28,  21,  25,  24.989,   1.529,  -0.02397,  +0.02710, 0.02406, 0.03501,-0.15765
0138-097,  11,  75,  65,  62,  25.358,  -9.479,  -0.01580,  -0.02137, 0.01875, 0.02590,-0.25312
0142-278,   0,  13,  10,  10,  26.264, -27.560,,,,,
0144+209,   1,   4,   4,   2,  26.745,  21.173,,,,,
0144+584,   1,   7,   5,   5,  26.944,  58.679,,,,,
0146+056,  16,  38,  27,  28,  27.343,   5.932,  +0.00867,  +0.00493, 0.02483, 0.03956,-0.47842
0148+274,   2,  22,  14,  14,  27.863,  27.745,,,,,
0149+218,  17,  77,  63,  57,  28.075,  22.119,  +0.00984,  +0.01018, 0.00380, 0.00455,-0.47157
0150-144,   0,  10,   8,   9,  28.133, -14.211,,,,,
0150-334,   5,  21,  14,  16,  28.292, -33.174,  +0.01316,  -0.04584, 0.06732, 0.08057, 0.01480
0151+474,  36, 162, 125, 126,  28.735,  47.724,  -0.00616,  +0.00559, 0.00363, 0.00425,-0.05928
0152+043,   1,   4,   4,   4,  28.766,   4.642,,,,,
0153+744,   3,  23,  18,  18,  29.396,  74.712,,,,,
0153-410,   1,   9,   7,   7,  28.904, -40.812,,,,,
0156+128,   1,   5,   3,   4,  29.734,  13.117,,,,,
0159+723,  17,  60,  45,  45,  30.889,  72.548,  +0.00147,  -0.00191, 0.00621, 0.00579, 0.13214
0159-668,   0,   6,   5,   4,  30.282, -66.637,,,,,
0201+088,   0,   5,   2,   5,  31.145,   9.064,,,,,
0201+113, 249, 561, 371, 422,  30.944,  11.579,  +0.00210,  +0.00402, 0.00151, 0.00176,-0.69003
0202+145,   0,   5,   5,   4,  31.305,  14.742,,,,,
0202+149, 280, 716, 501, 538,  31.210,  15.236,  -0.00435,  +0.01197, 0.00168, 0.00261,-0.05985
0202+319,  83, 637, 532, 497,  31.271,  32.208,  +0.00111,  +0.00100, 0.00194, 0.00270,-0.27467
0202-172,  12, 112,  86,  99,  31.240, -17.022,  -0.00134,  -0.00785, 0.00570, 0.01392, 0.21351
0203+625,   0,   7,   5,   5,  31.763,  62.770,,,,,
0206+136,  14,  61,  47,  54,  32.400,  13.867,  +0.01027,  -0.01908, 0.00699, 0.01039,-0.17371
0206-689,   0,   5,   4,   5,  31.962, -68.632,,,,,
0208+106,   0,   5,   4,   4,  32.805,  10.860,,,,,
0208-512, 168, 464, 335, 350,  32.693, -51.017,  -0.00306,  -0.00147, 0.00277, 0.00329,-0.01470
0211+171,   2,  22,  14,  16,  33.687,  17.380,,,,,
0212+735, 174,1170, 921, 890,  34.378,  73.826,  -0.00511,  -0.00151, 0.00106, 0.00112, 0.05095
0212-620,   2,  12,   9,  10,  33.568, -61.826,,,,,
0213-026,   0,   5,   4,   4,  33.925,  -2.382,,,,,
0214-522,   1,   6,   6,   6,  34.013, -52.003,,,,,
0215+015,  69, 255, 185, 189,  34.454,   1.747,  -0.00168,  -0.00017, 0.00299, 0.00467,-0.00379
0216+011,   6,  12,   6,  11,  34.779,   1.350,  -0.01433,  +0.01348, 0.00902, 0.01213, 0.05914
0219+428,   7,  14,  12,   7,  35.665,  43.035,  -0.02046,  +0.01929, 0.01870, 0.02241, 0.00548
0220+427,   0,   6,   4,   4,  35.798,  42.992,,,,,
0220-349,  18,  42,  32,  27,  35.735, -34.691,  -0.00768,  +0.00217, 0.00857, 0.01326,-0.05454
