iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec
0001+459,   2, 18.0, 2005.61, 1996.61, 2014.60,   1.0671985118, 0.126, +46.2549918584, 0.221
0001+478,   3,  3.9, 2016.68, 2014.44, 2018.38,   0.9418398567, 0.410, +48.1178155394, 1.006
0001-120,   5, 20.7, 2008.25, 1997.35, 2018.07,   1.0204791629, 0.226, -11.8162184454, 1.177
0002+051,   5, 24.0, 2013.31, 1995.54, 2019.54,   1.3342311969, 0.139,  +5.4030007395, 0.364
0002+200,   4, 16.1, 2007.18, 2002.37, 2018.50,   1.1489927503, 0.289, +20.3284215514, 0.103
0002+541,   5, 23.7, 2011.48, 1994.61, 2018.27,   1.2681802805, 0.827, +54.4735900474, 0.251
0002-170,   4, 20.6, 2011.83, 1997.50, 2018.07,   1.3247241328, 0.070, -16.8012997820, 0.664
0002-350,   4,  4.3, 2016.90, 2014.60, 2018.88,   1.2746879770, 0.149, -34.7637931328, 0.518
0002-478,  59, 25.3, 2010.63, 1993.94, 2019.28,   1.1485645979, 0.361, -47.6054456281, 0.557
0003+123,   4, 11.3, 2014.28, 2007.03, 2018.35,   1.5960668770, 0.376, +12.5980830966, 0.617
0003+158,   3,  2.3, 2017.21, 2016.05, 2018.35,   1.4968237695, 0.243, +16.1636172847, 0.964
0003+340,   3,  6.5, 2015.93, 2011.97, 2018.51,   1.5307606429, 0.194, +34.3723351732, 0.799
0003+380,  30, 26.2, 2003.90, 1992.27, 2018.51,   1.4882307772, 0.134, +38.3375415027, 0.182
0003-066,1636, 33.1, 2006.56, 1988.04, 2021.14,   1.5578870553, 0.030,  -6.3931487406, 0.072
0003-302,   3, 16.0, 2011.73, 2002.37, 2018.38,   1.5046812297, 1.256, -29.9305815356, 1.475
0004+240,   3, 22.5, 2003.57, 1996.00, 2018.50,   1.7032889863, 0.065, +24.3767754870, 0.224
0005+114,   4, 16.0, 2013.11, 2002.37, 2018.35,   2.0034925754, 0.372, +11.7335488477, 0.608
0005+568,   4, 23.7, 2011.03, 1994.61, 2018.27,   1.9519520899, 0.586, +57.1028996726, 0.203
0005+683,   5, 23.0, 2010.57, 1995.30, 2018.35,   2.1394692401, 2.205, +68.6227912554, 0.132
0005-239,   6, 20.9, 2009.56, 1997.50, 2018.42,   2.0015404611, 1.385, -23.6550408605, 1.422
0005-262,   4, 20.9, 2007.00, 1997.50, 2018.42,   2.1093853744, 0.181, -25.9865379938, 1.108
0006+061,   5, 16.5, 2013.16, 2002.37, 2018.84,   2.2663826645, 0.129,  +6.4725667030, 0.152
0006+397,   4, 21.9, 2011.66, 1996.43, 2018.38,   2.2673900366, 0.312, +40.0296406909, 0.619
0006+771,   2,  1.3, 2017.95, 2017.32, 2018.58,   2.4295486559, 3.121, +77.4116681798, 1.144
0006-363,   5, 13.4, 2013.95, 2005.50, 2018.88,   2.1402547535, 0.628, -36.0236206692, 5.439
0007+016,   3,  0.8, 2018.66, 2018.14, 2018.97,   2.4944065950, 1.672,  +1.9653202870, 2.177
0007+106,  96, 32.0, 2011.08, 1988.35, 2020.35,   2.6291912631, 0.086, +10.9748623520, 0.122
0007+171,  29, 28.3, 2002.10, 1990.11, 2018.38,   2.6416277474, 0.133, +17.4052116392, 0.198
0007+205,   2,  4.1, 2016.46, 2014.41, 2018.50,   2.6197625372, 0.134, +20.7971635522, 0.179
0007+439,   4, 11.4, 2014.29, 2006.96, 2018.38,   2.6251934659, 1.057, +44.2118070588, 0.895
0007+757,   2,  1.3, 2017.96, 2017.32, 2018.61,   2.4509758375, 3.080, +76.0550458604, 0.234
0007-048,   6,  3.7, 2016.41, 2015.22, 2018.87,   2.5016193389, 0.267,  -4.5634738655, 0.722
0007-325,   3,  9.5, 2015.13, 2009.37, 2018.88,   2.3981572943, 0.235, -32.2769246999, 0.587
0008+006,   3,  4.5, 2017.43, 2014.44, 2018.97,   2.8766798829, 1.210,  +0.9644107802, 1.947
0008+704,   3, 23.3, 2009.50, 1995.30, 2018.61,   2.8829284823, 1.235, +70.7587850826, 0.125
0008-222,   4, 20.9, 2007.00, 1997.50, 2018.42,   2.7235416119, 0.119, -21.9511717578, 1.231
0008-264, 331, 31.6, 2015.38, 1989.43, 2021.06,   2.7551948195, 0.135, -26.2092713456, 0.148
0008-300,   2, 11.5, 2012.69, 2006.96, 2018.42,   2.6882386961, 2.635, -29.7536595430, 2.338
0008-307,   4, 16.8, 2013.19, 2002.09, 2018.92,   2.6489258928, 0.275, -30.4631717653, 0.451
0008-311,   4,  6.9, 2016.79, 2012.11, 2018.99,   2.6454571727, 0.745, -30.9042498427, 0.620
0008-421,   9, 28.3, 2008.84, 1990.74, 2019.02,   2.7188248988, 3.187, -41.8863310056, 6.005
0009+081,   7, 23.3, 2013.02, 1995.54, 2018.88,   2.8969567235, 0.141,  +8.3987739557, 0.272
0009+467,   4, 12.9, 2013.95, 2005.55, 2018.42,   3.1220951287, 0.642, +47.0763160724, 0.399
0009+655,   4, 13.9, 2013.74, 2004.40, 2018.35,   3.1569615031, 1.462, +65.8530063528, 0.744
0009-148,   8, 14.0, 2017.46, 2007.03, 2021.03,   2.9185660038, 0.165, -14.5679542237, 0.243
0010+336,   4, 13.2, 2013.82, 2005.36, 2018.57,   3.1974258368, 1.173, +33.8940198666, 0.863
0010+405,  90, 29.6, 2011.92, 1991.48, 2021.04,   3.3797091819, 0.091, +40.8603178874, 0.117
0010+463,   4, 21.8, 2011.72, 1996.61, 2018.42,   3.3187033533, 0.666, +46.6024085093, 0.323
0010-155,   3, 10.2, 2012.91, 2006.96, 2017.15,   3.3362574685, 0.704, -15.2299403084, 0.480
0010-401,  14, 17.1, 2015.54, 2002.09, 2019.19,   3.2496245660, 0.970, -39.9072379904, 1.010
0011+189,   5, 22.4, 2008.46, 1996.00, 2018.38,   3.4849005355, 0.339, +19.1783101889, 0.758
0011-046,   5, 21.0, 2012.26, 1997.35, 2018.33,   3.4755457477, 0.386,  -4.3978592502, 0.465
0012+077,   2,  1.4, 2018.30, 2017.60, 2018.99,   3.8577157118,43.147,  +8.0344942699,37.022
0012+319,   3, 13.2, 2012.67, 2005.42, 2018.57,   3.7756143734, 0.198, +32.2703641013, 1.544
0012+610,   4, 16.0, 2013.00, 2002.37, 2018.38,   3.7033000388, 0.598, +61.2954285212, 0.530
0012-184,   4, 19.7, 2006.75, 1997.50, 2017.23,   3.7603835866, 0.304, -18.2141342415, 0.317
0013-005,  76, 30.9, 2005.67, 1990.13, 2021.04,   4.0462023146, 0.118,  -0.2534571991, 0.332
0013-184,   3, 10.2, 2012.95, 2007.03, 2017.23,   3.8930190535, 0.491, -18.1237739870, 0.375
0013-240,   2,  4.0, 2016.44, 2014.44, 2018.44,   4.0239111819, 0.810, -23.7311659678, 1.505
0014+813,1285, 33.5, 2003.29, 1987.62, 2021.15,   4.2853121776, 0.107, +81.5855934702, 0.040
0015+145,   3,  2.3, 2017.27, 2016.11, 2018.38,   4.4037661979, 0.640, +14.8505226651, 1.609
0015+529,   4, 23.7, 2011.03, 1994.61, 2018.27,   4.4656654563, 0.687, +53.2053115024, 0.292
0015-028,   1,  0.0, 2020.29, 2020.29, 2020.29,   4.4684297796, 0.000,  -2.6053384926, 0.000
0015-054,   7, 12.8, 2014.71, 2005.52, 2018.33,   4.3992377469, 3.157,  -5.2116005597, 6.830
0015-280,   3, 12.9, 2012.86, 2005.55, 2018.44,   4.4958584380, 0.139, -27.8059921146, 2.383
0016+731,1063, 33.1, 2006.56, 1988.01, 2021.13,   4.9407765697, 0.086, +73.4583382256, 0.025
0016-223,   2,  0.6, 2018.72, 2018.44, 2018.99,   4.8451172565, 2.228, -22.0910929718, 1.794
0017+200, 413, 25.2, 2017.03, 1996.00, 2021.15,   4.9077271158, 0.199, +20.3626791168, 0.130
0017+257,   5, 22.1, 2011.93, 1996.37, 2018.51,   4.9157524779, 0.144, +26.0478550133, 0.533
0017+296,   2,  4.1, 2016.46, 2014.41, 2018.51,   4.9074596183, 0.164, +29.9338674675, 0.817
0017-307,   4, 16.0, 2012.97, 2002.09, 2018.05,   4.9278148005, 3.167, -30.5220421169, 2.529
0018+715,   3, 23.3, 2009.50, 1995.30, 2018.61,   5.2617240320, 1.053, +71.8391029855, 0.060
0018+729,   3, 23.3, 2006.98, 1995.30, 2018.61,   5.3640634731, 0.037, +73.2116475672, 0.055
0019+058, 415, 32.5, 2015.75, 1988.64, 2021.15,   5.6351717125, 0.096,  +6.1345191788, 0.093
0019+451,   5, 21.8, 2009.46, 1996.61, 2018.42,   5.5275471483, 0.534, +45.4260723931, 0.373
0019-000,   3, 21.5, 2010.22, 1997.35, 2018.88,   5.6059410439, 0.285,  +0.2489345321, 1.479
0020+015,   1,  0.0, 2019.02, 2019.02, 2019.02,   5.6592713067, 0.000,  +1.7840074744, 0.000
0020+446,   4, 21.8, 2011.81, 1996.61, 2018.42,   5.8976768646, 0.560, +44.9432661928, 0.359
0021+243,   6, 16.1, 2008.36, 2002.37, 2018.51,   6.1138772591, 0.108, +24.6572862805, 0.598
0021+464,   4, 21.8, 2011.83, 1996.61, 2018.44,   6.0897404297, 0.563, +46.7350640606, 0.438
0021-084,   4, 13.9, 2010.65, 2004.40, 2018.33,   6.0028030793, 0.162,  -8.1861244864, 0.794
0022+390,   3, 22.1, 2009.68, 1996.43, 2018.58,   6.3589902694, 0.456, +39.3265110877, 0.354
0022-044,   4, 21.0, 2011.42, 1997.35, 2018.35,   6.1915967620, 0.222,  -4.2004295824, 0.999
0022-227,   3, 11.5, 2013.34, 2006.96, 2018.44,   6.3510308752, 1.739, -22.4632211134, 2.299
0022-423,  11, 27.4, 2009.04, 1990.74, 2018.14,   6.1791258650, 3.523, -42.0344306542, 1.802
0023-263,   3, 16.1, 2011.82, 2002.37, 2018.50,   6.4548179822, 0.217, -26.0368370858, 0.495
0023-354,   7,  4.3, 2017.49, 2014.60, 2018.89,   6.5682797290, 1.598, -35.2135538213, 0.658
0024+092,   3, 16.8, 2011.87, 2002.09, 2018.92,   6.7741403476, 0.092,  +9.4993788824, 0.423
0024+224,   6, 22.5, 2009.08, 1996.00, 2018.51,   6.8140481281, 0.519, +22.6994639252, 0.556
0024+348,   3, 22.2, 2009.65, 1996.37, 2018.58,   6.6738532189, 1.535, +35.1450756059, 2.430
0024+597,   5, 23.7, 2008.94, 1994.61, 2018.33,   6.7636925380, 0.353, +59.9813776613, 0.181
0024-114,   3, 11.7, 2012.56, 2005.50, 2017.23,   6.7143465357, 1.403, -11.2145631604, 2.484
0025+197, 131, 25.1, 2016.41, 1996.00, 2021.11,   7.1242436874, 0.086, +20.0074288734, 0.104
0025+449,   2,  1.4, 2017.76, 2017.09, 2018.44,   6.9260953808, 0.824, +45.2491879910, 0.620
0026+048,   3, 23.4, 2009.69, 1995.54, 2018.92,   7.2649674799, 0.403,  +5.1596853549, 0.207
0026+346,  17, 31.3, 2000.42, 1987.59, 2018.90,   7.3093435565, 0.988, +34.9422908993, 1.178
0026-015,   3, 14.0, 2012.23, 2004.33, 2018.35,   7.2541084123, 0.239,  -1.2282658297, 1.069
0027+056,   6, 23.5, 2012.97, 1995.54, 2019.02,   7.4412345299, 0.142,  +5.9113090285, 0.256
0027+587,   2,  0.7, 2018.66, 2018.33, 2018.99,   7.6810592334, 0.376, +59.0721389887, 0.734
0027+703,   3, 23.4, 2009.52, 1995.30, 2018.67,   7.5600534314, 1.499, +70.6277947174, 0.150
0027-024,   4, 14.0, 2010.37, 2004.33, 2018.35,   7.6325988054, 0.375,  -2.1989251917, 1.026
0027-426,   4,  8.7, 2015.36, 2009.31, 2018.05,   7.5728876290, 6.062, -42.4129135484, 5.953
0028-017,   1,  0.0, 2020.23, 2020.23, 2020.23,   7.7302855232, 0.000,  -1.4753476991, 0.000
0028-396,   5, 15.7, 2013.47, 2002.37, 2018.05,   7.8513816902, 2.276, -39.3803805000, 1.717
0029-147,   4, 12.9, 2010.22, 2004.33, 2017.23,   7.9850492562, 0.430, -14.4387064825, 0.244
0030+196,   2,  4.0, 2016.40, 2014.41, 2018.38,   8.1597470850, 3.629, +19.8982715593, 1.050
0032+276,   3, 22.2, 2009.79, 1996.37, 2018.57,   8.6811920764, 0.598, +27.9071446432, 0.312
0032+612,   4, 15.4, 2011.01, 2002.95, 2018.38,   8.8554602907, 1.057, +61.5085447202, 1.049
0032-011,   2,  3.9, 2016.39, 2014.44, 2018.35,   8.6830081905, 0.023,  -0.9036204427, 1.510
0033+098,   2,  1.1, 2019.25, 2018.72, 2019.79,   9.0990299128, 0.045, +10.1329070469, 0.342
0033+142,   3, 16.1, 2011.73, 2002.37, 2018.42,   9.1462879082, 0.092, +14.5676723056, 0.951
0033+143,   3, 11.4, 2013.29, 2007.03, 2018.42,   8.9336995390, 0.166, +14.6338817274, 1.031
0033-088,   3, 13.0, 2011.69, 2005.42, 2018.38,   8.9427101050, 0.696,  -8.5983446231, 1.706
0034+078,   4, 13.5, 2014.53, 2005.52, 2019.06,   9.3841549091, 0.385,  +8.1369602508, 1.110
0034+108,   5, 22.9, 2008.99, 1995.54, 2018.42,   9.3585059710, 0.164, +11.1641452758, 0.828
0034+393,   2,  1.5, 2017.83, 2017.09, 2018.58,   9.4030239391, 0.071, +39.6366097931, 1.145
0034-220,   3, 11.5, 2012.36, 2006.96, 2018.50,   9.3117743781, 1.833, -21.7568653935, 0.734
0035+121,   4, 22.4, 2006.30, 1996.00, 2018.42,   9.5750690397, 0.106, +12.4586806482, 0.848
0035+238,   3, 11.0, 2013.50, 2007.52, 2018.57,   9.4929157216, 0.804, +24.1199633984, 0.736
0035+367,   3, 22.2, 2009.68, 1996.43, 2018.61,   9.4422626426, 0.159, +36.9863565988, 0.260
0035+413,  54, 25.6, 2010.81, 1994.19, 2019.79,   9.6035149039, 0.109, +41.6183334271, 0.104
0035+503,   4, 21.7, 2009.82, 1996.61, 2018.33,   9.6183899987, 0.031, +50.5905094325, 0.203
0035-024,   3, 11.3, 2013.15, 2007.07, 2018.38,   9.5855391287, 0.779,  -2.1279290525, 2.024
0035-037,   5, 14.0, 2015.14, 2005.55, 2019.54,   9.5866433467, 0.523,  -3.4997114943, 1.910
0035-252, 112, 23.4, 2012.03, 1997.50, 2020.88,   9.5613979280, 0.066, -24.9839541955, 0.061
0036-099,   3, 11.4, 2013.32, 2006.96, 2018.38,   9.7762154025, 1.912,  -9.7130241430, 2.244
0036-191,   3, 11.7, 2012.57, 2005.52, 2017.24,   9.8205190770, 0.060, -18.9015578266, 0.553
0036-216,   4, 21.0, 2007.06, 1997.50, 2018.50,   9.6248118063, 0.251, -21.3344500444, 0.472
0037+011,   2,  3.4, 2016.33, 2014.60, 2018.05,  10.0563555710, 2.008,  +1.4295412876, 1.064
