iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec
0000+212,   3, 22.5, 2003.57, 1996.00, 2018.50,   0.8306250106, 0.026, +21.4956966805, 0.042
0000-160,   3,  2.7, 2016.83, 2015.31, 2018.05,   0.8636006523, 0.170, -15.7848487403, 0.537
0000-197,   5, 20.5, 2008.99, 1997.50, 2018.05,   0.8278126389, 0.108, -19.4562098179, 0.338
0000-199,   4, 11.1, 2014.15, 2006.96, 2018.05,   0.8164558890, 0.133, -19.6973338594, 0.151
0001+459,   4, 21.8, 2011.70, 1996.61, 2018.38,   1.0671985345, 0.061, +46.2549919136, 0.082
0001+478,   3,  3.9, 2016.68, 2014.44, 2018.38,   0.9418397481, 0.515, +48.1178153934, 0.229
0001-120,   5, 20.7, 2008.25, 1997.35, 2018.07,   1.0204791747, 0.038, -11.8162183167, 0.149
0002+051,   5, 24.0, 2013.31, 1995.54, 2019.54,   1.3342312312, 0.087,  +5.4030008633, 0.231
0002+200,   4, 16.1, 2007.18, 2002.37, 2018.50,   1.1489928514, 0.091, +20.3284215742, 0.099
0002+541,   5, 23.7, 2011.48, 1994.61, 2018.27,   1.2681805927, 0.142, +54.4735901282, 0.078
0002-170,   4, 20.6, 2011.83, 1997.50, 2018.07,   1.3247241642, 0.066, -16.8012995718, 0.087
0002-350,   4,  4.3, 2016.90, 2014.60, 2018.88,   1.2746879236, 0.116, -34.7637931019, 0.592
0003+123,   4, 11.3, 2014.28, 2007.03, 2018.35,   1.5960670204, 0.178, +12.5980828538, 0.091
0003+158,   3,  2.3, 2017.21, 2016.05, 2018.35,   1.4968240651, 0.034, +16.1636171837, 0.134
0003+340,   3,  6.5, 2015.93, 2011.97, 2018.51,   1.5307606733, 0.076, +34.3723349735, 0.053
0003+380,  30, 26.2, 2003.90, 1992.27, 2018.51,   1.4882307777, 0.050, +38.3375413865, 0.033
0003-066,1672, 32.6, 2006.34, 1988.04, 2020.63,   1.5578870307, 0.006,  -6.3931487017, 0.010
0003-302,   3, 16.0, 2011.73, 2002.37, 2018.38,   1.5046807161, 0.229, -29.9305824923, 0.102
0004+240,   3, 22.5, 2003.57, 1996.00, 2018.50,   1.7032891794, 0.023, +24.3767755697, 0.095
0005+114,   4, 16.0, 2013.11, 2002.37, 2018.35,   2.0034927253, 0.098, +11.7335486228, 0.140
0005+568,   4, 23.7, 2011.03, 1994.61, 2018.27,   1.9519525772, 0.050, +57.1028997890, 0.124
0005+683,   5, 23.0, 2010.57, 1995.30, 2018.35,   2.1394700013, 0.793, +68.6227913179, 0.132
0005-239,   6, 20.9, 2009.56, 1997.50, 2018.42,   2.0015401011, 0.113, -23.6550416985, 0.378
0005-262,   4, 20.9, 2007.00, 1997.50, 2018.42,   2.1093854222, 0.070, -25.9865390155, 0.132
0006+061,   5, 16.5, 2013.16, 2002.37, 2018.84,   2.2663826966, 0.080,  +6.4725667605, 0.131
0006+397,   4, 21.9, 2011.66, 1996.43, 2018.38,   2.2673899514, 0.125, +40.0296404676, 0.064
0006+771,   2,  1.3, 2017.95, 2017.32, 2018.58,   2.4295498713, 4.430, +77.4116681585, 0.763
0006-363,   5, 13.4, 2013.95, 2005.50, 2018.88,   2.1402547746, 0.329, -36.0236204449, 0.742
0007+016,   2,  0.7, 2018.51, 2018.14, 2018.88,   2.4944072282, 0.496,  +1.9653192757, 0.027
0007+171,  34, 28.3, 2004.12, 1990.11, 2018.38,   2.6416276750, 0.134, +17.4052114892, 0.068
0007+205,   2,  4.1, 2016.46, 2014.41, 2018.50,   2.6197626620, 0.022, +20.7971634820, 0.012
0007+439,   4, 11.4, 2014.29, 2006.96, 2018.38,   2.6251936209, 0.115, +44.2118069259, 0.058
0007+757,   2,  1.3, 2017.96, 2017.32, 2018.61,   2.4509772314, 4.188, +76.0550460951, 0.769
0007-048,   6,  3.7, 2016.41, 2015.22, 2018.87,   2.5016194192, 0.045,  -4.5634740721, 0.186
0007-325,   3,  9.5, 2015.13, 2009.37, 2018.88,   2.3981573392, 0.087, -32.2769248516, 0.377
0008+006,   2,  4.4, 2016.66, 2014.44, 2018.88,   2.8766800879, 0.164,  +0.9644102509, 0.140
0008+704,   3, 23.3, 2009.50, 1995.30, 2018.61,   2.8829284955, 0.277, +70.7587849960, 0.084
0008-222,   4, 20.9, 2007.00, 1997.50, 2018.42,   2.7235416213, 0.070, -21.9511723160, 0.196
0008-264, 328, 31.2, 2015.28, 1989.43, 2020.68,   2.7551947643, 0.019, -26.2092714195, 0.021
0008-300,   2, 11.5, 2012.69, 2006.96, 2018.42,   2.6882389800, 0.115, -29.7536605377, 0.155
0008-307,   4, 16.8, 2013.19, 2002.09, 2018.92,   2.6489258973, 0.112, -30.4631718250, 0.171
0008-311,   4,  6.9, 2016.79, 2012.11, 2018.99,   2.6454572099, 0.126, -30.9042500831, 0.339
0008-421,   9, 28.3, 2008.84, 1990.74, 2019.02,   2.7188228850, 1.530, -41.8863279702, 1.720
0009+081,   7, 23.3, 2013.02, 1995.54, 2018.88,   2.8969567291, 0.060,  +8.3987739616, 0.061
0009+467,   4, 12.9, 2013.95, 2005.55, 2018.42,   3.1220953531, 0.007, +47.0763160461, 0.181
0009+655,   4, 13.9, 2013.74, 2004.40, 2018.35,   3.1569622245, 2.880, +65.8530064277, 0.710
0010+336,   4, 13.2, 2013.82, 2005.36, 2018.57,   3.1974257106, 0.140, +33.8940199483, 0.183
0010+405,  94, 28.7, 2011.97, 1991.48, 2020.23,   3.3797091519, 0.018, +40.8603178370, 0.021
0010+463,   4, 21.8, 2011.72, 1996.61, 2018.42,   3.3187035090, 0.145, +46.6024084476, 0.114
0010-155,   4, 11.1, 2014.21, 2006.96, 2018.11,   3.3362575195, 0.028, -15.2299401901, 0.163
0010-401,  14, 17.1, 2015.54, 2002.09, 2019.19,   3.2496243222, 0.095, -39.9072375945, 0.205
0011+189,   5, 22.4, 2008.46, 1996.00, 2018.38,   3.4849004537, 0.122, +19.1783099047, 0.112
0011-046,   5, 21.0, 2012.26, 1997.35, 2018.33,   3.4755457258, 0.085,  -4.3978596841, 0.157
0012+077,   2,  1.4, 2018.30, 2017.60, 2018.99,   3.8577245192, 0.265,  +8.0345028534, 0.017
0012+319,   3, 13.2, 2012.67, 2005.42, 2018.57,   3.7756142283, 0.108, +32.2703638557, 0.030
0012+610,   4, 16.0, 2013.00, 2002.37, 2018.38,   3.7033004947, 0.302, +61.2954284647, 0.158
0012-184,   5, 20.6, 2009.02, 1997.50, 2018.11,   3.7603834702, 0.071, -18.2141341547, 0.194
0013-005,  76, 30.4, 2005.54, 1990.13, 2020.53,   4.0462023086, 0.028,  -0.2534570491, 0.047
0013-184,   4, 11.1, 2014.24, 2007.03, 2018.11,   3.8930189130, 0.077, -18.1237740159, 0.311
0013-240,   2,  4.0, 2016.44, 2014.44, 2018.44,   4.0239110264, 0.274, -23.7311665599, 0.335
0014+813,1336, 32.5, 2003.40, 1987.62, 2020.16,   4.2853121421, 0.024, +81.5855934810, 0.007
0015+145,   3,  2.3, 2017.27, 2016.11, 2018.38,   4.4037659876, 0.125, +14.8505221798, 0.220
0015+529,   4, 23.7, 2011.03, 1994.61, 2018.27,   4.4656659187, 0.149, +53.2053116064, 0.119
0015-028,   1,  0.0, 2020.29, 2020.29, 2020.29,   4.4684318792, 0.000,  -2.6053387435, 0.000
0015-054,   7, 12.8, 2014.71, 2005.52, 2018.33,   4.3992381383, 2.167,  -5.2116017192, 6.026
0015-280,   3, 12.9, 2012.86, 2005.55, 2018.44,   4.4958581934, 0.264, -27.8059925908, 0.438
0016+453,   1,  0.0, 2019.52, 2019.52, 2019.52,   4.8709492339, 0.000, +45.6286372902, 0.000
0016+731,1070, 32.7, 2006.60, 1988.01, 2020.68,   4.9407764065, 0.019, +73.4583382536, 0.003
0017+200, 406, 24.7, 2016.91, 1996.00, 2020.69,   4.9077270600, 0.008, +20.3626790921, 0.007
0017+257,   5, 22.1, 2011.93, 1996.37, 2018.51,   4.9157524729, 0.052, +26.0478548132, 0.106
0017+296,   2,  4.1, 2016.46, 2014.41, 2018.51,   4.9074596408, 0.227, +29.9338671062, 0.429
0017-307,   4, 16.0, 2012.97, 2002.09, 2018.05,   4.9278137604, 0.132, -30.5220413001, 0.353
0018+715,   3, 23.3, 2009.50, 1995.30, 2018.61,   5.2617240325, 0.107, +71.8391029071, 0.033
0018+729,   3, 23.3, 2006.98, 1995.30, 2018.61,   5.3640630624, 0.361, +73.2116475597, 0.057
0019+058, 375, 32.1, 2015.15, 1988.64, 2020.69,   5.6351716912, 0.014,  +6.1345191580, 0.015
0019+451,   5, 21.8, 2009.46, 1996.61, 2018.42,   5.5275472666, 0.075, +45.4260723304, 0.065
0019-000,   3, 21.5, 2010.22, 1997.35, 2018.88,   5.6059410074, 0.259,  +0.2489343847, 1.260
0020+015,   1,  0.0, 2019.02, 2019.02, 2019.02,   5.6592712267, 0.000,  +1.7840074272, 0.000
0020+446,   4, 21.8, 2011.81, 1996.61, 2018.42,   5.8976769930, 0.056, +44.9432661989, 0.093
0021+243,   6, 16.1, 2008.36, 2002.37, 2018.51,   6.1138772177, 0.075, +24.6572859801, 0.142
0021+464,   4, 21.8, 2011.83, 1996.61, 2018.44,   6.0897401770, 0.089, +46.7350638211, 0.098
0021-084,   4, 13.9, 2010.65, 2004.40, 2018.33,   6.0028031286, 0.066,  -8.1861247440, 0.230
0022+390,   3, 22.1, 2009.68, 1996.43, 2018.58,   6.3589902966, 0.173, +39.3265109704, 0.242
0022-044,   4, 21.0, 2011.42, 1997.35, 2018.35,   6.1915967210, 0.082,  -4.2004302507, 0.073
0022-227,   3, 11.5, 2013.34, 2006.96, 2018.44,   6.3510308494, 0.218, -22.4632213820, 0.059
0022-423,  11, 27.4, 2009.04, 1990.74, 2018.14,   6.1791241968, 0.804, -42.0344301337, 1.259
0023-263,   3, 16.1, 2011.82, 2002.37, 2018.50,   6.4548179322, 0.116, -26.0368370634, 0.456
0023-354,   8,  4.7, 2017.71, 2014.60, 2019.25,   6.5682795645, 0.233, -35.2135536060, 0.202
0024+092,   3, 16.8, 2011.87, 2002.09, 2018.92,   6.7741403486, 0.154,  +9.4993788887, 0.372
0024+224,   6, 22.5, 2009.08, 1996.00, 2018.51,   6.8140480612, 0.071, +22.6994634195, 0.105
0024+348,   3, 22.2, 2009.65, 1996.37, 2018.58,   6.6738531820, 1.466, +35.1450754530, 2.305
0024+597,   5, 23.7, 2008.94, 1994.61, 2018.33,   6.7636924027, 0.210, +59.9813776568, 0.123
0024-114,   4, 12.6, 2013.95, 2005.50, 2018.11,   6.7143463813, 0.691, -11.2145624984, 0.839
0025+197, 121, 24.6, 2015.94, 1996.00, 2020.65,   7.1242436620, 0.021, +20.0074289320, 0.024
0025+449,   2,  1.4, 2017.76, 2017.09, 2018.44,   6.9260948504, 0.530, +45.2491876817, 0.048
0026+048,   3, 23.4, 2009.69, 1995.54, 2018.92,   7.2649674970, 0.280,  +5.1596853437, 0.243
0026+324,   1,  0.0, 2019.52, 2019.52, 2019.52,   7.3875588248, 0.000, +32.7474428122, 0.000
0026+346,  17, 31.3, 2000.42, 1987.59, 2018.90,   7.3093435874, 0.555, +34.9422908142, 0.414
0026-015,   4, 15.7, 2014.18, 2004.33, 2020.05,   7.2541084513, 0.096,  -1.2282665378, 0.167
0027+056,   7, 23.5, 2013.83, 1995.54, 2019.04,   7.4412346299, 0.061,  +5.9113089995, 0.122
0027+703,   3, 23.4, 2009.52, 1995.30, 2018.67,   7.5600538989, 0.151, +70.6277946917, 0.082
0027-024,   4, 14.0, 2010.37, 2004.33, 2018.35,   7.6325989166, 0.065,  -2.1989257498, 0.213
0027-426,   4,  8.7, 2015.36, 2009.31, 2018.05,   7.5728860128, 0.250, -42.4129119333, 0.750
0028-017,   1,  0.0, 2020.23, 2020.23, 2020.23,   7.7302851115, 0.000,  -1.4753467074, 0.000
0028-396,   5, 15.7, 2013.47, 2002.37, 2018.05,   7.8513811534, 0.177, -39.3803802751, 0.519
0029-147,   5, 13.9, 2011.82, 2004.33, 2018.23,   7.9850491433, 0.112, -14.4387066374, 0.341
0029-414,   1,  0.0, 2020.02, 2020.02, 2020.02,   7.8669177037, 0.000, -41.1377452369, 0.000
0030+196,   2,  4.0, 2016.40, 2014.41, 2018.38,   8.1597468126, 2.983, +19.8982708239, 2.280
0031+211,   1,  0.0, 2020.38, 2020.38, 2020.38,   8.5701650102, 0.000, +21.4448883025, 0.000
0032+276,   3, 22.2, 2009.79, 1996.37, 2018.57,   8.6811920537, 0.464, +27.9071446114, 0.162
0032+612,   4, 15.4, 2011.01, 2002.95, 2018.38,   8.8554606476, 0.120, +61.5085448002, 0.059
0032-011,   2,  3.9, 2016.39, 2014.44, 2018.35,   8.6830082312, 0.086,  -0.9036208014, 0.223
0033+098,   4,  1.1, 2019.36, 2018.72, 2019.79,   9.0990298221, 0.121, +10.1329073392, 0.057
0033+142,   3, 16.1, 2011.73, 2002.37, 2018.42,   9.1462879344, 0.023, +14.5676719091, 0.363
0033+143,   3, 11.4, 2013.29, 2007.03, 2018.42,   8.9336995725, 0.089, +14.6338813041, 0.158
0033-088,   3, 13.0, 2011.69, 2005.42, 2018.38,   8.9427100079, 0.097,  -8.5983450961, 0.164
0034+078,   4, 13.5, 2014.53, 2005.52, 2019.06,   9.3841548661, 0.079,  +8.1369603641, 0.122
0034+108,   5, 22.9, 2008.99, 1995.54, 2018.42,   9.3585059904, 0.112, +11.1641447896, 0.091
0034+214,   1,  0.0, 2020.38, 2020.38, 2020.38,   9.3480867687, 0.000, +21.6980903086, 0.000
0034+393,   2,  1.5, 2017.83, 2017.09, 2018.58,   9.4030239067, 0.191, +39.6366098076, 0.413
0034-220,   3, 11.5, 2012.36, 2006.96, 2018.50,   9.3117747018, 0.148, -21.7568652160, 0.472
0035+121,   4, 22.4, 2006.30, 1996.00, 2018.42,   9.5750690729, 0.031, +12.4586801157, 0.114
0035+186,   1,  0.0, 2020.38, 2020.38, 2020.38,   9.6203823527, 0.000, +18.9382309947, 0.000
0035+238,   3, 11.0, 2013.50, 2007.52, 2018.57,   9.4929157499, 0.550, +24.1199633429, 0.661
0035+367,   3, 22.2, 2009.68, 1996.43, 2018.61,   9.4422624876, 0.129, +36.9863565180, 0.239
0035+413,  56, 25.6, 2011.00, 1994.19, 2019.79,   9.6035149282, 0.034, +41.6183334414, 0.027
0035+503,   4, 21.7, 2009.82, 1996.61, 2018.33,   9.6183899289, 0.126, +50.5905094495, 0.103
0035-024,   3, 11.3, 2013.15, 2007.07, 2018.38,   9.5855390126, 0.064,  -2.1279296690, 0.125
0035-037,   5, 14.0, 2015.14, 2005.55, 2019.54,   9.5866431420, 0.038,  -3.4997115737, 0.079
0035-252, 113, 23.0, 2012.05, 1997.50, 2020.52,   9.5613979235, 0.039, -24.9839542258, 0.053
0035-340,   1,  0.0, 2020.02, 2020.02, 2020.02,   9.3702685567, 0.000, -33.7451152056, 0.000
