iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec
0000+212,   5, 22.5, 2008.64, 1996.01, 2018.50,   0.8306250138, 0.047, +21.4956967384, 0.141
0000-006,   2,  0.4, 2019.29, 2019.07, 2019.51,   0.7382305110, 0.051,  -0.4131320459, 0.543
0000-160,   4,  4.5, 2017.59, 2015.31, 2019.85,   0.8636006703, 0.135, -15.7848488150, 0.471
0000-197,   6, 22.4, 2010.80, 1997.50, 2019.85,   0.8278126127, 0.116, -19.4562099281, 0.322
0000-199,   5, 12.9, 2015.29, 2006.96, 2019.85,   0.8164558673, 0.116, -19.6973338886, 0.147
0001+459,   5, 22.9, 2013.27, 1996.61, 2019.51,   1.0671985314, 0.046, +46.2549918947, 0.067
0001+478,   4,  5.0, 2017.37, 2014.44, 2019.44,   0.9418397990, 0.555, +48.1178153681, 0.155
0001-120,   2,  0.0, 2004.34, 2004.33, 2004.35,   1.0204792108, 0.261, -11.8162181773, 0.838
0002+051,   8, 24.0, 2015.34, 1995.54, 2019.54,   1.3342312604, 0.074,  +5.4030008996, 0.190
0002+200,   5, 16.1, 2009.23, 2002.37, 2018.50,   1.1489928228, 0.057, +20.3284215926, 0.092
0002+541,   5, 23.7, 2011.48, 1994.61, 2018.27,   1.2681805921, 0.143, +54.4735901364, 0.092
0002-018,   2,  0.5, 2019.31, 2019.08, 2019.53,   1.2794658809, 0.015,  -1.5458708314, 0.133
0002-170,   3, 22.4, 2010.66, 1997.50, 2019.88,   1.3247241156, 0.084, -16.8012995188, 0.281
0002-350,   5,  5.0, 2017.44, 2014.61, 2019.63,   1.2746879231, 0.109, -34.7637931669, 0.473
0002-478,  68, 26.0, 2011.65, 1993.94, 2019.93,   1.1485645334, 0.077, -47.6054455596, 0.087
0003+123,   5, 12.0, 2015.24, 2007.03, 2019.07,   1.5960670041, 0.139, +12.5980827880, 0.083
0003+158,   4,  3.0, 2017.68, 2016.05, 2019.07,   1.4968240569, 0.066, +16.1636171584, 0.128
0003+340,   5,  7.5, 2016.46, 2011.97, 2019.44,   1.5307606282, 0.050, +34.3723349436, 0.095
0003+380,  30, 26.2, 2003.90, 1992.27, 2018.51,   1.4882307710, 0.049, +38.3375413902, 0.036
0003-066,1725, 33.4, 2007.00, 1988.04, 2021.48,   1.5578870185, 0.006,  -6.3931486957, 0.009
0003-302,   5, 17.1, 2014.42, 2002.37, 2019.51,   1.5046806707, 0.138, -29.9305825293, 0.205
0004+240,   5, 22.5, 2008.64, 1996.01, 2018.50,   1.7032891500, 0.028, +24.3767755973, 0.107
0005+021,   3,  0.8, 2019.51, 2019.08, 2019.91,   1.9326676501, 0.551,  +2.4422910447, 0.955
0005+114,   5, 16.7, 2014.31, 2002.37, 2019.08,   2.0034927265, 0.076, +11.7335485619, 0.127
0005+568,   5, 24.8, 2012.71, 1994.61, 2019.44,   1.9519526111, 0.054, +57.1028998071, 0.127
0005+683,   6, 24.3, 2012.08, 1995.30, 2019.63,   2.1394700554, 0.700, +68.6227913001, 0.093
0005-239,   8, 22.0, 2011.78, 1997.50, 2019.51,   2.0015400747, 0.089, -23.6550416959, 0.201
0005-262,   6, 22.0, 2010.82, 1997.50, 2019.51,   2.1093854153, 0.085, -25.9865391077, 0.169
0006+061,   5, 16.5, 2013.16, 2002.37, 2018.84,   2.2663826988, 0.069,  +6.4725667248, 0.133
0006+397,   5, 23.1, 2013.23, 1996.44, 2019.51,   2.2673899016, 0.123, +40.0296404523, 0.064
0006+771,   4,  2.0, 2018.16, 2017.32, 2019.30,   2.4295498021, 1.126, +77.4116678878, 0.297
0006-363,   6, 14.2, 2014.91, 2005.50, 2019.72,   2.1402546610, 0.360, -36.0236206761, 0.878
0007+016,   5,  1.4, 2018.92, 2018.14, 2019.53,   2.4944071913, 0.155,  +1.9653192688, 0.267
0007+171,  29, 28.3, 2002.10, 1990.11, 2018.38,   2.6416276196, 0.150, +17.4052114665, 0.059
0007+205,   4,  4.9, 2017.41, 2014.42, 2019.30,   2.6197626823, 0.071, +20.7971634401, 0.121
0007+439,   5, 12.5, 2015.34, 2006.96, 2019.51,   2.6251936308, 0.110, +44.2118069223, 0.106
0007+757,   4,  2.0, 2018.17, 2017.32, 2019.30,   2.4509757726, 1.513, +76.0550456570, 0.316
0007-048,   7,  4.7, 2016.92, 2015.22, 2019.95,   2.5016194327, 0.050,  -4.5634741111, 0.153
0007-325,   6, 10.4, 2016.78, 2009.37, 2019.72,   2.3981573118, 0.057, -32.2769248193, 0.230
0008+006,   6,  5.2, 2018.11, 2014.44, 2019.63,   2.8766800769, 0.041,  +0.9644102728, 0.190
0008+704,   5, 24.0, 2013.05, 1995.30, 2019.30,   2.8829285105, 0.149, +70.7587849637, 0.083
0008-222,   5, 20.9, 2009.09, 1997.50, 2018.42,   2.7235416005, 0.076, -21.9511722655, 0.204
0008-264, 358, 33.3, 2015.51, 1988.12, 2021.39,   2.7551947519, 0.018, -26.2092714164, 0.021
0008-300,   4, 12.6, 2015.58, 2006.96, 2019.53,   2.6882390081, 0.088, -29.7536605139, 0.211
0008-307,   5, 17.6, 2014.50, 2002.09, 2019.72,   2.6489258704, 0.094, -30.4631718121, 0.151
0008-311,   5,  7.6, 2017.38, 2012.11, 2019.72,   2.6454571945, 0.203, -30.9042501181, 0.168
0008-421,  11, 28.3, 2010.58, 1990.74, 2019.07,   2.7188228899, 1.252, -41.8863276580, 2.058
0009+081,   7, 23.3, 2014.73, 1995.54, 2018.88,   2.8969566878, 0.036,  +8.3987738983, 0.087
0009+467,   5, 14.0, 2015.07, 2005.55, 2019.51,   3.1220953674, 0.040, +47.0763160672, 0.156
0009+655,   5, 15.2, 2014.92, 2004.40, 2019.63,   3.1569622825, 2.141, +65.8530063886, 0.523
0009-148,  10, 14.4, 2018.56, 2007.03, 2021.47,   2.9185660465, 0.148, -14.5679541380, 0.118
0010+336,   5, 14.1, 2014.94, 2005.36, 2019.44,   3.1974257176, 0.095, +33.8940199125, 0.128
0010+405,  97, 29.8, 2012.41, 1991.49, 2021.24,   3.3797091528, 0.017, +40.8603178247, 0.016
0010+463,   5, 22.9, 2013.28, 1996.61, 2019.53,   3.3187034711, 0.121, +46.6024084670, 0.076
0010-155,   4, 12.9, 2014.89, 2006.96, 2019.88,   3.3362575398, 0.038, -15.2299403034, 0.157
0010-401,  19, 17.8, 2016.47, 2002.09, 2019.93,   3.2496242941, 0.089, -39.9072376214, 0.169
0011+189,   5, 22.4, 2008.47, 1996.01, 2018.38,   3.4849004562, 0.061, +19.1783098793, 0.100
0011-046,   6,  6.1, 2017.34, 2014.01, 2020.06,   3.4755457465, 0.053,  -4.3978597400, 0.063
0012+077,   3,  1.9, 2018.71, 2017.61, 2019.53,   3.8577244393, 0.232,  +8.0345029889, 0.576
0012+319,   5, 14.0, 2014.96, 2005.42, 2019.44,   3.7756142403, 0.051, +32.2703637518, 0.091
0012+610,   5, 17.3, 2014.33, 2002.37, 2019.63,   3.7033003998, 0.213, +61.2954284547, 0.104
0012-008,   2,  0.5, 2019.38, 2019.13, 2019.63,   3.7641540826, 0.209,  -0.5831494157, 1.129
0012-184,   5, 20.6, 2009.02, 1997.50, 2018.11,   3.7603834605, 0.073, -18.2141342053, 0.178
0013-005,  94, 30.9, 2008.40, 1990.13, 2021.04,   4.0462023079, 0.022,  -0.2534570419, 0.037
0013-184,   5, 12.8, 2015.37, 2007.03, 2019.88,   3.8930189027, 0.051, -18.1237740037, 0.236
0013-240,   4,  5.1, 2017.46, 2014.44, 2019.53,   4.0239110986, 0.216, -23.7311666301, 0.206
0014+813,1349, 33.7, 2003.58, 1987.62, 2021.37,   4.2853116509, 0.023, +81.5855934711, 0.007
0015+145,   4,  3.0, 2017.72, 2016.11, 2019.08,   4.4037659895, 0.105, +14.8505221997, 0.157
0015+529,   5, 24.8, 2012.71, 1994.61, 2019.44,   4.4656658927, 0.137, +53.2053115685, 0.100
0015-028,   3,  1.2, 2019.68, 2019.13, 2020.29,   4.4684319906, 0.177,  -2.6053386644, 0.552
0015-054,   6, 12.8, 2014.60, 2005.52, 2018.33,   4.3992383255, 0.151,  -5.2116022539, 0.129
0015-280,   5, 14.0, 2015.11, 2005.55, 2019.53,   4.4958581898, 0.188, -27.8059926454, 0.354
0016+039,   2,  0.5, 2019.38, 2019.13, 2019.63,   4.6570754524, 0.081,  +4.2623084809, 0.780
0016+453,   2,  0.8, 2019.94, 2019.52, 2020.36,   4.8709492695, 0.283, +45.6286372151, 0.176
0016+731,1109, 37.9, 2007.06, 1983.57, 2021.48,   4.9407762845, 0.019, +73.4583382241, 0.003
0016-013,   2,  0.6, 2019.44, 2019.16, 2019.72,   4.8227865157, 0.027,  -1.0659960465, 0.105
0016-223,   6,  2.1, 2018.33, 2017.44, 2019.53,   4.8451171294, 0.078, -22.0910937521, 0.103
0017+200, 444, 25.4, 2017.23, 1996.01, 2021.40,   4.9077270515, 0.008, +20.3626790694, 0.005
0017+257,   5, 22.1, 2011.93, 1996.37, 2018.51,   4.9157524501, 0.046, +26.0478547875, 0.119
0017+296,   4,  4.9, 2017.41, 2014.42, 2019.30,   4.9074595771, 0.389, +29.9338671461, 0.281
0017-307,   5, 17.8, 2014.35, 2002.09, 2019.85,   4.9278137612, 0.089, -30.5220413023, 0.303
0018+715,   5, 24.0, 2013.06, 1995.30, 2019.32,   5.2617240788, 0.144, +71.8391029053, 0.020
0018+729,   5, 24.0, 2011.54, 1995.30, 2019.32,   5.3640629189, 0.284, +73.2116475038, 0.032
0019+058, 454, 33.1, 2016.07, 1988.39, 2021.48,   5.6351717146, 0.012,  +6.1345191571, 0.010
0019+451,   4, 21.8, 2011.72, 1996.61, 2018.42,   5.5275472465, 0.058, +45.4260723023, 0.068
0020+015,   5,  1.4, 2019.72, 2019.02, 2020.39,   5.6592713112, 0.144,  +1.7840073753, 0.085
0020+446,   5, 22.9, 2013.35, 1996.61, 2019.53,   5.8976769528, 0.063, +44.9432661853, 0.077
0021+040,   3,  0.8, 2019.60, 2019.16, 2019.91,   5.9090194520, 0.521,  +4.2834544542, 2.431
0021+243,   7, 16.9, 2009.92, 2002.37, 2019.30,   6.1138771939, 0.069, +24.6572859009, 0.242
0021+464,   5, 22.9, 2013.38, 1996.61, 2019.53,   6.0897401536, 0.055, +46.7350638211, 0.126
0021-084,   7, 15.7, 2014.29, 2004.40, 2020.06,   6.0028031225, 0.047,  -8.1861247019, 0.155
0022+390,   5, 23.1, 2013.17, 1996.44, 2019.51,   6.3589903382, 0.155, +39.3265109070, 0.189
0022-044,   7,  6.1, 2017.58, 2014.01, 2020.06,   6.1915966968, 0.062,  -4.2004302644, 0.077
0022-227,   5, 12.7, 2015.42, 2006.96, 2019.63,   6.3510308572, 0.124, -22.4632213281, 0.196
0022-423,  12, 28.3, 2009.88, 1990.74, 2019.07,   6.1791244026, 0.845, -42.0344301322, 1.114
0023-263,   5, 17.3, 2014.51, 2002.37, 2019.63,   6.4548179945, 0.127, -26.0368372123, 0.535
0023-354,   8,  5.2, 2018.05, 2014.61, 2019.85,   6.5682796348, 0.344, -35.2135536372, 0.148
0024+092,   5, 17.4, 2014.55, 2002.09, 2019.53,   6.7741403774, 0.099,  +9.4993788839, 0.187
0024+224,   7, 22.5, 2010.27, 1996.01, 2018.51,   6.8140480406, 0.067, +22.6994634437, 0.094
0024+597,   4, 23.7, 2011.07, 1994.61, 2018.33,   6.7636922938, 0.208, +59.9813776445, 0.131
0024-114,   5, 14.4, 2015.15, 2005.50, 2019.95,   6.7143466192, 0.356, -11.2145625205, 0.406
0025+197, 146, 25.5, 2016.72, 1996.01, 2021.48,   7.1242436544, 0.016, +20.0074288972, 0.017
0025+449,   5,  2.4, 2018.11, 2017.09, 2019.53,   6.9260948972, 0.225, +45.2491876562, 0.094
0026+048,   6, 24.3, 2014.29, 1995.54, 2019.85,   7.2649674573, 0.161,  +5.1596853999, 0.197
0026+324,   2,  0.8, 2019.94, 2019.52, 2020.36,   7.3875588243, 0.026, +32.7474425497, 0.613
0026+346,  18, 31.9, 2001.48, 1987.59, 2019.51,   7.3093432301, 0.492, +34.9422907493, 0.329
0026-015,   7, 15.7, 2016.16, 2004.33, 2020.05,   7.2541084389, 0.046,  -1.2282665008, 0.106
0027+056,  10, 24.3, 2015.35, 1995.54, 2019.85,   7.4412346467, 0.044,  +5.9113089553, 0.089
0027+05A,   2,  0.7, 2019.52, 2019.19, 2019.85,   7.5511125244, 0.058,  +5.9241418077, 0.333
0027+587,   3,  1.2, 2018.94, 2018.33, 2019.51,   7.6810592269, 0.125, +59.0721389728, 0.774
0027+703,   5, 24.0, 2013.08, 1995.30, 2019.32,   7.5600539476, 0.130, +70.6277947205, 0.049
0027-024,   5, 14.0, 2011.78, 2004.33, 2018.35,   7.6325989119, 0.054,  -2.1989257930, 0.203
0027-426,   5,  9.8, 2016.11, 2009.31, 2019.07,   7.5728860671, 0.218, -42.4129119528, 0.620
0028-017,   3,  1.0, 2019.77, 2019.20, 2020.23,   7.7302850811, 0.026,  -1.4753466982, 0.101
0028-396,   5, 17.5, 2014.01, 2002.37, 2019.85,   7.8513811824, 0.268, -39.3803798708, 0.551
0029-147,   5, 13.9, 2011.82, 2004.33, 2018.23,   7.9850491294, 0.125, -14.4387066531, 0.366
0029-414,   2,  0.3, 2020.19, 2020.02, 2020.36,   7.8669178005, 0.289, -41.1377452813, 0.097
0030+048,   2,  0.7, 2019.54, 2019.20, 2019.88,   8.2469491433, 0.285,  +5.1670845104, 0.132
0030+196,   5,  4.7, 2017.39, 2014.42, 2019.08,   8.1597434698, 5.604, +19.8982705293, 0.720
0031+211,   1,  0.0, 2020.38, 2020.38, 2020.38,   8.5701649777, 0.000, +21.4448882912, 0.000
0032+276,   4, 22.2, 2011.69, 1996.37, 2018.57,   8.6811920422, 0.297, +27.9071446141, 0.131
0032+612,   5, 16.7, 2012.74, 2002.95, 2019.63,   8.8554607120, 0.101, +61.5085447830, 0.051
0032-011,   5,  5.4, 2017.85, 2014.44, 2019.88,   8.6830082184, 0.098,  -0.9036208174, 0.139
0033+079,   3,  0.6, 2019.72, 2019.30, 2019.95,   9.0671878011, 0.189,  +8.2511199492, 0.247
0033+082,   2,  0.7, 2019.54, 2019.20, 2019.88,   8.9312841658, 0.267,  +8.5377355484, 0.022
0033+098,   6,  1.7, 2019.69, 2018.72, 2020.39,   9.0990298033, 0.122, +10.1329073197, 0.050
0033+142,   5, 16.8, 2014.33, 2002.37, 2019.13,   9.1462879225, 0.085, +14.5676718823, 0.214
0033+143,   5, 12.0, 2015.26, 2007.03, 2019.08,   8.9336995537, 0.062, +14.6338812990, 0.086
0033-088,   6, 14.6, 2015.43, 2005.42, 2020.06,   8.9427099482, 0.099,  -8.5983450810, 0.138
