iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec, med_err_ra, med_err_dec
0000+212,   5, 22.5, 2008.64, 1996.01, 2018.50,   0.8306250193, 0.049, +21.4956967344, 0.137, 0.107, 0.214
0000-006,   2,  0.4, 2019.29, 2019.07, 2019.51,   0.7382305136, 0.061,  -0.4131320392, 0.562, 0.272, 0.636
0000-160,   4,  4.5, 2017.59, 2015.31, 2019.85,   0.8636006562, 0.136, -15.7848487990, 0.469, 0.230, 0.584
0000-197,   6, 22.4, 2010.80, 1997.50, 2019.85,   0.8278125997, 0.115, -19.4562099054, 0.259, 0.326, 0.656
0000-199,   5, 12.9, 2015.29, 2006.96, 2019.85,   0.8164558681, 0.116, -19.6973338825, 0.157, 0.234, 0.473
0001+459,   5, 22.9, 2013.27, 1996.61, 2019.51,   1.0671985287, 0.027, +46.2549918907, 0.073, 0.119, 0.159
0001+478,   4,  5.0, 2017.37, 2014.44, 2019.44,   0.9418398558, 0.568, +48.1178153833, 0.152, 0.367, 0.466
0001-120,   2,  0.0, 2004.34, 2004.33, 2004.35,   1.0204791970, 0.245, -11.8162181767, 0.660, 0.792, 1.403
0002+051,   8, 24.0, 2015.34, 1995.54, 2019.54,   1.3342312635, 0.081,  +5.4030008812, 0.174, 0.206, 0.320
0002+200,   5, 16.1, 2009.23, 2002.37, 2018.50,   1.1489928385, 0.054, +20.3284216157, 0.083, 0.161, 0.261
0002+541,   5, 23.7, 2011.48, 1994.61, 2018.27,   1.2681805982, 0.146, +54.4735901414, 0.089, 0.214, 0.184
0002-018,   2,  0.5, 2019.31, 2019.08, 2019.53,   1.2794658834, 0.022,  -1.5458708134, 0.210, 0.212, 0.546
0002-170,   3, 22.4, 2010.66, 1997.50, 2019.88,   1.3247241015, 0.090, -16.8012995272, 0.275, 0.178, 0.471
0002-350,   5,  5.0, 2017.44, 2014.61, 2019.63,   1.2746879162, 0.096, -34.7637931493, 0.457, 0.256, 0.641
0002-478,  68, 26.0, 2011.65, 1993.94, 2019.93,   1.1485645033, 0.073, -47.6054455568, 0.081, 0.347, 0.635
0003+123,   5, 12.0, 2015.24, 2007.03, 2019.07,   1.5960670062, 0.139, +12.5980827926, 0.084, 0.090, 0.173
0003+158,   4,  3.0, 2017.68, 2016.05, 2019.07,   1.4968240491, 0.053, +16.1636171587, 0.128, 0.111, 0.223
0003+340,   5,  7.5, 2016.46, 2011.97, 2019.44,   1.5307606709, 0.048, +34.3723349581, 0.098, 0.142, 0.302
0003+380,  30, 26.2, 2003.90, 1992.27, 2018.51,   1.4882307748, 0.048, +38.3375413911, 0.035, 0.207, 0.193
0003-066,1725, 33.4, 2007.00, 1988.04, 2021.48,   1.5578870247, 0.006,  -6.3931486960, 0.009, 0.259, 0.464
0003-302,   5, 17.1, 2014.42, 2002.37, 2019.51,   1.5046806519, 0.131, -29.9305824779, 0.133, 0.354, 0.824
0004+240,   5, 22.5, 2008.64, 1996.01, 2018.50,   1.7032891828, 0.024, +24.3767756005, 0.103, 0.085, 0.169
0005+021,   3,  0.8, 2019.51, 2019.08, 2019.91,   1.9326675960, 0.513,  +2.4422910339, 0.824, 0.694, 2.129
0005+114,   5, 16.7, 2014.31, 2002.37, 2019.08,   2.0034927244, 0.072, +11.7335485650, 0.115, 0.195, 0.316
0005+568,   5, 24.8, 2012.71, 1994.61, 2019.44,   1.9519525825, 0.071, +57.1028998060, 0.115, 0.154, 0.149
0005+683,   6, 24.3, 2012.08, 1995.30, 2019.63,   2.1394701782, 0.699, +68.6227913250, 0.093, 0.380, 0.429
0005-239,   8, 22.0, 2011.78, 1997.50, 2019.51,   2.0015400635, 0.087, -23.6550416823, 0.220, 0.294, 0.568
0005-262,   6, 22.0, 2010.82, 1997.50, 2019.51,   2.1093854073, 0.078, -25.9865390732, 0.180, 0.386, 0.923
0006+061,   5, 16.5, 2013.16, 2002.37, 2018.84,   2.2663827012, 0.071,  +6.4725667416, 0.143, 0.138, 0.283
0006+397,   5, 23.1, 2013.23, 1996.44, 2019.51,   2.2673899281, 0.124, +40.0296404748, 0.060, 0.140, 0.164
0006+771,   4,  2.0, 2018.16, 2017.32, 2019.30,   2.4295498096, 1.121, +77.4116679031, 0.293, 0.584, 0.476
0006-363,   6, 14.2, 2014.91, 2005.50, 2019.72,   2.1402546580, 0.371, -36.0236206841, 0.920, 0.727, 2.067
0007+016,   5,  1.4, 2018.92, 2018.14, 2019.53,   2.4944071754, 0.141,  +1.9653193289, 0.235, 0.303, 0.557
0007+171,  29, 28.3, 2002.10, 1990.11, 2018.38,   2.6416276407, 0.151, +17.4052114769, 0.058, 0.294, 0.328
0007+205,   4,  4.9, 2017.41, 2014.42, 2019.30,   2.6197626812, 0.073, +20.7971634474, 0.118, 0.179, 0.373
0007+439,   5, 12.5, 2015.34, 2006.96, 2019.51,   2.6251936266, 0.095, +44.2118069328, 0.110, 0.129, 0.182
0007+757,   4,  2.0, 2018.17, 2017.32, 2019.30,   2.4509760413, 1.553, +76.0550457057, 0.301, 0.876, 0.529
0007-048,   7,  4.7, 2016.92, 2015.22, 2019.95,   2.5016194290, 0.050,  -4.5634741027, 0.124, 0.142, 0.280
0007-325,   6, 10.4, 2016.78, 2009.37, 2019.72,   2.3981573209, 0.074, -32.2769248156, 0.256, 0.264, 0.599
0008+006,   6,  5.2, 2018.11, 2014.44, 2019.63,   2.8766800768, 0.034,  +0.9644102846, 0.149, 0.096, 0.207
0008+704,   5, 24.0, 2013.05, 1995.30, 2019.30,   2.8829284587, 0.144, +70.7587849678, 0.083, 0.141, 0.108
0008-222,   5, 20.9, 2009.09, 1997.50, 2018.42,   2.7235416047, 0.070, -21.9511722599, 0.196, 0.112, 0.298
0008-264, 358, 33.3, 2015.51, 1988.12, 2021.39,   2.7551947516, 0.017, -26.2092714128, 0.019, 0.491, 0.371
0008-300,   4, 12.6, 2015.58, 2006.96, 2019.53,   2.6882389803, 0.096, -29.7536604839, 0.224, 0.250, 0.843
0008-307,   5, 17.6, 2014.50, 2002.09, 2019.72,   2.6489258538, 0.096, -30.4631717944, 0.130, 0.135, 0.355
0008-311,   5,  7.6, 2017.38, 2012.11, 2019.72,   2.6454571954, 0.183, -30.9042501081, 0.210, 0.336, 0.858
0008-421,  11, 28.3, 2010.58, 1990.74, 2019.07,   2.7188229083, 1.274, -41.8863276457, 1.804, 0.821, 2.605
0009+081,   7, 23.3, 2014.73, 1995.54, 2018.88,   2.8969567056, 0.043,  +8.3987739516, 0.064, 0.109, 0.165
0009+467,   5, 14.0, 2015.07, 2005.55, 2019.51,   3.1220953760, 0.041, +47.0763160734, 0.164, 0.163, 0.189
0009+655,   5, 15.2, 2014.92, 2004.40, 2019.63,   3.1569622706, 2.143, +65.8530063818, 0.521, 0.517, 0.501
0009-148,  10, 14.4, 2018.56, 2007.03, 2021.47,   2.9185660526, 0.148, -14.5679541414, 0.119, 0.652, 0.454
0010+336,   5, 14.1, 2014.94, 2005.36, 2019.44,   3.1974256942, 0.084, +33.8940199148, 0.120, 0.140, 0.216
0010+405,  97, 29.8, 2012.41, 1991.49, 2021.24,   3.3797091502, 0.016, +40.8603178245, 0.016, 0.135, 0.186
0010+463,   5, 22.9, 2013.28, 1996.61, 2019.53,   3.3187035275, 0.106, +46.6024084764, 0.083, 0.136, 0.146
0010-155,   4, 12.9, 2014.89, 2006.96, 2019.88,   3.3362575489, 0.040, -15.2299402900, 0.176, 0.198, 0.428
0010-401,  19, 17.8, 2016.47, 2002.09, 2019.93,   3.2496243000, 0.080, -39.9072376102, 0.153, 0.367, 0.583
0011+189,   5, 22.4, 2008.47, 1996.01, 2018.38,   3.4849004539, 0.108, +19.1783099003, 0.105, 0.126, 0.270
0011-046,   6,  6.1, 2017.34, 2014.01, 2020.06,   3.4755457399, 0.049,  -4.3978597497, 0.069, 0.154, 0.243
0012+077,   3,  1.9, 2018.71, 2017.61, 2019.53,   3.8577244409, 0.206,  +8.0345029714, 0.566, 0.184, 0.349
0012+319,   5, 14.0, 2014.96, 2005.42, 2019.44,   3.7756142226, 0.069, +32.2703637525, 0.069, 0.142, 0.198
0012+610,   5, 17.3, 2014.33, 2002.37, 2019.63,   3.7033005029, 0.223, +61.2954284772, 0.111, 0.135, 0.187
0012-008,   2,  0.5, 2019.38, 2019.13, 2019.63,   3.7641541204, 0.346,  -0.5831493134, 1.498, 0.280, 0.686
0012-184,   5, 20.6, 2009.02, 1997.50, 2018.11,   3.7603834650, 0.076, -18.2141342010, 0.169, 0.134, 0.328
0013-005,  94, 30.9, 2008.40, 1990.13, 2021.04,   4.0462022989, 0.021,  -0.2534570309, 0.035, 0.293, 0.496
0013-184,   5, 12.8, 2015.37, 2007.03, 2019.88,   3.8930188991, 0.054, -18.1237739903, 0.250, 0.180, 0.407
0013-240,   4,  5.1, 2017.46, 2014.44, 2019.53,   4.0239110814, 0.204, -23.7311666214, 0.193, 0.355, 0.843
0014+813,1350, 33.7, 2003.57, 1987.62, 2021.37,   4.2853119647, 0.022, +81.5855934954, 0.007, 0.178, 0.195
0015+145,   4,  3.0, 2017.72, 2016.11, 2019.08,   4.4037659887, 0.102, +14.8505222020, 0.173, 0.224, 0.412
0015+529,   5, 24.8, 2012.71, 1994.61, 2019.44,   4.4656659045, 0.127, +53.2053115610, 0.113, 0.155, 0.138
0015-028,   3,  1.2, 2019.68, 2019.13, 2020.29,   4.4684319738, 0.161,  -2.6053386540, 0.507, 0.153, 0.304
0015-054,   6, 12.8, 2014.60, 2005.52, 2018.33,   4.3992383198, 0.131,  -5.2116022507, 0.132, 0.275, 0.320
0015-280,   5, 14.0, 2015.11, 2005.55, 2019.53,   4.4958581693, 0.170, -27.8059926882, 0.418, 0.167, 0.464
0016+039,   2,  0.5, 2019.38, 2019.13, 2019.63,   4.6570754427, 0.066,  +4.2623084834, 0.694, 0.131, 0.284
0016+453,   2,  0.8, 2019.94, 2019.52, 2020.36,   4.8709493348, 0.258, +45.6286372236, 0.177, 0.225, 0.256
0016+731,1109, 37.9, 2007.06, 1983.57, 2021.48,   4.9407764743, 0.019, +73.4583382377, 0.003, 0.102, 0.102
0016-013,   2,  0.6, 2019.44, 2019.16, 2019.72,   4.8227865071, 0.044,  -1.0659960371, 0.110, 0.265, 0.693
0016-223,   6,  2.1, 2018.33, 2017.44, 2019.53,   4.8451171520, 0.086, -22.0910937606, 0.116, 0.241, 0.593
0017+200, 444, 25.4, 2017.23, 1996.01, 2021.40,   4.9077270413, 0.007, +20.3626790763, 0.005, 0.104, 0.080
0017+257,   5, 22.1, 2011.93, 1996.37, 2018.51,   4.9157524464, 0.041, +26.0478547854, 0.112, 0.084, 0.150
0017+296,   4,  4.9, 2017.41, 2014.42, 2019.30,   4.9074596362, 0.333, +29.9338672151, 0.360, 0.479, 0.730
0017-307,   5, 17.8, 2014.35, 2002.09, 2019.85,   4.9278137677, 0.085, -30.5220412977, 0.285, 0.183, 0.480
0018+715,   5, 24.0, 2013.06, 1995.30, 2019.32,   5.2617240397, 0.150, +71.8391029131, 0.016, 0.193, 0.145
0018+729,   5, 24.0, 2011.54, 1995.30, 2019.32,   5.3640632077, 0.228, +73.2116475388, 0.041, 0.311, 0.265
0019+058, 454, 33.1, 2016.07, 1988.39, 2021.48,   5.6351717067, 0.011,  +6.1345191655, 0.010, 0.261, 0.238
