year num_sess num_obs postfit_rms chi_ndg
1984 438 161524 18.545 1.54
1985 438 161524 18.536 1.54
1986 590 238248 32.796 4.85
1987 774 325738 28.724 4.02
1988 1013 426167 28.279 3.92
1989 1269 558515 31.837 4.63
1990 1548 715730 31.116 3.91
1991 1803 879849 31.1 3.35
1992 2086 1055869 30.033 2.96
1993 2295 1241134 29.19 2.64
1994 2508 1553338 28.433 2.24
1995 2665 1853514 27.982 1.97
1996 2827 2270101 26.72 1.73
1997 2966 2615710 25.968 1.61
1998 3103 2937453 25.791 1.52
1999 3258 3270959 25.718 1.45
2000 3383 3561254 25.121 1.4
2001 3543 3913882 24.757 1.38
2002 3520 3748621 25.302 1.4
2003 3899 4647660 24.023 1.3
2004 4075 4959884 23.646 1.27
2005 4283 5487664 23.392 1.22
2006 4461 5863855 23.326 1.2
2007 4629 6267440 23.328 1.18
2008 4809 6795806 23.412 1.15
2009 4959 7236525 23.425 1.13
2010 5106 7603417 24.074 1.18
2011 5270 8152685 24.535 1.2
2012 5431 8614013 24.566 1.18
2013 5615 9086743 24.502 1.16
2014 5848 10086199 24.763 1.15
2015 6073 10982554 25.204 1.18
2016 6246 11728187 25.308 1.15
2017 6446 12965836 25.031 1.18
2018 6640 13933244 25.396 1.18
2019 6771 14569514 25.693 1.19
2020 6864 14874231 25.094 1.2
